N	2gram	Vinokur_St_2	UchenyiS
1	и в	29	14
2	а не	5	10
3	не только	19	10
4	прежде всего	5	8
5	и не	9	8
6	не может	2	7
7	вот почему	1	7
8	в этом	21	7
9	то что	11	7
10	может быть	2	6
11	то же	2	5
12	все это	11	5
13	хотя бы	3	5
14	перестает быть	1	5
15	с другой	4	4
16	но и	19	4
17	что такое	2	4
18	в их	3	4
19	в россии	3	4
20	в этой	2	4
21	конечно не	1	4
22	то ни	2	3
23	вряд ли	3	3
24	и то	1	3
25	было бы	5	3
26	как и	2	3
27	в частности	4	3
28	в своей	7	3
29	бы то	2	3
30	очевидно что	2	3
31	к сожалению	2	3
32	в то	2	3
33	все же	6	3
34	но в	8	3
35	формы в	1	3
36	не следует	1	3
37	же время	1	3
38	в области	2	3
39	только к	2	3
40	у нас	3	3
41	другой стороны	3	3
42	по нашему	1	3
43	для него	4	3
44	не как	1	3
45	ни было	2	3
46	не о	1	3
47	что все	1	2
48	а между	1	2
49	именно как	1	2
50	одним из	6	2
51	и с	4	2
52	до сих	6	2
53	а как	4	2
54	это было	2	2
55	самом деле	3	2
56	пишет он	2	2
57	форму и	1	2
58	в некоторых	2	2
59	мы не	1	2
60	не приходится	4	2
61	о чем	5	2
62	на эту	1	2
63	если бы	2	2
64	ничего не	4	2
65	не столько	7	2
66	если не	2	2
67	должна была	2	2
68	том что	27	2
69	материал для	3	2
70	мы и	1	2
71	этого термина	1	2
72	литературы и	1	2
73	с его	2	2
74	но не	3	2
75	в сторону	1	2
76	в его	13	2
77	по существу	2	2
78	что и	2	2
79	по себе	3	2
80	более чем	1	2
81	конце концов	1	2
82	сих пор	5	2
83	но это	3	2
84	как метод	1	2
85	этом смысле	1	2
86	в том	27	2
87	и для	1	2
88	что он	13	2
89	в себе	2	2
90	в самом	7	2
91	неудивительно что	3	2
92	между тем	5	2
93	только в	2	2
94	не в	4	2
95	все они	1	2
96	этом отношении	9	2
97	их и	1	2
98	не могут	1	2
99	в конце	2	2
100	не случайно	1	2
101	как раз	8	2
102	тем что	3	2
103	что она	1	2
104	таким образом	10	2
105	и это	2	1
106	его поэмы	1	1
107	тем в	2	1
108	по вопросам	1	1
109	об этом	6	1
110	поэзии и	2	1
111	же как	3	1
112	в исторической	1	1
113	связанных с	1	1
114	даже не	1	1
115	в виду	7	1
116	сам по	1	1
117	тенденции в	1	1
118	первую очередь	1	1
119	данном случае	1	1
120	или иначе	1	1
121	в период	2	1
122	только при	1	1
123	с самим	1	1
124	ли пушкин	1	1
125	и быть	1	1
126	идет не	1	1
127	в пределах	1	1
128	и др	2	1
129	еще одно	1	1
130	лет с	1	1
131	что для	1	1
132	слова а	1	1
133	никогда не	3	1
134	так и	9	1
135	по его	3	1
136	той же	1	1
137	которой все	1	1
138	столько же	3	1
139	до конца	3	1
140	с тем	7	1
141	к вопросам	1	1
142	жанра в	1	1
143	и всякого	1	1
144	и даже	3	1
145	и слово	1	1
146	можно сказать	1	1
147	не вполне	1	1
148	или менее	2	1
149	ничего существенно	1	1
150	в г	7	1
151	выхода в	4	1
152	искусства и	2	1
153	как на	9	1
154	о том	17	1
155	и отчетливых	1	1
156	в ней	7	1
157	и потому	2	1
158	относятся к	3	1
159	в котором	7	1
160	и что	6	1
161	его собственному	1	1
162	он был	2	1
163	в значительной	2	1
164	в пользу	3	1
165	существенно нового	1	1
166	конечно это	1	1
167	временной последовательности	1	1
168	пушкин и	9	1
169	в течение	6	1
170	в той	5	1
171	своей работе	1	1
172	пишет в	1	1
173	в данном	2	1
174	что же	1	1
175	не то	3	1
176	бы в	1	1
177	того что	5	1
178	на его	2	1
179	что этот	2	1
180	нет и	2	1
181	язык в	1	1
182	за пределы	1	1
183	на то	2	1
184	г №	1	1
185	быть не	1	1
186	иначе в	1	1
187	литературных и	1	1
188	и вся	2	1
189	его как	2	1
190	она не	1	1
191	еще раз	1	1
192	этом случае	1	1
193	независимо от	1	1
194	впрочем не	1	1
195	научное изучение	1	1
196	рецензии на	10	1
197	в своем	9	1
198	что с	2	1
199	как нам	1	1
200	но для	1	1
201	что ему	3	1
202	и все	1	1
203	того как	7	1
204	что только	1	1
205	пушкина но	4	1
206	у кого	1	1
207	тот же	1	1
208	сколько и	1	1
209	на своем	1	1
210	более или	2	1
211	известном письме	2	1
212	и действительно	1	1
213	не существует	1	1
214	сторону от	1	1
215	в рецензии	3	1
216	он уже	1	1
217	по мнению	1	1
218	в которой	11	1
219	больше чем	1	1
220	бы ни	2	1
221	не было	3	1
222	так или	1	1
223	это же	1	1
224	впрочем в	1	1
225	с которыми	1	1
226	в качестве	5	1
227	но именно	1	1
228	в известном	3	1
229	бы только	1	1
230	но также	4	1
231	то и	1	1
232	кругу и	1	1
233	же в	1	1
234	и всей	1	1
235	в процессе	2	1
236	что было	2	1
237	в нем	4	1
238	но если	1	1
239	он не	9	1
240	недаром и	1	1
241	где бы	1	1
242	сказать что	2	1
243	именно такой	1	1
244	недаром в	1	1
245	одно из	1	1
246	в первую	1	1
247	исходить из	1	1
248	слова правда	1	1
249	он и	1	1
250	система приемов	1	1
251	не для	1	1
252	в свое	1	1
253	отсюда как	1	1
254	может служить	1	1
255	но он	3	1
256	у пушкина	12	1
257	но что	1	1
258	у него	1	1
259	мы можем	1	1
260	всего что	1	1
261	ее в	2	1
262	для в	1	1
263	о необходимости	1	1
264	а это	1	1
265	невозможна без	1	1
266	что при	1	1
267	отказаться от	1	1
268	к этому	4	1
269	что в	19	1
270	в таком	1	1
271	все что	1	1
