N	3gram	Berdyaev_O_1	NovoeSre
1	не может быть	2	4
2	во имя свободы	1	3
3	никогда не было	2	2
4	в нем нет	3	2
5	человеке и его	2	1
6	изнутри а не	1	1
7	а не в	2	1
8	одна из сторон	1	1
9	человек а не	1	1
10	раскрывается лишь в	1	1
11	не было и	1	1
12	и не может	1	1
13	том случае если	1	1
14	но и в	2	1
15	о человеке и	5	1
16	заключает в себе	1	1
17	нет у него	1	1
18	и не в	1	1
19	в этом он	2	1
20	в том случае	1	1
21	как будто бы	1	1
22	не могут быть	2	1
23	по природе своей	1	1
24	не в том	1	1
25	во всяком случае	1	1
26	о том что	1	1
27	то что в	1	1
28	не в силах	1	1
29	в мир и	1	1
30	это не есть	1	1
31	в том что	1	1
32	добро и зло	1	1
33	как и в	1	1
