N	2gram	Tiupa_Anal_1	Problemy
1	и в	18	34
2	и не	21	29
3	как бы	5	27
4	что он	3	23
5	в его	13	22
6	в нем	3	19
7	может быть	29	19
8	не может	22	19
9	и все	3	19
10	как и	13	18
11	о себе	1	18
12	к себе	1	17
13	в этом	13	16
14	но в	8	16
15	и его	5	16
16	он не	3	15
17	и с	2	15
18	прежде всего	6	15
19	то же	9	14
20	с самим	1	14
21	к нему	3	14
22	самом деле	2	13
23	для него	2	13
24	и к	3	12
25	в то	9	12
26	же время	6	12
27	потому что	2	12
28	но и	17	12
29	на самом	2	11
30	в сущности	6	11
31	вовсе не	2	11
32	с другим	4	11
33	себя самого	1	11
34	то что	6	11
35	не только	15	10
36	а я	1	10
37	самим собою	1	9
38	не в	14	9
39	в отношении	1	9
40	а не	17	9
41	и т	3	8
42	никогда не	2	8
43	с ним	4	8
44	в другом	4	8
45	в самом	6	8
46	себя и	4	8
47	что же	2	8
48	о мире	1	8
49	и для	1	8
50	точки зрения	6	8
51	слово о	1	7
52	я не	1	7
53	знает и	1	7
54	на него	1	7
55	как будто	3	7
56	как мы	2	7
57	слова в	1	7
58	и даже	1	7
59	что не	3	7
60	этого слова	7	7
61	все же	4	7
62	что в	5	7
63	мы уже	1	6
64	и на	5	6
65	с его	3	6
66	отношение к	2	6
67	в пределах	2	6
68	самим собой	2	6
69	я все	1	6
70	от себя	3	6
71	для себя	2	6
72	так и	4	6
73	в себе	11	6
74	только в	6	6
75	т п	3	6
76	от него	1	6
77	не знает	1	6
78	отношению к	5	6
79	он сам	1	5
80	в чем	1	5
81	по отношению	6	5
82	и наконец	1	5
83	что это	1	5
84	в целом	5	5
85	в диалоге	1	5
86	но все	1	5
87	лишь в	5	5
88	с тем	1	5
89	он и	1	5
90	даже в	3	5
91	таким образом	3	5
92	к тому	7	5
93	и сам	2	5
94	и что	1	5
95	что и	3	5
96	это не	6	5
97	все время	1	5
98	того что	4	5
99	так что	1	5
100	из них	2	5
101	всяком случае	1	5
102	в одном	1	5
103	к своему	1	5
104	и от	1	5
105	мы должны	1	5
106	хотя бы	3	5
107	а в	9	5
108	героя в	2	5
109	во всяком	1	5
110	он как	1	4
111	еще не	3	4
112	бы то	3	4
113	но не	10	4
114	но как	1	4
115	как в	1	4
116	над собой	1	4
117	другого как	1	4
118	он в	1	4
119	все эти	2	4
120	на его	2	4
121	при этом	12	4
122	внутренней речи	5	4
123	на этом	2	4
124	ни был	1	4
125	то ни	3	4
126	что все	1	4
127	в мире	8	4
128	его в	1	4
129	с другими	4	4
130	этом смысле	1	4
131	ни в	4	4
132	все равно	1	4
133	с точки	4	4
134	но это	1	4
135	ничего не	1	4
136	как раз	1	4
137	его с	1	4
138	если бы	3	4
139	на вопрос	4	4
140	только на	1	4
141	в виде	1	4
142	в начале	2	4
143	так как	2	4
144	не о	2	4
145	у него	1	4
146	с другой	4	4
147	человека как	1	4
148	вместе с	4	4
149	слова о	1	4
150	да и	1	4
151	как к	2	4
152	я в	3	4
153	ни было	4	4
154	отношением к	1	4
155	в такой	1	3
156	и то	2	3
157	как я	1	3
158	в виду	1	3
159	в ней	1	3
160	нет и	2	3
161	хотя и	1	3
162	и как	5	3
163	как он	3	3
164	не как	1	3
165	их в	1	3
166	без исключения	1	3
167	его и	2	3
168	далеко не	6	3
169	должно быть	2	3
170	такой же	2	3
171	раз и	1	3
172	в своей	6	3
173	в котором	3	3
174	и другого	4	3
175	не менее	1	3
176	но он	1	3
177	по крайней	1	3
178	по себе	4	3
179	с миром	1	3
180	том что	12	3
181	во всем	1	3
182	перед его	1	3
183	где он	1	3
184	не могу	2	3
185	в ее	1	3
186	внутренняя речь	1	3
187	диалог с	1	3
188	еще в	2	3
189	для этого	2	3
190	сводится к	5	3
191	и во	1	3
192	между тем	5	3
193	крайней мере	1	3
194	наконец в	1	3
195	к концу	1	3
196	в него	1	3
197	в том	27	3
198	нуждается в	8	3
199	к самому	1	3
200	а с	3	3
201	он уже	1	3
202	по своему	1	3
203	установкой на	2	3
204	же я	1	3
205	если не	1	3
206	сознания и	1	3
