N	3gram	Ircho_Kome_2	FransuaR
1	в том числе	3	10
2	том числе и	1	7
3	в том что	5	6
4	той или иной	1	5
5	до сих пор	2	4
6	в отличие от	2	4
7	с точки зрения	1	3
8	так и не	1	3
9	протяжении всего средневековья	1	2
10	но и в	1	2
11	дошедших до нас	1	2
12	и вовсе не	1	2
13	в это время	2	2
14	в основе его	1	2
15	с одной стороны	2	2
16	в разной степени	1	2
17	и в том	1	2
18	так и в	1	2
19	на протяжении всего	1	2
20	но все же	1	2
21	во второй половине	1	2
22	и в литературе	1	2
23	в большинстве случаев	1	2
24	в так называемой	1	1
25	античного мира в	1	1
26	сводится к тому	1	1
27	в чем же	1	1
28	чуть ли не	2	1
29	по отношению к	3	1
30	в самом деле	1	1
31	на первый план	1	1
32	и еще более	1	1
33	имеет в виду	1	1
34	потому что по	1	1
35	тому же в	3	1
36	так как он	1	1
37	в самом начале	2	1
38	к нему же	1	1
39	в какой мере	1	1
40	этого нет и	1	1
41	в начале нашего	1	1
42	вместе со своим	1	1
43	в связи с	3	1
44	так и на	1	1
45	мы встретим в	1	1
46	во всяком случае	2	1
47	могла бы быть	1	1
48	в целом ряде	1	1
49	с другой стороны	1	1
50	до нас дошли	1	1
51	не может быть	1	1
52	то же время	3	1
53	тирсо де молина	1	1
54	основе его лежит	1	1
55	для того чтобы	4	1
56	друг от друга	1	1
57	в то же	3	1
58	его от всех	1	1
59	друг с другом	2	1
60	не только в	1	1
61	и мира в	1	1
62	в своем роде	1	1
63	к тому же	10	1
