N	3gram	Losev_Dial_1	EvropaiC
1	в том что	7	16
2	до сих пор	2	12
3	друг с другом	1	9
4	с точки зрения	12	8
5	а между тем	1	7
6	на самом деле	2	7
7	на то что	4	7
8	более или менее	3	7
9	друг от друга	1	6
10	для того чтобы	1	6
11	в самом деле	1	5
12	по сравнению с	2	5
13	о том что	2	4
14	в конце концов	3	4
15	с другой стороны	4	4
16	может быть и	3	4
17	к тому же	1	4
18	сих пор не	1	4
19	тем не менее	1	4
20	то ясно что	1	4
21	не может быть	3	4
22	так или иначе	1	3
23	в связи с	1	3
24	в то же	4	2
25	с одной стороны	2	2
26	то что это	1	2
27	что же касается	1	2
28	мы сказали что	1	2
29	ничего общего с	3	2
30	друг к другу	2	2
31	но так как	1	2
32	но все же	1	2
33	и может быть	1	2
34	нечего и говорить	1	2
35	и говорить что	1	2
36	во всех этих	1	2
37	только то что	3	2
38	то же время	4	2
39	ко всему этому	1	2
40	во всяком случае	2	2
41	несмотря на то	2	2
42	в этом и	1	1
43	на точку зрения	2	1
44	а в том	1	1
45	мы будем всматриваться	1	1
46	мы находим в	2	1
47	я буду считать	1	1
48	одному и тому	1	1
49	если она не	2	1
50	в данный момент	1	1
51	уже и сейчас	1	1
52	с самого начала	1	1
53	как бороться с	1	1
54	между тем в	1	1
55	одной и той	1	1
56	вопрос можно ли	1	1
57	которые несмотря на	1	1
58	точно так же	2	1
59	в себе никаких	1	1
60	перед нами два	1	1
61	чтобы заметить что	1	1
62	из того что	1	1
63	а на самом	1	1
64	так что в	1	1
65	уже знаем что	1	1
66	не в том	1	1
67	если бы все	1	1
68	и в нем	2	1
69	так что эта	1	1
70	таким образом и	1	1
71	теперь мы должны	1	1
72	в жизни народов	1	1
73	ни тем более	1	1
74	иметь в виду	3	1
75	даже в этом	1	1
76	дело в том	1	1
77	может показаться что	1	1
78	что это есть	1	1
79	к тому что	2	1
80	они вовсе не	1	1
81	несмотря на всю	4	1
82	то же самое	1	1
83	но в дальнейшем	1	1
84	не есть нечто	1	1
85	и то же	4	1
86	ничего такого что	1	1
87	ясно что их	1	1
88	никто не может	1	1
89	однако это не	1	1
90	и той же	1	1
91	и в голову	1	1
92	никому и в	1	1
93	это было бы	1	1
94	находим в разных	1	1
95	в чистом виде	1	1
96	в голову не	1	1
97	только в том	1	1
98	прямого отношения к	1	1
99	та или иная	3	1
100	если мы будем	1	1
101	то время как	1	1
102	и вот тут-то	1	1
103	что в данном	1	1
104	и тому же	1	1
105	мы уже знаем	1	1
106	очень много но	1	1
107	я не могу	1	1
108	на первый взгляд	1	1
109	одно и то	4	1
110	но для этого	1	1
111	можно представить себе	1	1
112	во всем этом	1	1
113	хотя бы в	1	1
114	и состоит из	2	1
115	если это есть	1	1
116	том или ином	1	1
117	именно с точки	1	1
118	хотя и не	1	1
119	по крайней мере	4	1
120	в то время	1	1
