N	2gram	Losev_Vlad_3	BTomashe
1	у нас	5	3
2	и не	25	2
3	больше чем	2	2
4	все это	1	2
5	в ней	5	2
6	можно было	5	2
7	не то	1	2
8	более подробно	1	1
9	же не	2	1
10	за пределы	3	1
11	остановиться на	2	1
12	также что	1	1
13	будто бы	1	1
14	об этом	6	1
15	и в	40	1
16	не вполне	2	1
17	и о	4	1
18	выходит за	1	1
19	что все	7	1
20	говорить не	1	1
21	с другой	5	1
22	в своей	9	1
23	необходимо отметить	1	1
24	как первый	1	1
25	на самом	3	1
26	как будто	1	1
27	о свободе	2	1
28	и нет	1	1
29	было бы	4	1
30	все же	4	1
31	всяком случае	3	1
32	а о	2	1
33	кроме того	6	1
34	никак не	4	1
35	такое определение	1	1
36	между ними	1	1
37	точке зрения	2	1
38	еще не	4	1
39	только более	1	1
40	и на	6	1
41	только одной	1	1
42	стоит на	2	1
43	одной из	2	1
44	должна быть	2	1
45	прежде всего	10	1
46	в данном	5	1
47	и во	1	1
48	так и	6	1
49	не было	5	1
50	то как	3	1
51	в книге	2	1
52	его не	1	1
53	является только	1	1
54	совершенно не	2	1
55	чтобы можно	1	1
56	далеко не	3	1
57	не о	2	1
58	всего в	1	1
59	до конца	4	1
60	а не	8	1
61	что в	17	1
62	другой стороны	2	1
63	говорить об	1	1
64	не все	3	1
65	отнюдь не	5	1
66	признать его	1	1
67	по теоретической	1	1
68	таким образом	11	1
69	вопрос о	4	1
70	и более	2	1
71	и потому	10	1
72	не только	25	1
73	во всяком	3	1
