N	3gram	Berdyaev_O_1	Psycholo
1	в самом деле	1	18
2	на то что	1	12
3	в том что	1	11
4	и в самом	1	10
5	для того чтобы	3	8
6	и в этом	2	3
7	и то что	1	3
8	о том что	1	3
9	о том как	1	2
10	а вовсе не	1	2
11	должен был бы	1	2
12	что она должна	1	2
13	то что в	1	2
14	смысле этого слова	1	2
15	не в том	1	2
16	во всяком случае	1	2
17	что у него	2	2
18	о человеке и	5	2
19	к гибели и	1	1
20	не так как	1	1
21	потому что в	1	1
22	в зачаточном виде	1	1
23	это было бы	2	1
24	все та же	1	1
25	как и все	2	1
26	человек и в	1	1
27	между этими двумя	1	1
28	в том случае	1	1
29	в этом отношении	1	1
30	с тем что	2	1
31	до самого конца	2	1
32	заключает в себе	1	1
33	том случае если	1	1
34	в обычном смысле	1	1
35	это не есть	1	1
36	бросается в глаза	1	1
37	и все же	1	1
38	не иное что	1	1
39	по сравнению с	1	1
40	жизни а не	1	1
41	как и других	1	1
42	он не занят	2	1
43	рассказ ведется от	1	1
44	как бы в	1	1
45	не может быть	2	1
46	иное что как	1	1
