N	2gram	Bakhtin_Pr_3	Formalny
1	и в	53	24
2	в его	8	23
3	прежде всего	15	22
4	и не	15	20
5	так и	6	18
6	точки зрения	4	16
7	не может	2	16
8	в этом	8	15
9	в нем	10	14
10	может быть	12	14
11	таким образом	6	13
12	на почве	1	13
13	с точки	2	13
14	именно как	1	12
15	истории литературы	1	12
16	в своем	1	11
17	как и	11	11
18	в своей	3	11
19	в их	2	11
20	не менее	3	11
21	в ней	7	10
22	то же	6	10
23	вовсе не	3	10
24	и ее	6	10
25	и его	10	10
26	и их	2	10
27	а не	11	10
28	в то	5	9
29	в процессе	1	9
30	и потому	5	9
31	все это	8	9
32	и на	18	8
33	как в	7	8
34	и с	6	8
35	не в	2	8
36	литературы в	3	8
37	его целом	1	8
38	же время	5	8
39	в ее	3	8
40	произведения и	1	8
41	именно в	2	8
42	то что	9	8
43	на самом	1	7
44	с ее	1	7
45	не только	4	7
46	место в	2	7
47	жизни и	9	7
48	и от	3	7
49	но и	7	7
50	еще не	5	6
51	более или	3	6
52	в целом	1	6
53	все эти	9	6
54	в этой	1	6
55	как бы	14	6
56	или менее	3	6
57	на основе	2	6
58	и здесь	1	6
59	до сих	5	6
60	в том	14	6
61	было бы	5	6
62	на литературу	3	6
63	как это	2	6
64	сих пор	5	6
65	форм и	2	6
66	и все	10	6
67	а в	2	6
68	хотя бы	2	5
69	во всех	12	5
70	но в	5	5
71	в самом	2	5
72	при этом	3	5
73	и истории	1	5
74	и до	5	5
75	должны быть	1	5
76	как мы	5	5
77	проблем и	1	5
78	в литературе	5	5
79	только на	1	5
80	с другой	2	5
81	и др	14	5
82	со всею	1	5
83	формы и	3	5
84	с его	2	4
85	по отношению	2	4
86	в истории	3	4
87	независимо от	1	4
88	и к	5	4
89	в которой	2	4
90	отчасти и	2	4
91	главным образом	3	4
92	не как	1	4
93	в мире	5	4
94	с другими	3	4
95	и может	1	4
96	друг друга	1	4
97	как на	1	4
98	целом и	1	4
99	никогда не	2	4
100	для этого	1	4
101	всяком случае	1	4
102	конечно не	4	4
103	литература в	1	4
104	в связи	2	4
105	отношению к	1	4
106	с этой	1	4
107	быть и	2	4
108	что в	2	4
109	к этой	1	4
110	во всяком	1	4
111	определяется и	1	3
112	это и	1	3
113	ее целом	1	3
114	действительности и	2	3
115	мы не	4	3
116	зависимости от	2	3
117	связи со	1	3
118	время в	1	3
119	но не	5	3
120	со всеми	8	3
121	значение и	2	3
122	в общем	1	3
123	отношение к	6	3
124	когда он	1	3
125	целый ряд	1	3
126	и наконец	2	3
127	и отчасти	2	3
128	в себе	5	3
129	жизнь как	1	3
130	в европейском	1	3
131	человек не	1	3
132	так сказать	5	3
133	он не	3	3
134	перестает быть	1	3
135	всех этих	1	3
136	так например	2	3
137	в каждом	4	3
138	значение в	4	3
139	на все	2	3
140	его в	2	3
141	в жизни	8	3
142	в них	2	3
143	они не	3	3
144	тем самым	1	3
145	не о	2	3
146	в основе	5	3
147	на язык	4	3
148	связи с	1	3
149	всего в	1	3
150	литературы на	1	3
151	нашей работы	1	3
152	здесь не	4	3
153	особенно в	4	3
154	жизнь и	1	3
155	в широком	1	3
156	его художественной	1	3
157	влияние на	12	3
158	наконец в	2	3
159	как она	1	3
160	один из	6	3
161	особенно резко	1	3
162	в большинстве	4	3
163	и других	9	3
164	не для	1	3
165	в особенности	2	3
166	со всем	1	3
167	и даже	2	3
168	в области	3	3
169	не было	4	3
170	его как	1	3
171	в россии	1	3
172	ни на	1	3
173	смысле этого	2	3
174	не боится	2	3
175	ничем не	1	3
176	этого слова	1	3
177	дело идет	1	3
178	но это	3	3
179	это последнее	1	3
180	более того	6	3
181	с помощью	1	3
182	между ними	2	3
183	исторической поэтики	2	3
184	от всех	1	3
185	что он	4	3
186	в применении	1	2
187	применении к	1	2
188	и это	3	2
189	в зависимости	2	2
190	в году	1	2
191	в предыдущей	1	2
192	единство и	1	2
193	совокупности всех	2	2
194	литературы и	2	2
195	не найдем	1	2
196	а только	1	2
197	для других	2	2
198	менее всего	2	2
199	друг от	1	2
200	нет и	1	2
201	за пределы	1	2
