N	2gram	Berdyaev_O_1	Vvedenie
1	т е	4	35
2	и в	19	32
3	в том	5	31
4	в этом	12	30
5	том что	2	26
6	может быть	11	26
7	не только	11	22
8	для того	3	21
9	того чтобы	4	20
10	также и	1	18
11	то что	5	16
12	потому что	9	15
13	так как	2	15
14	не может	4	14
15	в самом	5	13
16	в нем	10	13
17	о том	3	13
18	со стороны	1	13
19	представляет собой	1	12
20	в его	7	12
21	того что	3	12
22	и не	13	12
23	в ее	2	11
24	что в	4	10
25	в истории	2	9
26	и как	1	9
27	но в	2	9
28	по себе	2	9
29	науки о	1	8
30	это не	3	8
31	не в	11	8
32	самом деле	1	7
33	вопрос о	10	7
34	но не	1	7
35	все же	2	7
36	было бы	3	7
37	можно было	1	7
38	прежде всего	9	7
39	смысле этого	1	7
40	смысле слова	1	6
41	и это	1	6
42	его в	2	6
43	с тем	2	6
44	как и	6	6
45	вовсе не	1	6
46	тем что	2	6
47	не могут	3	6
48	о природе	3	6
49	один из	1	6
50	и его	4	6
51	и даже	1	6
52	но и	13	6
53	а именно	1	6
54	все это	6	6
55	хотя бы	3	6
56	с их	1	5
57	в них	1	5
58	сказать что	2	5
59	могут быть	3	5
60	как например	1	5
61	так что	2	5
62	уже в	2	5
63	не есть	2	5
64	что не	4	5
65	на этот	1	5
66	а не	11	5
67	как бы	3	5
68	связана с	1	4
69	и то	2	4
70	как это	1	4
71	от этого	1	4
72	уже не	1	4
73	в себе	3	4
74	и заключается	1	4
75	истории и	1	4
76	должен был	2	4
77	в своей	2	4
78	в котором	1	4
79	по сравнению	1	4
80	не имеет	2	4
81	в разных	1	4
82	в каждом	1	4
83	и что	1	4
84	еще не	3	4
85	что он	3	4
86	и ее	3	4
87	одно из	2	4
88	всяком случае	1	4
89	само по	1	4
90	этом отношении	1	4
91	даже и	2	4
92	о чем	1	4
93	сравнению с	1	4
94	и для	2	4
95	особого рода	1	4
96	а в	5	4
97	во всяком	1	4
98	и есть	3	3
99	в сущности	1	3
100	не вполне	1	3
101	в виду	1	3
102	и на	2	3
103	он сам	4	3
104	совсем не	2	3
105	в центре	1	3
106	хотя и	2	3
107	и к	2	3
108	за собой	1	3
109	бы и	1	3
110	что это	1	3
111	все эти	4	3
112	в этой	5	3
113	что она	1	3
114	если бы	1	3
115	заключается в	1	3
116	в свое	1	3
117	строгом смысле	1	3
118	чем в	2	3
119	нисколько не	1	3
120	со всей	1	3
121	в этих	3	3
122	и вот	3	3
123	дело в	1	3
124	как будто	1	3
125	себе что	1	3
126	в ней	1	3
127	к нему	3	3
128	и других	1	3
129	из них	1	3
130	в одном	1	3
131	в конце	1	3
132	что и	2	3
133	отношение к	5	3
134	может служить	1	3
135	а потому	1	3
136	до конца	7	3
137	говорит о	1	3
138	в строгом	1	3
139	что же	2	3
140	знания в	1	3
141	да и	1	3
142	в своем	2	3
143	к этому	2	3
144	в частности	1	3
145	дело что	1	2
146	и до	1	2
147	должна быть	1	2
148	есть не	1	2
149	мы не	1	2
150	жизни как	1	2
151	и был	1	2
152	природы и	2	2
153	себе и	1	2
154	что нет	1	2
155	в этот	2	2
156	учение о	2	2
157	о которой	2	2
158	в силу	1	2
159	в другом	2	2
160	и с	2	2
161	ни с	7	2
162	должно быть	2	2
163	после этого	1	2
164	и тогда	1	2
165	мысли и	3	2
166	не могли	2	2
167	в отношении	1	2
168	того как	1	2
169	одна из	1	2
170	существует между	1	2
171	науку о	1	2
172	никогда не	9	2
173	в отношениях	1	2
174	ничего не	2	2
175	от того	1	2
176	у нас	1	2
177	и сам	1	2
178	так и	2	2
179	не с	1	2
180	собой в	1	2
181	и здесь	1	2
182	другом месте	1	2
183	вопросу о	1	2
184	нуждается в	1	2
185	говорит он	1	2
186	в форме	1	2
187	вообще и	1	2
188	все время	1	2
189	которой в	1	2
190	по содержанию	1	2
191	и чем	1	2
192	не было	9	2
193	есть лишь	4	2
194	ближе к	1	2
195	него в	5	2
196	этого слова	1	2
197	это есть	1	2
198	был в	1	2
199	но это	1	2
200	романов достоевского	2	2
201	не существует	1	2
202	бы в	1	2
203	ни к	1	2
204	будто бы	1	2
205	природе и	1	2
206	он и	1	2
207	жизни и	1	2
208	например в	1	1
209	сам по	1	1
210	на самом	1	1
211	человека к	2	1
212	видеть в	1	1
213	отношения к	1	1
214	та же	1	1
215	к одной	1	1
216	было до	1	1
217	нем все	1	1
218	он был	8	1
219	в уста	2	1
220	и вопрос	1	1
221	всего он	1	1
222	как в	1	1
223	в новом	1	1
224	этого типа	1	1
225	существование в	1	1
226	глубине человеческой	1	1
227	что они	2	1
228	заключено в	1	1
229	и я	1	1
230	содержание всего	1	1
231	как к	2	1
232	об обществе	1	1
233	психологии и	1	1
234	то в	1	1
235	духа в	1	1
236	из самых	1	1
237	в которой	2	1
238	с какой	1	1
239	не совпадает	1	1
240	он в	2	1
241	одно время	1	1
242	достоевского в	3	1
243	только один	1	1
244	говорят о	1	1
245	на то	1	1
246	с чем	2	1
247	больше всего	1	1
248	он должен	1	1
249	же это	2	1
250	есть один	1	1
251	не теряет	1	1
252	мысли как	1	1
253	из него	1	1
254	лишь с	1	1
255	заключает в	1	1
256	это конечно	1	1
257	что все	2	1
258	бы кажется	1	1
259	том-то и	1	1
260	различие между	3	1
261	в глубине	7	1
262	лишь в	7	1
263	с обычным	1	1
264	которого не	1	1
265	лишь на	1	1
266	его и	1	1
267	она и	1	1
268	народа и	1	1
269	человеческой природы	20	1
270	о людях	1	1
271	сторона его	1	1
272	и без	1	1
273	из которой	1	1
274	ее ни	1	1
275	свои собственные	1	1
276	но он	7	1
277	в россии	5	1
278	с разных	2	1
279	что было	1	1
280	вещей и	1	1
281	любовь к	2	1
282	и очень	2	1
283	нет никакого	1	1
284	любви и	1	1
285	мысли в	1	1
286	совершенства о	1	1
287	ее с	1	1
288	тому кто	1	1
289	не по	1	1
290	было не	1	1
291	начинает с	1	1
292	было у	1	1
293	в самой	9	1
294	том только	1	1
295	и способы	1	1
296	во всем	1	1
297	и после	1	1
298	что русский	1	1
299	всякий кто	2	1
300	к чтению	1	1
301	не потому	1	1
302	н к	1	1
303	человека в	11	1
304	отличается от	1	1
305	всего в	2	1
306	быть назван	1	1
307	в эпоху	1	1
308	можно и	1	1
309	из всего	2	1
310	и о	2	1
311	с каким	1	1
312	из сторон	1	1
313	и этим	2	1
314	говорится что	1	1
315	что у	2	1
316	бытие не	1	1
317	том как	1	1
318	люди с	1	1
319	и из	2	1
320	для целей	1	1
321	быть человек	2	1
322	после того	1	1
323	это было	3	1
324	все в	4	1
325	каждом из	1	1
326	возможности и	1	1
327	русской литературы	1	1
328	есть непременно	1	1
329	которых в	1	1
330	но нет	1	1
331	действительно в	1	1
332	и можно	1	1
333	нет такой	1	1
334	в том-то	1	1
335	был например	1	1
336	и дело	1	1
