N	2gram	Ircho_Kome_1	UchenyiS
1	и в	22	14
2	не только	10	10
3	прежде всего	5	8
4	и не	8	8
5	не может	2	7
6	в этом	3	7
7	то что	2	7
8	может быть	9	6
9	то же	6	5
10	стилистических приемов	1	5
11	и только	1	5
12	все это	5	5
13	хотя бы	1	5
14	с другой	5	4
15	но и	11	4
16	в их	4	4
17	в этой	7	4
18	то ни	2	3
19	было бы	2	3
20	как и	9	3
21	для этого	2	3
22	в частности	3	3
23	бы то	2	3
24	очевидно что	1	3
25	к сожалению	2	3
26	и формы	2	3
27	этой области	1	3
28	в то	10	3
29	все же	3	3
30	но в	4	3
31	не следует	2	3
32	же время	4	3
33	в области	2	3
34	у нас	3	3
35	другой стороны	5	3
36	ни было	2	3
37	что все	1	2
38	а между	1	2
39	же не	1	2
40	одним из	1	2
41	и с	3	2
42	а его	1	2
43	до сих	2	2
44	а как	1	2
45	это было	1	2
46	превращается в	1	2
47	мы не	3	2
48	не приходится	1	2
49	о чем	1	2
50	на эту	1	2
51	ничего не	3	2
52	должна была	2	2
53	том что	12	2
54	материал для	1	2
55	мы и	1	2
56	нас в	2	2
57	но конечно	1	2
58	но не	2	2
59	думается что	1	2
60	не все	1	2
61	в его	5	2
62	по существу	1	2
63	что и	4	2
64	по себе	1	2
65	конце концов	4	2
66	сих пор	2	2
67	но это	2	2
68	в том	11	2
69	это уже	1	2
70	и для	1	2
71	что он	6	2
72	в себе	2	2
73	формы и	1	2
74	в самом	2	2
75	между тем	5	2
76	и у	3	2
77	только в	3	2
78	мы получаем	1	2
79	не в	6	2
80	для всех	2	2
81	этом отношении	3	2
82	не могут	1	2
83	могут быть	3	2
84	в конце	6	2
85	смысле этого	1	2
86	же самое	2	2
87	не случайно	1	2
88	как раз	3	2
89	тем что	4	2
90	что она	1	2
91	таким образом	8	2
92	даже и	1	2
93	для себя	2	1
94	и это	1	1
95	об этом	1	1
96	же как	3	1
97	в исторической	1	1
98	не делает	1	1
99	в этот	1	1
100	даже не	2	1
101	был первым	1	1
102	то есть	1	1
103	сам по	1	1
104	говорить не	1	1
105	первую очередь	3	1
106	данном случае	1	1
107	или иначе	1	1
108	в период	2	1
109	только при	2	1
110	и прежде	1	1
111	или меньшей	1	1
112	было и	1	1
113	из самых	1	1
114	или по	2	1
115	и др	1	1
116	сам автор	2	1
117	к которой	1	1
118	поэтов и	1	1
119	объясняется и	1	1
120	но прежде	1	1
121	так и	5	1
122	по его	1	1
123	одной стороны	3	1
124	той же	1	1
125	относится к	2	1
126	отсюда и	1	1
127	до конца	2	1
128	у других	2	1
129	оно все	1	1
130	в храме	1	1
131	с тем	1	1
132	была уже	2	1
133	и эстетической	1	1
134	он становится	1	1
135	именно к	1	1
136	и даже	5	1
137	или менее	2	1
138	стороны в	1	1
139	в г	11	1
140	о нем	1	1
141	этой же	2	1
142	в порядке	1	1
143	как на	1	1
144	приводит к	1	1
145	о том	8	1
146	в ней	1	1
147	и потому	1	1
148	почти не	2	1
149	в котором	4	1
150	и что	1	1
151	он был	2	1
152	все его	1	1
153	быть в	1	1
154	из которых	2	1
155	в значительной	1	1
156	в пользу	1	1
157	кого бы	1	1
158	в течение	3	1
159	в той	1	1
160	он может	1	1
161	отказ от	1	1
162	в данном	1	1
163	что же	1	1
164	бы в	1	1
165	не входит	1	1
166	того что	1	1
167	что основной	1	1
168	друг другу	1	1
169	в которых	1	1
170	доказывает что	1	1
171	в наиболее	1	1
172	на его	5	1
173	говорит он	1	1
174	ничуть не	1	1
175	за пределы	2	1
176	на то	3	1
177	него не	1	1
178	иначе в	2	1
179	его как	1	1
180	отнюдь не	1	1
181	толстого и	1	1
182	независимо от	2	1
183	впрочем не	1	1
184	принципов и	1	1
185	большей или	1	1
186	в своем	1	1
187	и все	3	1
188	того как	3	1
189	что только	1	1
190	по меньшей	2	1
191	тот же	3	1
192	более или	1	1
193	которое мы	1	1
194	всего лишь	1	1
195	по мнению	1	1
196	в которой	6	1
197	меньшей мере	2	1
198	больше чем	1	1
199	бы ни	1	1
200	так или	1	1
201	он в	1	1
202	с одной	3	1
203	впрочем в	1	1
204	в качестве	4	1
205	в известном	2	1
206	начала и	1	1
207	мировоззрения и	1	1
208	с новой	1	1
209	что по	2	1
210	бы только	1	1
211	далеко не	1	1
212	ее как	1	1
213	то и	2	1
214	претендует на	1	1
215	же в	4	1
216	в виде	3	1
217	не столь	1	1
218	тезис о	1	1
219	иначе связанные	1	1
220	в нем	4	1
221	связанные с	2	1
222	но если	1	1
223	месте в	1	1
224	он не	3	1
225	где бы	1	1
226	о которой	1	1
227	поэта не	1	1
228	сказать что	1	1
229	в первую	2	1
230	только часть	1	1
231	содержания и	1	1
232	в современном	1	1
233	что под	1	1
234	несомненно что	1	1
235	время не	1	1
236	может служить	1	1
237	но он	2	1
238	у него	3	1
239	мы можем	4	1
240	и независимо	1	1
241	ее в	2	1
242	и эта	1	1
243	это в	1	1
244	отказаться от	1	1
245	к этому	4	1
246	что в	6	1
247	в таком	1	1
248	когда бы	2	1
249	все что	2	1
