N	3gram	Voloshinov_1	Vladivir
1	в том что	1	10
2	тем не менее	1	9
3	о том что	2	8
4	с точки зрения	5	6
5	вместе с тем	2	6
6	не может быть	2	6
7	в те времена	1	5
8	более или менее	1	5
9	как раз и	1	5
10	в конце концов	3	5
11	и в этом	1	5
12	содержит в себе	1	4
13	хотя бы и	1	3
14	в то же	9	3
15	и в отношении	1	3
16	само по себе	1	3
17	как мы видели	3	3
18	это же самое	1	2
19	само собой разумеется	2	2
20	иметь в виду	1	2
21	но даже и	1	2
22	в этом отношении	2	2
23	независимо от того	1	2
24	и в то	2	2
25	даже и в	1	2
26	в связи с	2	2
27	с другой стороны	1	2
28	бросается в глаза	1	2
29	в себе и	1	2
30	то же время	7	2
31	к тому что	2	2
32	говоря уже об	1	1
33	что иное как	2	1
34	не может не	1	1
35	уже содержит в	1	1
36	в нашем сознании	1	1
37	является не просто	1	1
38	а с тем	2	1
39	в виду что	1	1
40	и как мы	1	1
41	и не только	2	1
42	что перед нами	2	1
43	так как в	1	1
44	в том и	1	1
45	в этом случае	3	1
46	как нет и	1	1
47	во второй статье	1	1
48	являются для нас	1	1
49	того времени когда	1	1
50	в дальнейшем мы	1	1
51	о которой мы	1	1
52	до сих пор	1	1
53	тому что мы	1	1
54	нетрудно заметить что	1	1
55	силу которого она	1	1
56	должен был бы	1	1
57	бытие в котором	1	1
58	лишь при условии	1	1
59	же самое время	2	1
60	не иначе как	1	1
61	несмотря на свою	1	1
62	можно было бы	1	1
63	уже не только	1	1
64	перед нами не	1	1
65	благодаря тому что	1	1
66	одно и то	3	1
67	вопрос неужели и	1	1
68	конечно это не	1	1
69	отнюдь не является	1	1
70	и в жизни	1	1
71	ни в какой	1	1
72	того чтобы не	1	1
73	так а не	1	1
74	вопрос о том	1	1
75	ни слова а	1	1
76	не только в	3	1
77	самого начала своего	1	1
78	не говоря уже	1	1
79	а не иначе	1	1
80	и то же	3	1
81	и никак не	1	1
82	но и его	1	1
83	но вместе с	1	1
84	говорить не о	1	1
85	только в словесном	1	1
86	хотя бы на	1	1
87	что вся система	1	1
88	все то что	2	1
89	мы уже видели	2	1
90	не менее и	1	1
91	если мы будем	1	1
92	время является и	1	1
93	мы не можем	1	1
94	но об этом	2	1
95	еще раз что	1	1
96	эту точку зрения	1	1
97	с самого начала	4	1
98	не только не	1	1
99	но все эти	1	1
100	в самом деле	1	1
101	с целым рядом	1	1
102	той или иной	3	1
103	которой мы сейчас	1	1
104	не только на	1	1
105	в силу которого	1	1
106	мы видим что	2	1
107	не что иное	2	1
108	мы уже знаем	1	1
109	для того чтобы	7	1
110	то же самое	4	1
111	на наш взгляд	1	1
