N	2gram	Kanaev_Sov_1	Formalny
1	и в	7	38
2	в этом	7	27
3	может быть	12	23
4	и его	1	21
5	и пр	2	21
6	таким образом	11	20
7	и не	6	20
8	в самом	2	16
9	не в	3	15
10	прежде всего	5	15
11	не может	17	14
12	в нем	3	13
13	связи с	1	13
14	с его	1	11
15	в том	4	11
16	вовсе не	1	11
17	в его	2	10
18	в связи	1	10
19	с помощью	4	10
20	не только	4	9
21	при этом	3	9
22	как и	6	9
23	в процессе	1	9
24	самом деле	2	8
25	отнюдь не	3	8
26	все же	3	8
27	точки зрения	12	8
28	в первом	3	7
29	как мы	2	7
30	в корне	1	7
31	по себе	1	7
32	с точки	5	7
33	во втором	1	7
34	уже не	2	7
35	не могут	2	7
36	по существу	1	7
37	что в	2	7
38	в ней	1	6
39	все эти	5	6
40	в этой	3	6
41	то же	3	6
42	было бы	3	6
43	он не	1	6
44	могут быть	2	6
45	все время	1	6
46	только в	1	6
47	первый период	2	6
48	не было	1	6
49	вместе с	4	6
50	а не	3	6
51	в результате	6	6
52	а в	4	6
53	это и	1	5
54	по преимуществу	1	5
55	в первый	1	5
56	говорить о	2	5
57	во всех	1	5
58	в то	1	5
59	же время	1	5
60	ни о	1	5
61	если бы	1	5
62	и должно	1	5
63	и только	1	5
64	всяком случае	2	5
65	если мы	4	5
66	и речи	1	5
67	именно в	1	5
68	с этим	2	5
69	что же	5	5
70	и для	1	5
71	еще более	2	5
72	во всяком	2	5
73	здесь и	1	4
74	независимо от	1	4
75	и наконец	5	4
76	и к	3	4
77	мы видели	4	4
78	раз и	1	4
79	ничего не	6	4
80	в дальнейшем	4	4
81	каждый элемент	1	4
82	но в	3	4
83	в большинстве	1	4
84	из них	4	4
85	так как	4	4
86	и даже	2	4
87	в некоторых	2	4
88	там где	1	4
89	мы говорим	1	4
90	как бы	4	4
91	дело идет	1	4
92	метод в	1	4
93	совершенно не	2	4
94	к этому	1	4
95	они не	1	4
96	же как	1	3
97	тем же	2	3
98	и до	1	3
99	в зависимости	4	3
100	мы не	9	3
101	зависимости от	4	3
102	если в	1	3
103	чем же	1	3
104	хотя и	1	3
105	не приходится	1	3
106	что это	2	3
107	в целом	4	3
108	из этих	2	3
109	но ведь	1	3
110	роль в	2	3
111	только на	1	3
112	так сказать	2	3
113	и может	1	3
114	его в	1	3
115	в ином	1	3
116	для них	1	3
117	такой же	2	3
118	только и	1	3
119	не является	1	3
120	в области	3	3
121	но все	2	3
122	его с	1	3
123	своего развития	1	3
124	период развития	2	3
125	так в	1	3
126	одного из	1	3
127	пр но	1	3
128	к нему	1	3
129	в какой	1	3
130	то и	2	3
131	мы знаем	2	3
132	и их	1	3
133	о каком	1	3
134	с другой	1	3
135	а о	1	3
136	и прежде	1	3
137	быть и	2	3
138	все это	3	3
139	на самом	1	3
140	или в	1	3
141	и все	3	3
142	жизни и	4	3
143	можно говорить	1	2
144	в такой	1	2
145	идет о	1	2
146	между двумя	1	2
147	к другому	1	2
148	по аналогии	1	2
149	функции в	1	2
150	его здесь	1	2
151	совсем не	1	2
152	но не	1	2
153	но как	1	2
154	отличие от	2	2
155	ни одна	2	2
156	определенных условиях	1	2
157	кроме того	1	2
158	та же	1	2
159	в которой	2	2
160	уже в	3	2
161	он в	3	2
162	же это	4	2
163	и более	1	2
164	и по	2	2
165	на этом	2	2
166	в основу	1	2
167	то ни	2	2
168	том случае	1	2
169	должен был	1	2
170	ни в	1	2
171	само собою	3	2
172	в развитии	4	2
173	должно быть	1	2
174	том что	1	2
175	представление о	1	2
176	в отличие	2	2
177	от его	1	2
178	как их	1	2
179	их в	4	2
180	она не	1	2
