N	3gram	Losev_Vlad_3	Russkaja
1	то же время	2	10
2	в то же	3	10
3	с точки зрения	6	9
4	в том что	10	7
5	во всяком случае	3	6
6	для того чтобы	1	6
7	до сих пор	1	5
8	более или менее	5	4
9	на то что	2	4
10	бы то ни	3	4
11	в том случае	3	4
12	не может быть	6	4
13	к которой он	1	4
14	не может не	1	3
15	то ни стало	2	3
16	во что бы	2	3
17	при таких условиях	2	3
18	в этом случае	1	3
19	том случае если	2	3
20	вместе с тем	6	3
21	с тем чтобы	1	3
22	можно было бы	1	3
23	и то что	4	3
24	что бы то	2	3
25	в данном случае	2	3
26	и если в	1	3
27	в конце концов	5	3
28	той или иной	1	3
29	а следовательно и	1	2
30	точно так же	4	2
31	в настоящее время	3	2
32	в том и	1	2
33	лишь при условии	1	2
34	только в том	3	2
35	в себе и	2	2
36	в данном вопросе	1	2
37	и в том	2	2
38	в самом себе	1	2
39	и вместе с	2	2
40	лишь в том	1	2
41	о том что	8	2
42	к тому что	2	2
43	сама по себе	1	2
44	к богу а	1	1
45	уже знаем что	1	1
46	и в жизни	1	1
47	дело в том	5	1
48	так же и	1	1
49	между прочим и	1	1
50	в самом деле	1	1
51	но даже и	2	1
52	не дала бы	1	1
53	в том числе	1	1
54	то же самое	1	1
55	в том же	1	1
56	мы уже знаем	1	1
57	и не только	1	1
58	и то и	1	1
59	стремления во что	1	1
60	том что вся	1	1
61	не может иметь	1	1
62	с ярко выраженной	1	1
63	представить себе что	1	1
64	только то что	1	1
65	в этом отношении	2	1
66	ко всему этому	1	1
67	от того чтобы	1	1
68	перед нами не	1	1
69	на точке зрения	1	1
70	приходится признать что	1	1
71	не просто в	1	1
72	в противном случае	1	1
73	лишь постольку поскольку	1	1
74	иначе и не	1	1
75	то и другое	1	1
76	отнюдь не является	1	1
77	говорить не о	1	1
78	не есть только	1	1
79	не подлежит никакому	1	1
80	и в своем	1	1
81	сводится к тому	2	1
82	и что в	1	1
83	никогда не был	4	1
84	то ни было	1	1
85	подлежит никакому сомнению	1	1
86	не был и	1	1
87	только в виде	2	1
88	все они имеют	1	1
89	и должно быть	1	1
90	самое большее что	1	1
91	и в этом	5	1
92	ни на каком	1	1
93	в связи с	2	1
94	случае когда оно	1	1
95	также и то	3	1
96	только с точки	1	1
97	так же как	2	1
98	о которых мы	1	1
99	потому что они	1	1
100	но можно ли	1	1
101	само собой разумеется	2	1
102	если стоять на	1	1
103	собой разумеется что	1	1
104	заключается в том	1	1
105	даже и в	2	1
106	это и есть	1	1
107	речь шла о	1	1
108	с самого начала	1	1
109	то это есть	2	1
110	вопрос о том	1	1
111	и потому тоже	1	1
112	он еще не	1	1
113	несмотря на все	1	1
114	является для них	1	1
115	а в действительном	1	1
116	тем не менее	9	1
117	в согласии с	2	1
118	том случае когда	1	1
119	бы для него	1	1
120	критическом отношении к	1	1
121	нечего и говорить	1	1
122	к тому же	5	1
123	не только от	1	1
