N	2gram	Bakhtin_Fr_3	BTomashe
1	у нас	4	3
2	и не	13	2
3	больше чем	2	2
4	все это	4	2
5	в ней	4	2
6	можно было	3	2
7	выпадает из	1	1
8	художественного произведения	1	1
9	не укладывается	1	1
10	будто бы	1	1
11	об этом	3	1
12	и в	40	1
13	и о	4	1
14	со всем	2	1
15	моментом в	1	1
16	по богатству	1	1
17	с другой	2	1
18	в своей	6	1
19	своей книге	2	1
20	на самом	3	1
21	как будто	1	1
22	было бы	4	1
23	все же	2	1
24	всяком случае	1	1
25	кроме того	3	1
26	никак не	3	1
27	между ними	3	1
28	меньше чем	1	1
29	еще не	3	1
30	только более	1	1
31	и на	8	1
32	в пределах	1	1
33	представляется нам	2	1
34	одной из	2	1
35	в значительной	3	1
36	забывать что	1	1
37	прежде всего	16	1
38	в данном	4	1
39	и во	4	1
40	работа по	1	1
41	так и	3	1
42	о них	1	1
43	не было	5	1
44	в книге	2	1
45	из своей	1	1
46	далеко не	2	1
47	всего в	1	1
48	до конца	6	1
49	нельзя не	1	1
50	этой книги	2	1
51	а не	5	1
52	что в	12	1
53	в области	4	1
54	другой стороны	1	1
55	также не	1	1
56	и ее	2	1
57	богатству материала	1	1
58	отнюдь не	1	1
59	таким образом	10	1
60	и более	1	1
61	и потому	4	1
62	не только	13	1
63	значительной степени	2	1
64	во всяком	1	1
65	в эпоху	8	1
