N	2gram	Tiupa_Narr_2	VelikijI
1	и не	14	20
2	и в	13	16
3	то что	8	9
4	еще не	2	8
5	что они	3	7
6	а не	17	7
7	и потому	1	7
8	на себя	1	5
9	но и	15	5
10	по пути	1	5
11	того что	6	5
12	хотя и	5	5
13	в мире	4	5
14	все это	1	5
15	что есть	1	5
16	как бы	6	5
17	говорить о	2	4
18	в его	6	4
19	в этом	13	4
20	что он	5	4
21	потому что	2	4
22	в нем	5	4
23	так и	9	4
24	что все	1	4
25	что не	1	4
26	как и	4	4
27	что мы	1	4
28	смысла жизни	1	4
29	в котором	5	4
30	в ней	2	4
31	и все	4	4
32	это еще	1	4
33	все что	4	4
34	и что	2	3
35	должна быть	2	3
36	к вечности	1	3
37	хотя бы	2	3
38	в чем	2	3
39	с его	3	3
40	во всех	1	3
41	что и	2	3
42	в том	14	3
43	но в	6	3
44	бы и	1	3
45	все эти	3	3
46	от которого	3	3
47	в конце	4	3
48	их в	1	3
49	в своей	4	3
50	в жизни	6	3
51	ни в	1	3
52	должно быть	1	3
53	если не	2	3
54	в этих	1	3
55	что я	3	3
56	не в	8	3
57	тому что	3	3
58	но это	2	3
59	человечества и	1	3
60	не имеет	2	3
61	никогда не	6	3
62	первый раз	1	3
63	превращается в	2	3
64	и для	3	3
65	к тому	9	3
66	жизни и	4	3
67	что в	4	3
68	оно не	2	3
69	а между	1	2
70	того чтобы	3	2
71	не имел	1	2
72	от своей	1	2
73	у людей	1	2
74	но мы	1	2
75	и сам	3	2
76	и т	2	2
77	можно было	2	2
78	его не	1	2
79	людей есть	1	2
80	мы не	2	2
81	когда в	1	2
82	в последнем	1	2
83	с ним	4	2
84	вместо того	1	2
85	в личности	1	2
86	быть личностью	2	2
87	и во	1	2
88	между тем	3	2
89	вслед за	6	2
90	от этих	1	2
91	не с	1	2
92	человека как	1	2
93	его к	1	2
94	только в	11	2
95	личности а	1	2
96	в себя	4	2
97	уже не	4	2
98	не только	26	2
99	для него	4	2
100	не хотел	1	2
101	не к	4	2
102	в прошлом	1	2
103	не могли	1	2
104	тем что	1	2
105	на том	3	2
106	не будет	2	2
107	это не	3	2
108	истории и	1	2
109	а с	2	2
110	и люди	1	2
111	прежде всего	6	2
112	мы и	1	2
113	один из	3	2
114	мира в	4	2
115	более чем	2	2
116	не могут	1	2
117	только стало	1	2
118	мир и	1	2
119	а есть	1	2
120	что было	1	2
121	да и	3	2
122	одна из	3	2
123	в бога	1	2
124	том что	13	2
125	а к	3	2
126	для нас	2	2
127	в форме	5	2
128	и теперь	1	2
129	ее в	1	2
130	которым можно	1	2
131	людей и	1	2
132	давно уже	2	2
133	что теперь	1	2
134	это все	1	2
135	а в	9	2
136	но не	3	2
137	чтобы сделать	1	2
138	во всяком	1	2
139	эта новая	1	1
140	как мы	1	1
141	быть может	2	1
142	в виду	1	1
143	в сердце	2	1
144	проявляется как	1	1
145	для себя	3	1
146	в ее	4	1
147	том свете	2	1
148	роль в	2	1
149	он осуществляет	1	1
150	мы будем	1	1
151	если они	1	1
152	которое может	1	1
153	то же	4	1
154	это он	1	1
155	человеческого бытия	1	1
156	до времени	1	1
157	с внутренним	1	1
158	в результате	2	1
159	бога это	1	1
160	это только	1	1
161	по сравнению	1	1
162	вопрос о	1	1
163	не была	1	1
164	с радостью	1	1
165	о возможности	1	1
166	я не	5	1
167	над смертью	1	1
168	зависимости от	1	1
169	не ведая	1	1
170	смерть никогда	1	1
171	меня в	1	1
172	как сам	1	1
173	теперь и	1	1
174	со словами	1	1
175	истории в	4	1
176	жизни с	2	1
177	к нему	1	1
178	важный для	1	1
179	тайной и	1	1
180	сознания не	1	1
181	присутствует в	2	1
182	в новом	1	1
183	а потому	1	1
184	тогда как	15	1
185	что человек	1	1
186	себе и	2	1
187	бы в	2	1
188	себя но	2	1
189	не просто	1	1
190	человеческую жизнь	1	1
191	сложное и	1	1
192	и уж	1	1
193	как в	5	1
194	бытия на	1	1
195	в своем	6	1
196	я был	1	1
197	известном смысле	3	1
198	все же	6	1
199	но с	1	1
200	себя с	2	1
201	в двух	1	1
202	могли бы	2	1
203	жизнь свою	1	1
204	с ними	3	1
205	ли он	1	1
206	и так	1	1
207	со своей	2	1
208	в самом	2	1
209	их жизни	1	1
210	в которой	1	1
211	что это	4	1
212	в целом	3	1
213	счастья и	1	1
214	в этой	4	1
215	в известном	3	1
216	не знающего	1	1
217	им в	1	1
218	я в	5	1
219	то и	3	1
220	в виде	2	1
221	по словам	2	1
222	и стало	1	1
223	или даже	3	1
224	только себя	1	1
225	о которой	3	1
226	в я	1	1
227	теперь его	1	1
228	не будут	1	1
229	искать в	1	1
230	любви в	1	1
231	вовсе не	2	1
232	не для	1	1
233	отношение к	1	1
234	нашего времени	1	1
235	но что	1	1
236	у него	6	1
237	не случайно	2	1
238	и по	3	1
239	и человеческого	1	1
240	на этом	1	1
241	бы от	1	1
242	так легко	1	1
243	на нее	1	1
244	лишь к	1	1
245	бы это	1	1
246	для того	1	1
247	в едином	1	1
248	должна иметь	1	1
249	себя мы	1	1
250	конечно в	1	1
251	и с	1	1
252	было не	1	1
253	а его	1	1
254	себя не	2	1
255	человеком как	1	1
256	с другой	5	1
257	хоть и	1	1
258	которого не	1	1
259	есть не	1	1
260	в глазах	4	1
261	и быть	1	1
262	к миру	2	1
263	бытия в	2	1
264	и тем	5	1
265	люди что	1	1
266	нового времени	2	1
267	отказавшись от	1	1
268	говорит о	2	1
269	к человеку	1	1
270	церкви и	2	1
271	и своего	1	1
272	и опять	2	1
273	ничем не	1	1
274	у человека	1	1
275	человеческой жизни	1	1
276	не всегда	1	1
277	далее и	1	1
278	и уже	4	1
279	с которым	1	1
280	человека не	1	1
281	жизни но	1	1
282	о чем	2	1
283	мировой истории	1	1
284	в бытии	2	1
285	и вновь	2	1
286	таким же	1	1
287	вместе с	1	1
288	так же	2	1
289	как это	4	1
290	за которым	2	1
291	то есть	9	1
292	в лице	1	1
293	в человеке	1	1
294	у нас	2	1
295	в которых	1	1
296	он говорит	1	1
297	сравнению с	1	1
298	с такой	1	1
299	ведет к	2	1
300	в одном	1	1
301	о личности	2	1
302	а потом	2	1
303	и великим	1	1
304	в мир	1	1
305	поскольку он	1	1
306	ведет не	1	1
307	думать о	2	1
308	освободиться от	1	1
309	с этой	3	1
310	абсолютной ценности	1	1
311	раз и	1	1
312	нет никакого	1	1
313	и нет	1	1
314	можно ли	1	1
315	людей а	1	1
316	человека есть	2	1
317	и внешней	1	1
318	как можно	1	1
319	ни для	2	1
320	из нас	1	1
321	на котором	1	1
322	роковым образом	1	1
323	не по	1	1
324	но она	1	1
325	не существует	1	1
326	нам и	1	1
327	и от	1	1
328	мира и	3	1
329	ничего не	6	1
330	человек и	1	1
331	жизни не	1	1
332	может быть	10	1
333	пути и	1	1
334	будто бы	1	1
335	будет еще	1	1
336	на него	5	1
337	в сознании	2	1
338	к жизни	1	1
339	есть продукт	1	1
340	к ее	1	1
341	жизни в	6	1
342	в будущем	2	1
343	может и	1	1
344	ничего нельзя	1	1
345	о своем	2	1
346	к этому	1	1
347	тайны и	1	1
348	слышим и	1	1
349	личность не	3	1
350	я вижу	1	1
351	в своих	2	1
352	в процессе	2	1
353	прошлом и	1	1
354	она не	1	1
355	они не	2	1
