N	3gram	Tiupa_Anal_1	Myslijsy
1	по отношению к	5	13
2	в том что	9	13
3	не может быть	16	9
4	только в том	1	6
5	с другой стороны	2	5
6	но и в	2	4
7	не в том	3	4
8	субъекта и объекта	1	4
9	в свою очередь	1	4
10	в этом смысле	1	4
11	только тогда когда	1	4
12	подобно тому как	3	3
13	с точки зрения	4	3
14	в противном случае	1	3
15	с одной стороны	3	3
16	и той же	1	3
17	то же время	6	3
18	и как бы	1	3
19	не только в	1	3
20	в то же	8	3
21	одной и той	1	3
22	что иное как	5	2
23	в том и	2	2
24	в разные времена	1	2
25	в таком случае	3	2
26	бы то ни	3	2
27	по крайней мере	1	2
28	к тому что	1	2
29	и при этом	1	2
30	не могут быть	2	2
31	для того чтобы	3	2
32	и того же	2	2
33	и т п	3	2
34	одного и того	2	2
35	не что иное	4	2
36	быть не может	3	2
37	как и в	1	2
38	в том виде	1	1
39	субъективности и объективности	1	1
40	он не есть	1	1
41	имеет дело с	1	1
42	того что в	2	1
43	а не в	3	1
44	не говоря уже	1	1
45	но то что	1	1
46	при помощи языка	1	1
47	душевной жизни человека	1	1
48	что как бы	1	1
49	существует независимо от	1	1
50	в произведении искусства	3	1
51	говоря уже о	1	1
52	сам по себе	1	1
53	сами по себе	2	1
54	в этом отношении	2	1
55	том что именно	1	1
56	из того что	3	1
57	в собственном смысле	1	1
58	до сих пор	1	1
59	виде в каком	1	1
60	но и самого	1	1
61	она может быть	1	1
62	с этой точки	1	1
63	как если бы	1	1
64	не в состоянии	1	1
65	это была бы	1	1
66	может быть понят	1	1
67	то есть его	1	1
68	более или менее	1	1
69	то ни было	3	1
70	всякое понимание есть	1	1
71	смысле этого слова	1	1
72	в связи с	1	1
73	и не могут	1	1
74	все без исключения	1	1
75	в собственном значении	2	1
76	между тем в	1	1
77	имеют значение только	1	1
78	значение только в	1	1
79	во всяком случае	1	1
80	в себе все	1	1
81	между тем как	1	1
82	и таким образом	1	1
83	совмещает в себе	1	1
84	и все же	2	1
85	том виде в	1	1
86	то что мы	1	1
87	лишь в том	3	1
88	и тем самым	1	1
89	о том что	3	1
90	этой точки зрения	1	1
91	как и во	1	1
92	возможно только в	1	1
93	в первом случае	2	1
94	противном случае мы	1	1
95	но в мире	1	1
96	не следует думать	1	1
97	не так как	1	1
