N	2gram	Nazirov_Tv_2	Narrotol
1	не только	13	32
2	может быть	8	25
3	но и	8	23
4	и не	9	20
5	то есть	5	19
6	и в	20	19
7	в том	8	18
8	в этом	8	17
9	в тексте	1	16
10	не в	4	14
11	в частности	2	14
12	том что	4	14
13	представляет собой	1	12
14	тогда как	3	12
15	в рамках	1	12
16	своего рода	3	12
17	а не	6	12
18	то что	3	11
19	а в	4	11
20	не может	7	10
21	при этом	8	9
22	в мире	5	9
23	так и	6	9
24	в его	10	9
25	со стороны	1	9
26	в себе	3	8
27	с другой	2	8
28	не является	3	8
29	героя в	4	8
30	еще не	5	7
31	по отношению	3	7
32	как в	4	7
33	все же	5	7
34	в случае	1	7
35	как и	6	7
36	к тому	1	7
37	с одной	1	7
38	такого рода	1	7
39	с его	1	6
40	но не	5	6
41	точка зрения	2	6
42	то в	1	6
43	тем самым	4	6
44	в себя	1	6
45	о том	5	6
46	что он	6	6
47	именно в	6	6
48	как это	1	6
49	отношению к	3	6
50	том числе	1	6
51	но в	4	6
52	не все	1	5
53	отличие от	2	5
54	отнюдь не	4	5
55	и как	1	5
56	уже не	3	5
57	в этой	5	5
58	тому же	2	5
59	в отличие	2	5
60	по себе	1	5
61	в основе	2	5
62	и его	9	5
63	к себе	1	5
64	нуждается в	1	5
65	себя в	2	5
66	или иной	1	5
67	речь идет	1	4
68	переход от	1	4
69	то же	7	4
70	как правило	2	4
71	в противовес	1	4
72	перед нами	1	4
73	за собой	4	4
74	за границей	1	4
75	в нем	3	4
76	в принципе	4	4
77	в силу	1	4
78	же не	2	4
79	и с	8	4
80	было бы	1	4
81	не мог	1	4
82	точку зрения	2	4
83	пока еще	1	4
84	жизненной позиции	1	4
85	связи с	1	4
86	числе и	1	4
87	той или	1	4
88	не столько	2	4
89	о нем	1	4
90	одного из	1	4
91	же время	7	4
92	только в	2	4
93	при всей	1	4
94	у него	6	4
95	что не	3	4
96	прежде всего	8	4
97	в рассказе	3	4
98	если не	4	4
99	в церкви	1	4
100	как бы	11	4
101	отличается от	1	4
102	одной из	3	4
103	героя и	2	4
104	сказать что	1	4
105	другой стороны	2	4
106	это и	1	3
107	в первом	1	3
108	же как	3	3
109	жизни как	1	3
110	и он	2	3
111	и на	5	3
112	может не	1	3
113	в ее	2	3
114	если в	1	3
115	что они	4	3
116	хотя и	4	3
117	когда он	4	3
118	что это	1	3
119	уже в	2	3
120	из этих	1	3
121	не есть	1	3
122	героя к	1	3
123	он не	3	3
124	по бахтину	1	3
125	особенно в	2	3
126	который по	1	3
127	ни в	1	3
128	не менее	2	3
129	в то	10	3
130	тем что	3	3
131	одна из	3	3
132	на него	2	3
133	никогда не	11	3
134	на себя	1	3
135	могут быть	2	3
136	как мы	1	3
137	свою очередь	1	3
138	сводится к	2	3
139	то или	1	3
140	не с	1	3
141	мог бы	1	3
142	столь же	1	3
143	как было	1	3
144	в конечном	1	3
145	восходит к	2	3
146	между тем	3	3
147	один из	3	3
148	из них	2	3
149	не о	1	3
150	за границу	1	3
151	и даже	5	3
152	даже не	1	3
153	в свою	1	3
154	а с	3	3
155	истории в	1	3
156	как будто	1	3
157	что в	7	3
158	будто бы	1	3
159	жизни в	3	3
160	а во	2	3
161	как известно	2	2
162	одним из	3	2
163	например в	5	2
164	таком случае	2	2
165	и потому	4	2
166	самом деле	2	2
167	и до	1	2
168	который в	1	2
169	со смертью	1	2
170	говорить о	2	2
171	между собой	1	2
172	он сам	3	2
173	действующее лицо	1	2
174	но как	1	2
175	не то	1	2
176	отношение к	1	2
177	нет и	2	2
178	или иное	1	2
179	другой день	1	2
180	не являются	1	2
181	в противоположность	1	2
182	матерью и	1	2
183	все эти	4	2
184	бы не	2	2
185	в известном	1	2
186	роль в	2	2
187	например как	1	2
188	человека в	3	2
189	а по	1	2
190	его в	3	2
191	того или	1	2
192	его личности	1	2
193	это не	7	2
