1	в то время как	2	3
2	в тех случаях когда	2	3
3	за тридевять земель в	1	2
4	даже в тех случаях	1	2
5	вздумать ни взгадать ни	1	1
6	ни взгадать ни в	1	1
7	и т д в	2	1
8	случай который может быть	1	1
9	может быть поставлен вопрос	1	1
10	это не значит что	2	1
11	на весы кто кого	1	1
12	было зажжено великое множество	1	1
13	пусть иван-царевич идет со	1	1
14	с другой стороны у	1	1
15	что ни вздумать ни	1	1
16	воздуху золотая колесница в	1	1
17	иван-царевич идет со мной	1	1
18	было так чудно и	1	1
19	так сияло как бы	1	1
20	по воздуху золотая колесница	1	1
21	такой случай мы имеем	1	1
22	это перо было так	1	1
23	одно и то же	1	1
24	идет со мной на	1	1
25	в упряжи шесть огненных	1	1
26	неописанной что ни вздумать	1	1
27	на колеснице сидит королевна	1	1
28	взгадать ни в сказке	1	1
29	до сих пор не	1	1
30	мной на весы кто	1	1
31	же можно сказать о	1	1
32	чудно и светло что	1	1
33	и т д все	1	1
34	ежели принесть его в	1	1
35	огненных змеев на колеснице	1	1
36	то оно так сияло	1	1
37	комбинируются друг с другом	1	1
38	золотая колесница в упряжи	1	1
39	елена премудрая такой красы	1	1
40	перо это перо было	1	1
41	не что иное как	1	1
42	светло что ежели принесть	1	1
43	что ежели принесть его	1	1
44	землю летит по воздуху	1	1
45	летит по воздуху золотая	1	1
46	в том покое было	1	1
47	колеснице сидит королевна елена	1	1
48	перо было так чудно	1	1
49	и т д но	4	1
50	с другой стороны оно	1	1
51	бы в том покое	1	1
52	и т д здесь	1	1
53	сидит королевна елена премудрая	1	1
54	королевна елена премудрая такой	1	1
55	колесница в упряжи шесть	1	1
56	есть не что иное	1	1
57	здесь как и в	1	1
58	в сказке о жар-птице	2	1
59	со мной на весы	1	1
60	так чудно и светло	1	1
61	премудрая такой красы неописанной	1	1
62	ни в сказке сказать	1	1
63	весы кто кого перевесит	1	1
64	похожи друг на друга	1	1
65	покое было зажжено великое	1	1
66	красы неописанной что ни	1	1
67	то же можно сказать	1	1
68	мы уже видели выше	1	1
69	небо и землю летит	1	1
70	шесть огненных змеев на	1	1
71	осияло и небо и	1	1
72	и небо и землю	1	1
73	зажжено великое множество свеч	1	1
74	змеев на колеснице сидит	1	1
75	в том что он	1	1
76	упряжи шесть огненных змеев	1	1
77	такой красы неописанной что	1	1
78	оно так сияло как	1	1
79	то это значит что	1	1
80	и светло что ежели	1	1
81	том покое было зажжено	1	1
82	сияло как бы в	1	1
83	ни вздумать ни взгадать	1	1
84	принесть его в темную	1	1
85	и землю летит по	1	1
86	как бы в том	1	1
