N	2gram	Losev_Prob_2	Komedia
1	и в	35	22
2	т е	1	13
3	том что	19	12
4	но и	16	11
5	в том	12	11
6	не только	24	10
7	в то	6	10
8	и т	6	9
9	как и	5	9
10	может быть	18	9
11	таким образом	4	8
12	должны были	3	8
13	о том	18	8
14	и его	1	8
15	в одном	1	8
16	и не	37	8
17	едва ли	9	7
18	в этой	9	7
19	то же	5	6
20	и по	3	6
21	не в	2	6
22	в отношении	4	6
23	ни в	6	6
24	в конце	7	6
25	одного из	1	6
26	что он	4	6
27	такого рода	15	6
28	к тому	3	6
29	а в	4	6
30	что в	11	6
31	в истории	3	5
32	как в	1	5
33	то время	1	5
34	при этом	3	5
35	во время	1	5
36	потому что	13	5
37	со своим	1	5
38	так и	7	5
39	еще в	2	5
40	и даже	11	5
41	между тем	1	5
42	один из	3	5
43	уже в	3	5
44	в его	7	5
45	прежде всего	11	5
46	о которых	3	5
47	с другой	6	5
48	нового времени	1	5
49	все это	4	5
50	другой стороны	5	5
51	время как	1	4
52	что они	3	4
53	но в	6	4
54	в нем	1	4
55	т д	6	4
56	в другом	1	4
57	г в	1	4
58	несмотря на	3	4
59	точки зрения	2	4
60	в их	3	4
61	так как	7	4
62	как мы	5	4
63	на него	2	4
64	можно судить	3	4
65	в в	2	4
66	ясно что	8	4
67	а также	2	4
68	что и	2	4
69	в качестве	2	4
70	мы можем	6	4
71	тем что	4	4
72	именно в	1	4
73	и опять	1	4
74	и особенно	2	4
75	в результате	4	4
76	конце концов	7	4
77	же в	1	4
78	по поводу	2	4
79	к этому	1	4
80	речь идет	2	3
81	же как	1	3
82	в тех	2	3
83	мы не	7	3
84	и о	4	3
85	и на	5	3
86	с одной	5	3
87	в этом	17	3
88	все же	8	3
89	хотя и	3	3
90	и как	4	3
91	в целом	3	3
92	и и	1	3
93	на то	6	3
94	да и	10	3
95	он не	2	3
96	и еще	1	3
97	или вовсе	1	3
98	здесь мы	3	3
99	и с	10	3
100	его в	3	3
101	в них	2	3
102	и ее	2	3
103	место в	1	3
104	вопрос о	3	3
105	не менее	13	3
106	на всю	2	3
107	даже в	2	3
108	казалось бы	7	3
109	ничего не	10	3
110	этом отношении	1	3
111	у нас	18	3
112	и сам	2	3
113	судить по	1	3
114	по содержанию	2	3
115	в частности	5	3
116	и одновременно	1	3
117	тот же	4	3
118	одной из	1	3
119	только в	14	3
120	в виде	6	3
121	отношение к	1	3
122	каждый из	2	3
123	как раз	8	3
124	все более	1	3
125	так же	5	3
126	как это	1	3
127	по своему	5	3
128	одной стороны	5	3
129	не мог	1	3
130	здесь в	1	3
131	в более	1	3
132	и все	5	3
133	это однако	1	2
134	место среди	1	2
135	здесь и	1	2
136	ту же	1	2
137	в и	2	2
138	хронологическом порядке	1	2
139	на себя	1	2
140	большей частью	3	2
141	которую можно	1	2
142	он был	1	2
143	столь же	1	2
144	бы то	2	2
145	тем как	1	2
146	совсем не	7	2
147	в настоящем	1	2
148	к сожалению	6	2
149	относится к	6	2
150	в рамках	1	2
151	независимо от	2	2
152	было только	1	2
153	и хотя	2	2
154	в самом	5	2
155	в известном	1	2
156	раз в	1	2
157	в себе	5	2
158	только один	3	2
159	не следует	1	2
160	время и	2	2
161	в силу	1	2
162	на этом	1	2
163	то ни	3	2
164	для характеристики	1	2
165	в число	1	2
166	было бы	8	2
167	и тем	4	2
168	для них	3	2
169	такой же	1	2
170	или менее	4	2
171	в следующем	1	2
172	и без	5	2
173	всяком случае	10	2
174	и самого	4	2
175	тем не	12	2
