N	3gram	Medvedev_F_2	VelikijI
1	к тому что	2	3
2	но и в	3	2
3	в том что	2	2
4	и т д	5	2
5	но все же	2	1
6	очень важное место	1	1
7	то ни стало	2	1
8	в ней и	1	1
9	и во всяком	1	1
10	во что бы	1	1
11	и то и	2	1
12	и должна быть	1	1
13	бы то ни	1	1
14	лишь в процессе	1	1
15	по крайней мере	1	1
16	то и другое	2	1
17	вместе с тем	4	1
18	что бы то	1	1
19	в конце концов	2	1
20	и в этом	5	1
21	есть непрерывная борьба	1	1
22	не могут быть	4	1
23	с другой стороны	3	1
24	раз и навсегда	1	1
25	так и в	3	1
26	что не в	1	1
27	не создает новых	1	1
28	как и в	1	1
