N	2gram	Bakhtin_Fr_3	VrazhdaK
1	в году	5	18
2	не только	13	9
3	в этом	15	8
4	и в	40	8
5	и что	1	8
6	но и	11	7
7	и все	9	7
8	то что	5	7
9	что в	12	7
10	все же	2	6
11	но в	8	6
12	в нем	5	6
13	как и	11	6
14	в котором	2	6
15	и с	8	6
16	о нем	3	6
17	в начале	3	6
18	и даже	4	6
19	в романе	15	6
20	то же	7	5
21	об этом	3	5
22	в то	6	5
23	же время	6	5
24	между тем	3	5
25	у него	8	5
26	не было	5	5
27	и не	13	5
28	в ней	4	4
29	что он	2	4
30	в истории	4	4
31	при этом	3	4
32	это не	2	4
33	несмотря на	1	4
34	все это	4	4
35	в виду	7	4
36	во многом	1	4
37	с ним	1	4
38	о том	4	4
39	уже в	2	4
40	может быть	9	4
41	как бы	3	4
42	в своих	5	4
43	так же	1	4
44	одним из	2	3
45	который был	1	3
46	он был	3	3
47	с его	3	3
48	в своем	7	3
49	и как	3	3
50	в этот	2	3
51	раз в	2	3
52	его в	1	3
53	он не	9	3
54	в париже	4	3
55	далеко не	2	3
56	и уже	1	3
57	том что	4	3
58	но он	2	3
59	и его	17	3
60	связи с	6	3
61	и о	4	3
62	и во	4	3
63	в его	13	3
64	в том	8	3
65	и у	2	3
66	чтобы он	1	3
67	в конце	3	3
68	тем что	3	3
69	в связи	5	3
70	марта года	1	3
71	к этому	6	3
72	отношения к	1	2
73	и он	1	2
74	но как	2	2
75	в эти	2	2
76	отнюдь не	1	2
77	в известном	1	2
78	в той	6	2
79	его на	1	2
80	в этой	3	2
81	в себе	3	2
82	в нашей	2	2
83	их в	3	2
84	таким образом	10	2
85	в мире	4	2
86	об этой	1	2
87	в них	9	2
88	рядом с	2	2
89	историю о	2	2
90	мы знаем	2	2
91	на первый	1	2
92	в эту	4	2
93	во время	8	2
94	точки зрения	2	2
95	в своей	6	2
96	и ее	2	2
97	с точки	1	2
98	не менее	2	2
99	права на	1	2
100	том же	2	2
101	одна из	3	2
102	никогда не	1	2
103	и далее	2	2
104	великих писателей	1	2
105	время он	1	2
106	и это	2	2
107	на основе	2	2
108	в в	1	2
109	так в	4	2
110	еще не	3	2
111	году и	1	2
112	а также	4	2
113	там же	1	2
114	этот момент	1	2
115	после смерти	1	2
116	и образы	1	2
117	начале года	1	2
118	что ж	1	2
119	об их	2	2
120	с нею	2	2
121	из них	4	2
122	для него	5	2
123	отношение к	8	2
124	как раз	5	2
125	и т.п	10	2
126	как же	1	2
127	о чем	2	2
128	начиная с	3	2
129	этот рассказ	1	2
130	не может	3	2
131	вместе с	3	2
132	в него	1	2
133	довольно много	1	2
134	в это	1	2
135	но это	3	2
136	же в	1	2
137	а в	3	2
138	в свою	1	2
139	это в	2	2
140	широкое распространение	1	1
141	этого романа	1	1
142	как известно	2	1
143	к людям	1	1
144	вряд ли	1	1
145	ко всем	3	1
146	также и	4	1
147	и борьбы	1	1
148	что образ	1	1
149	того же	2	1
150	это и	2	1
151	и есть	3	1
152	ему не	2	1
153	он способен	1	1
154	не хочет	1	1
155	которую они	1	1
156	по преимуществу	2	1
157	своей эпохи	1	1
158	в их	4	1
159	из всех	4	1
160	вы не	4	1
161	той же	8	1
162	что уже	1	1
163	с исторической	1	1
164	был еще	2	1
165	всего романа	1	1
166	в числе	1	1
167	и был	2	1
168	одном из	2	1
169	на них	2	1
170	первый план	1	1
171	ту эпоху	7	1
172	влияния на	1	1
173	за него	2	1
174	а следовательно	1	1
175	и всего	1	1
176	но не	2	1
177	о смерти	1	1
178	был также	1	1
179	сорока пяти	1	1
180	тут же	2	1
181	в оценке	1	1
182	что они	1	1
183	даже некоторые	1	1
184	и я	1	1
185	как по	1	1
186	как в	3	1
187	с этим	2	1
188	для всех	1	1
189	и наконец	3	1
190	не являются	1	1
191	себе не	1	1
192	них он	1	1
193	и отчасти	1	1
194	и глубокой	1	1
195	поэтому он	3	1
196	в самом	6	1
197	предстоит еще	1	1
198	прямое выражение	1	1
199	что это	1	1
200	в целом	2	1
201	не был	2	1
202	за это	1	1
203	выражение в	2	1
204	почти одновременно	1	1
205	во многих	1	1
206	но ведь	3	1
207	как он	2	1
208	не могла	1	1
209	в свет	3	1
210	да и	1	1
211	высшей степени	1	1
212	в первой	2	1
213	при виде	1	1
214	всех этих	3	1
215	в плане	2	1
216	что ни	1	1
217	всем чертям	2	1
218	и этот	2	1
219	выражение его	1	1
220	одно и	1	1
221	это конечно	1	1
222	этому моменту	1	1
223	есть все	1	1
224	мировой литературе	4	1
225	это было	1	1
226	заключается в	1	1
227	смеха и	7	1
228	было бы	4	1
229	эпохи он	2	1
230	из первых	1	1
231	в высшей	1	1
232	этого не	1	1
233	не всегда	1	1
234	он и	7	1
235	в развитии	1	1
236	года и	2	1
237	такой же	1	1
238	этого издания	1	1
239	этот материал	1	1
240	в этих	6	1
241	и их	1	1
242	можно найти	1	1
243	всяком случае	1	1
244	его современников	2	1
245	представление о	2	1
246	его отношение	2	1
247	встрече с	1	1
248	своего рода	2	1
249	делает все	1	1
250	войне и	1	1
251	не могли	1	1
252	что этот	1	1
253	возвращается к	1	1
254	нетрудно заметить	1	1
255	раз и	1	1
256	вплоть до	3	1
257	но они	1	1
258	тем самым	1	1
259	что эта	1	1
260	человека но	1	1
261	от нас	1	1
262	не имеет	1	1
263	правда в	1	1
264	было не	1	1
265	как о	2	1
266	близок к	1	1
267	героев и	1	1
268	только не	1	1
269	следовательно и	2	1
270	нельзя не	1	1
271	ничего не	1	1
272	по своей	1	1
273	такая же	1	1
274	и мире	1	1
275	ему и	1	1
276	потому что	2	1
277	до того	2	1
278	этом отношении	2	1
279	хорошо известен	1	1
280	в мировой	4	1
281	в духе	7	1
282	во все	3	1
283	отличается от	1	1
284	сходство с	1	1
285	за что	1	1
286	правда не	3	1
287	он ищет	1	1
288	не совсем	1	1
289	и образ	1	1
290	свою очередь	1	1
291	в ее	3	1
292	роль в	4	1
293	к смерти	1	1
294	и сам	2	1
295	так и	3	1
296	на нее	1	1
297	не с	1	1
298	было в	1	1
299	отразилась в	1	1
300	нам уже	1	1
301	еще в	3	1
302	именно этот	1	1
303	вошел в	1	1
304	том как	1	1
305	жизнь и	1	1
306	и вообще	1	1
307	во всяком	1	1
308	можно объяснить	1	1
309	до сих	4	1
310	о знаменитом	1	1
311	нас в	2	1
