N	2gram	Medvedev_U_1	Mirosoze
1	может быть	6	30
2	не только	10	29
3	и в	14	28
4	не может	7	28
5	но и	4	25
6	а не	10	25
7	он не	1	24
8	в этом	7	20
9	не было	1	18
10	у него	1	17
11	не в	2	16
12	в ней	1	15
13	в своей	3	15
14	переходит в	1	15
15	человека и	1	14
16	он был	1	14
17	никогда не	1	14
18	до конца	1	14
19	в нем	1	13
20	и это	1	12
21	в самом	2	11
22	для него	3	11
23	и не	8	11
24	в своем	1	10
25	было бы	3	10
26	достоевского и	1	10
27	что в	1	10
28	прежде всего	8	10
29	что он	2	10
30	и потому	1	10
31	и все	1	10
32	с тем	1	9
33	но он	1	9
34	не есть	2	9
35	в его	2	9
36	из самых	1	8
37	в котором	1	8
38	но не	2	8
39	но в	3	7
40	в себе	2	7
41	в конце	2	7
42	того что	1	7
43	должна быть	2	6
44	в которой	1	6
45	в этой	4	6
46	все в	1	6
47	только в	2	6
48	он уже	1	6
49	все это	5	6
50	в том	2	6
51	нет и	1	5
52	это не	3	5
53	как и	3	5
54	если нет	1	5
55	у нас	3	5
56	не могут	2	5
57	то что	7	5
58	за пределы	1	4
59	не как	3	4
60	в их	4	4
61	в которых	1	4
62	она не	1	4
63	что и	2	4
64	уже не	1	4
65	тем что	2	4
66	вряд ли	3	3
67	с его	2	3
68	бы и	2	3
69	этот процесс	1	3
70	и с	2	3
71	то есть	1	3
72	том что	2	3
73	но если	1	3
74	л толстого	1	3
75	ничего не	2	3
76	этот путь	1	3
77	все его	1	3
78	конечно не	4	3
79	одно из	1	3
80	пафос его	1	3
81	это значит	1	3
82	должно быть	1	3
83	хотя бы	5	3
84	на своем	1	3
85	одним из	2	2
86	в этот	1	2
87	а как	2	2
88	он знает	1	2
89	в виду	1	2
90	литературы и	2	2
91	не все	2	2
92	относится к	1	2
93	все же	3	2
94	и у	2	2
95	он в	1	2
96	приводит к	1	2
97	если бы	2	2
98	не значит	1	2
99	в россии	4	2
100	тому чтобы	1	2
101	входит в	1	2
102	с самим	1	2
103	сих пор	2	2
104	в то	3	2
105	могут быть	2	2
106	и что	1	2
107	о нем	1	2
108	о том	1	2
109	которой все	1	2
110	пишет он	2	2
111	даже и	2	2
112	до сих	2	2
113	много в	1	2
114	его как	1	2
115	о чем	2	2
116	он и	1	2
117	в той	1	2
118	быть не	1	2
119	него не	1	2
120	л толстой	1	2
121	и для	2	2
122	не существует	1	2
123	всего что	1	2
124	бы в	1	2
125	конце концов	2	2
126	сказать что	1	2
127	к этому	1	2
128	все что	1	2
129	и то	3	1
130	она все	1	1
131	мы имеем	1	1
132	мы не	2	1
133	имеет свою	1	1
134	и через	2	1
135	не вполне	1	1
136	бы ни	1	1
137	художественном творчестве	2	1
138	не без	1	1
139	самом деле	2	1
140	отказ от	1	1
141	к области	2	1
142	к которой	1	1
143	в сторону	2	1
144	и действительно	1	1
145	более чем	2	1
146	его на	1	1
147	искусство и	1	1
148	идет не	1	1
149	что же	1	1
150	имеем в	1	1
151	ее как	1	1
152	всех этих	2	1
153	же не	2	1
154	это было	2	1
155	искусства в	1	1
156	и вся	1	1
157	что такое	4	1
158	она в	1	1
159	все и	1	1
160	это верно	1	1
161	а где	1	1
162	обращение к	1	1
163	и истории	1	1
164	его раскрывает	1	1
165	что ему	1	1
166	пушкина но	1	1
167	у кого	1	1
168	так много	1	1
169	находятся в	1	1
170	в области	3	1
171	бы это	1	1
172	от которой	1	1
173	в пределах	1	1
174	не столько	2	1
175	слова а	1	1
176	так и	1	1
177	существенным для	1	1
178	является в	2	1
179	и даже	1	1
180	об этом	1	1
181	в значительной	1	1
182	нас в	2	1
183	и только	5	1
184	пределов и	1	1
185	и быть	1	1
186	между тем	2	1
187	литературы в	1	1
188	то и	1	1
189	его и	2	1
190	что она	2	1
191	ценность в	1	1
192	наука о	1	1
193	и др	1	1
194	и возвращается	1	1
195	у других	1	1
196	произведения искусства	3	1
197	толстого и	1	1
198	если не	2	1
199	себя на	1	1
200	в частности	3	1
201	он будет	1	1
202	в течение	1	1
203	пишет в	1	1
204	что мы	2	1
205	только для	1	1
206	но это	2	1
207	знает только	1	1
208	на большую	1	1
209	что только	1	1
210	но также	1	1
211	тем более	1	1
212	как живой	1	1
213	еще ничего	2	1
214	в период	1	1
215	впервые в	1	1
216	в искусстве	6	1
217	и эта	1	1
