N	3gram	Voloshinov_2	VrazhdaK
1	то же время	8	4
2	в то же	8	4
3	в связи с	7	3
4	в русской литературе	1	3
5	с точки зрения	13	2
6	но в то	5	2
7	не может быть	10	2
8	в том что	6	2
9	а следовательно и	1	1
10	в соответствии с	1	1
11	до сих пор	3	1
12	и не может	3	1
13	в той же	1	1
14	не было бы	2	1
15	в этом отношении	1	1
16	независимо от того	1	1
17	по крайней мере	2	1
18	может быть и	5	1
19	одно и то	3	1
20	тем что он	1	1
21	к вопросу о	1	1
22	в высшей степени	3	1
23	и то же	3	1
24	быть и речи	2	1
25	а с другой	1	1
26	– одна из	2	1
27	во всяком случае	2	1
28	с другой стороны	1	1
29	в литературу в	1	1
30	тем не менее	1	1
31	в свою очередь	5	1
32	о том что	3	1
33	с помощью которых	1	1
34	но в этом	1	1
35	не с точки	1	1
36	на то что	2	1
37	в каком направлении	1	1
38	то что они	1	1
