N	2gram	Vygotskiy__3	formyVre
1	и в	38	50
2	то есть	15	33
3	в романе	1	32
4	в этом	13	25
5	в нем	4	24
6	и его	6	16
7	как мы	7	14
8	и не	10	14
9	в его	5	13
10	вовсе не	8	13
11	как раз	8	13
12	по существу	2	12
13	так и	1	12
14	то же	10	11
15	мы уже	7	11
16	таким образом	12	11
17	может быть	19	11
18	и как	8	10
19	но в	3	10
20	с его	1	9
21	все эти	4	9
22	роль в	1	9
23	не только	12	9
24	в то	3	9
25	ничего не	2	9
26	в том	25	9
27	в конце	2	9
28	в других	1	9
29	и т	14	8
30	того же	3	8
31	и на	6	8
32	в самом	25	8
33	ни в	3	8
34	т п	5	8
35	но и	5	8
36	и их	1	8
37	как и	8	8
38	жизни и	1	8
39	так сказать	5	7
40	характер и	1	7
41	времени в	1	7
42	и во	2	7
43	не было	1	7
44	например в	2	6
45	между двумя	1	6
46	время в	5	6
47	во всех	4	6
48	как в	4	6
49	с этим	8	6
50	все же	8	6
51	это не	1	6
52	в их	1	6
53	так как	6	6
54	с ее	2	6
55	в ее	7	6
56	в жизни	1	6
57	у него	4	6
58	то что	35	6
59	в частности	1	6
60	не может	7	6
61	так же	2	6
62	в результате	1	6
63	и все	10	6
64	и до	1	5
65	время как	4	5
66	еще не	1	5
67	но не	1	5
68	отнюдь не	2	5
69	и у	1	5
70	не в	12	5
71	он не	6	5
72	всех этих	2	5
73	значение в	1	5
74	в основе	3	5
75	того чтобы	9	5
76	точки зрения	16	5
77	не могло	1	5
78	но все	1	5
79	если бы	14	5
80	для того	8	5
81	наряду с	3	5
82	что в	20	5
83	и другие	2	5
84	и то	8	4
85	и это	8	4
86	уже указывали	1	4
87	в ней	15	4
88	в своем	5	4
89	конечно не	4	4
90	то время	2	4
91	раз в	4	4
92	чтобы они	1	4
93	и с	1	4
94	в них	3	4
95	том что	14	4
96	в котором	6	4
97	здесь на	1	4
98	не имеет	6	4
99	потому что	14	4
100	к себе	2	4
101	здесь не	3	4
102	понятно что	1	4
103	или как	1	4
104	и следовательно	2	4
105	только в	4	4
106	между этими	1	4
107	именно как	1	4
108	до конца	2	4
109	на этой	1	4
110	в той	5	4
111	своей жизни	2	4
112	все это	3	4
113	между собой	2	4
114	кроме того	1	4
115	и для	4	4
116	отношения к	2	3
117	в движение	1	3
118	по преимуществу	2	3
119	не имеют	2	3
120	есть не	1	3
121	всего того	2	3
122	мы не	5	3
123	большую роль	1	3
124	в сущности	10	3
125	событий и	1	3
126	в виду	4	3
127	к концу	3	3
128	хотя и	1	3
129	со своей	2	3
130	в себе	4	3
131	и те	1	3
132	в определенном	1	3
133	при этом	4	3
134	одно и	3	3
135	его в	3	3
136	и других	1	3
137	с другими	1	3
138	и дает	2	3
139	здесь нет	1	3
140	для них	1	3
141	и уже	2	3
142	между ними	1	3
143	в этих	2	3
144	мы говорили	3	3
145	но эта	1	3
146	их в	2	3
147	но они	2	3
148	этими двумя	2	3
149	друг друга	1	3
150	уже говорили	3	3
151	этом отношении	1	3
152	не могут	2	3
153	героев и	1	3
154	к тому	6	3
155	такие моменты	1	3
156	нас в	1	3
157	что и	4	3
158	в форме	1	3
159	один из	6	3
160	мы видим	12	3
161	и ее	2	3
162	с одной	6	3
163	со всеми	2	3
164	в качестве	2	3
165	только на	1	3
166	здесь это	1	3
167	же в	2	3
168	в начале	1	3
169	был бы	3	3
170	одно из	2	3
171	в одном	8	3
172	до сих	6	3
173	именно в	1	3
174	себя и	1	3
175	что не	3	3
176	с тем	8	3
177	быть только	1	3
178	а не	7	3
179	вместе с	5	3
180	и потому	1	3
181	сих пор	5	3
182	или в	5	3
183	оказались бы	1	3
184	еще более	1	3
185	а в	7	3
186	сказать что	4	3
187	имеет место	2	3
188	они не	2	3
189	к этому	3	3
190	в таком	3	3
191	во всяком	2	3
192	обычно в	1	2
193	же как	1	2
194	которыми он	1	2
195	той же	2	2
196	их и	1	2
197	и момент	1	2
198	дан в	1	2
199	на себя	1	2
200	сплошь и	1	2
201	момент в	1	2
202	в чем	1	2
203	природы и	1	2
204	но конечно	1	2
205	как если	3	2
206	совсем не	3	2
207	мы будем	1	2
208	нет и	1	2
209	определяется не	1	2
210	в истории	2	2
211	для всех	2	2
212	и к	3	2
213	имеет в	1	2
214	от этого	1	2
215	в целом	4	2
216	момент его	1	2
217	тому же	1	2
218	как бы	14	2
219	по самому	2	2
220	все другие	2	2
221	и еще	1	2
222	не как	1	2
223	каково же	1	2
224	уже не	2	2
225	и по	2	2
226	что все	3	2
227	мировой литературе	1	2
228	ясно что	6	2
229	было бы	12	2
230	бы совершенно	6	2
231	из нее	2	2
232	с большей	1	2
233	была уже	1	2
234	здесь все	1	2
235	автора и	2	2
236	места в	2	2
237	для него	2	2
238	в своей	5	2
239	с точки	9	2
240	место в	3	2
241	не к	3	2
242	оказывается что	1	2
243	в отличие	1	2
244	в которых	6	2
245	но он	2	2
246	друг другу	2	2
247	есть именно	2	2
248	самого начала	6	2
249	дело в	1	2
250	никогда не	4	2
251	того и	1	2
252	это то	1	2
253	в самой	4	2
254	к ней	2	2
255	в другую	1	2
256	мире и	1	2
257	точном смысле	1	2
258	мы встречаем	1	2
259	в трагедии	1	2
260	все то	7	2
261	есть только	2	2
262	во все	1	2
263	здесь совершенно	4	2
264	но по	1	2
265	всего этого	2	2
266	романе в	1	2
267	с самого	6	2
268	те же	1	2
269	по сравнению	1	2
270	и вообще	1	2
271	с ним	2	2
272	часто и	1	2
273	в глаза	2	2
274	на основе	1	2
275	там где	6	2
276	того что	4	2
277	быть и	1	2
278	всякого рода	1	2
279	до наших	1	2
280	есть в	2	2
281	если мы	6	2
282	совершенно безразлично	1	2
283	он весь	1	2
284	с этими	1	2
285	отношение к	1	2
286	к ним	3	2
287	не о	1	2
288	отличие от	1	2
289	тем что	3	2
290	само собой	1	2
291	и даже	4	2
292	с другой	7	2
293	далеко не	3	2
294	и прежде	1	2
295	еще и	2	2
296	в некоторых	1	2
297	одной стороны	5	2
298	он только	1	2
299	жизнь в	1	2
300	что мы	1	2
301	не создала	1	2
302	вступает в	1	2
303	к своему	2	2
304	ней по	1	2
305	в данном	2	2
306	сравнению с	1	2
307	в течение	4	2
308	здесь в	2	2
309	не является	1	2
310	одна из	4	2
311	в мировой	1	2
312	уже на	1	2
313	и может	2	2
314	в точном	1	2
315	как она	1	2
316	человек и	1	2
317	для нас	8	2
318	у них	2	2
319	и события	1	2
320	поэтому все	1	2
321	мы должны	1	2
322	хотя бы	2	2
323	эпоса в	1	2
324	ее в	4	2
325	или не	2	2
326	была бы	2	2
327	совершенно не	5	2
328	равно как	1	2
329	в свою	4	2
330	нет но	1	2
331	в которой	5	2
332	характера но	1	2
333	и эта	1	2
334	можно назвать	2	2
335	пор не	1	1
336	одним из	1	1
337	дел и	1	1
338	он может	2	1
339	ответить что	1	1
340	идет о	4	1
341	эта идеальная	1	1
342	и есть	1	1
343	ему что	1	1
344	которое мы	3	1
345	объединенные в	1	1
346	высшей степени	1	1
347	в зависимости	1	1
348	собою в	1	1
349	по его	3	1
350	попали в	1	1
351	из всех	3	1
352	и конечно	3	1
353	романе или	1	1
354	мы имеем	1	1
355	бы в	3	1
356	и ничего	2	1
357	с более	1	1
358	этого нет	1	1
359	эпоса и	4	1
360	нам в	2	1
361	осел в	2	1
362	с детства	1	1
363	я не	5	1
364	что можно	1	1
365	зависимости от	1	1
366	и он	1	1
367	он был	3	1
368	свои права	1	1
369	и существенную	1	1
370	в знаменитой	1	1
371	самом деле	21	1
372	в искусном	1	1
373	данном случае	2	1
374	но как	2	1
375	мы нашли	2	1
376	случая не	1	1
377	совершенно ясно	13	1
378	с собою	1	1
379	в свои	1	1
380	второй план	6	1
381	и я	2	1
382	независимо от	1	1
383	постараемся показать	1	1
384	более и	2	1
385	это был	2	1
386	перед нами	8	1
387	тех случаях	1	1
388	в полном	2	1
389	могли бы	5	1
390	нами в	2	1
391	и наконец	2	1
392	увидим что	9	1
393	психологическое значение	1	1
394	животных и	2	1
395	та же	3	1
396	что это	10	1
397	ни один	1	1
398	себя к	1	1
399	этот новый	1	1
400	бы не	3	1
401	или во	1	1
402	по которым	1	1
403	из этих	3	1
404	в этой	13	1
405	это тот	1	1
406	человеке и	2	1
407	и тот	1	1
408	имеем в	1	1
409	на то	16	1
410	не могла	2	1
411	не следует	1	1
412	наш анализ	1	1
413	сказать в	1	1
414	к герою	1	1
415	игра с	1	1
416	литературных произведений	1	1
417	в понимании	1	1
418	а вовсе	2	1
419	с нашим	1	1
420	образа в	1	1
421	них нет	1	1
422	в корне	1	1
423	в плане	3	1
424	случай а	1	1
425	определенным кругом	1	1
426	случаем и	1	1
427	здесь мы	4	1
428	могла бы	3	1
429	как они	1	1
430	факт что	1	1
431	главным образом	3	1
432	в совершенно	2	1
433	есть все	1	1
434	конечно в	3	1
435	не впрок	1	1
436	глубокий и	1	1
437	для своей	1	1
438	это было	1	1
439	моменты в	1	1
440	это противоречие	1	1
441	этого нового	1	1
442	ближе к	1	1
443	этому ряду	1	1
444	люди не	1	1
445	самый характер	1	1
446	о которых	9	1
447	этому порядку	1	1
448	она и	1	1
449	на второй	1	1
450	в высшей	1	1
451	и драмы	4	1
452	когда я	1	1
453	уже у	1	1
454	всю картину	1	1
455	на одну	1	1
456	форма и	1	1
457	должно быть	1	1
458	уже видели	1	1
459	в один	3	1
460	и тогда	1	1
461	в эту	2	1
462	и при	1	1
463	таким же	1	1
464	нас не	1	1
465	всяком случае	2	1
466	что дело	1	1
467	растет и	2	1
468	не столько	1	1
469	литературе мы	1	1
470	говорил о	2	1
