N	3gram	Vinokur_Ku_1	Myshleni
1	для того чтобы	15	14
2	по отношению к	8	12
3	в том что	15	11
4	с точки зрения	9	9
5	так же как	1	7
6	потому что он	1	5
7	в письменной речи	1	5
8	в этом отношении	5	5
9	заключается в том	2	5
10	к тому чтобы	1	4
11	в сущности говоря	1	4
12	на этот вопрос	1	4
13	с этой точки	1	4
14	этой точки зрения	2	4
15	о том что	5	4
16	друг от друга	1	4
17	и того же	2	3
18	состоит в том	3	3
19	в этом случае	2	3
20	не то что	1	3
21	вместо того чтобы	1	3
22	до сих пор	4	3
23	можно было бы	3	3
24	с одной стороны	1	3
25	в свою очередь	3	3
26	в устной речи	1	3
27	мере в какой	5	3
28	не может быть	3	3
29	одного и того	2	3
30	той мере в	5	3
31	в той мере	5	3
32	в самом деле	7	2
33	так что в	1	2
34	том что он	4	2
35	с помощью которого	1	2
36	о том как	3	2
37	в зависимости от	5	2
38	в отличие от	1	2
39	таким образом в	1	2
40	то что они	1	2
41	вместе с тем	3	2
42	не находится в	1	2
43	а с другой	3	2
44	с другой стороны	6	2
45	в свое время	2	2
46	то обстоятельство что	8	2
47	от того что	1	2
48	письменной речи с	1	2
49	само по себе	1	2
50	ничего общего с	1	2
51	хотя бы в	4	2
52	но все же	2	2
53	мы говорим о	1	2
54	письменной речи не	1	2
55	того факта что	1	2
56	уже на пороге	1	2
57	это речь в	1	1
58	к нашей теме	1	1
59	в том виде	1	1
60	и может быть	1	1
61	что иное как	1	1
62	в одном ряду	1	1
63	что в этом	1	1
64	сводится к тому	2	1
65	это на примере	1	1
66	на учение о	1	1
67	чтобы можно было	1	1
68	мы имеем в	1	1
69	более или менее	3	1
70	ответить на этот	1	1
71	слова потому что	1	1
72	имеем в виду	1	1
73	на самом деле	2	1
74	одном ряду с	1	1
75	в этом смысле	3	1
76	никак не может	1	1
77	как например в	1	1
78	только в том	3	1
79	того как они	1	1
80	было известно и	1	1
81	у нас на	1	1
82	не потому чтобы	2	1
83	в первую очередь	2	1
84	как это часто	1	1
85	предполагать что эти	1	1
86	в собственном смысле	1	1
87	в известной мере	1	1
88	всяком случае все	1	1
89	же значение в	1	1
90	речи так как	1	1
91	то что обычно	1	1
92	в силу этого	1	1
93	одно и то	1	1
94	эту точку зрения	1	1
95	это есть чисто	1	1
96	в применении к	1	1
97	так же невозможно	1	1
98	есть в сущности	1	1
99	не что иное	1	1
100	из того факта	1	1
101	с их помощью	1	1
102	того что он	1	1
103	в первом случае	1	1
104	и на все	1	1
105	не прав когда	1	1
106	это было бы	1	1
107	чтобы ответить на	1	1
108	смысле этого слова	1	1
109	потому что оно	1	1
110	и то же	1	1
111	и потому что	2	1
112	речи можно сказать	1	1
113	и ничего не	1	1
114	и тем самым	1	1
115	в связи с	3	1
116	потому что она	1	1
117	исходит из того	1	1
118	не может возникнуть	1	1
119	не в результате	1	1
120	собственном смысле слова	1	1
121	во всяком случае	5	1
122	это можно было	1	1
123	так и в	2	1
124	это часто бывает	1	1
125	как они приобретают	1	1
126	тем не менее	4	1
127	в тех случаях	2	1
128	только в той	1	1
129	ни в каком	1	1
130	не есть нечто	1	1
131	частный случай но	1	1
132	том смысле что	1	1
133	по аналогии с	1	1
134	в том чтобы	8	1
135	и вместе с	1	1
136	те или иные	1	1
137	не только потому	1	1
138	того или иного	3	1
139	тех случаях когда	2	1
140	в то же	2	1
141	факты из области	1	1
142	к тому что	2	1
143	в том смысле	1	1
144	что этот закон	1	1
145	тех или иных	1	1
146	к вопросу о	1	1
147	но тем самым	1	1
148	альфа и омега	1	1
149	той или иной	1	1
