N	3gram	Savitsky_P_1	Marksizm
1	с точки зрения	3	13
2	не может быть	1	10
3	в то же	7	8
4	то же время	7	8
5	для того чтобы	1	6
6	в том что	4	6
7	в большинстве случаев	1	5
8	но в то	1	5
9	в отношении к	5	4
10	с одной стороны	3	3
11	и не может	1	3
12	в отличие от	1	3
13	не было бы	1	2
14	более или менее	1	2
15	одной стороны и	2	2
16	в собственном смысле	1	2
17	но и в	2	2
18	во всяком случае	1	2
19	в том числе	2	1
20	друг с другом	1	1
21	по сравнению с	1	1
22	одно из важнейших	1	1
23	может быть разрешена	1	1
24	не только в	4	1
25	бы оно ни	1	1
26	с другой стороны	1	1
27	и пр в	1	1
28	гораздо большей степени	4	1
29	в гораздо большей	4	1
30	но в этом	1	1
31	и тем более	1	1
32	есть прежде всего	1	1
33	тот или иной	1	1
34	но также и	1	1
35	ни к чему	1	1
36	сами по себе	3	1
37	большинстве случаев только	1	1
38	том числе и	1	1
39	в отрыве от	1	1
40	в пределах русского	1	1
41	само по себе	1	1
42	чуть ли не	1	1
43	мы все же	1	1
44	эти последние в	1	1
45	то что его	1	1
