N	2gram	Potebnia_M_3	ViktorSh
1	и в	30	2
2	том что	18	2
3	в том	32	2
4	крайней мере	5	1
5	тем более	4	1
6	в устах	1	1
7	оно с	1	1
8	под влиянием	1	1
9	и не	15	1
10	и его	4	1
11	потому что	46	1
12	даже не	1	1
13	сводится к	1	1
14	один пример	1	1
15	и то	8	1
16	же с	6	1
17	впрочем не	1	1
18	самом деле	2	1
19	и т.д	1	1
20	все это	4	1
21	по поводу	4	1
22	именно в	3	1
23	главным образом	1	1
24	вещь и	1	1
25	по своим	1	1
26	чего не	1	1
27	в их	2	1
28	это далеко	1	1
29	так в	2	1
30	одно и	5	1
31	все то	1	1
32	столь же	4	1
33	образом из	1	1
34	время в	3	1
35	говоря о	4	1
36	в которых	2	1
37	в самом	8	1
38	только в	21	1
39	то же	23	1
40	ясно что	1	1
41	составляет ее	1	1
42	так как	13	1
43	далеко не	4	1
44	что слово	7	1
45	бы уже	1	1
46	к чему	1	1
47	не будем	1	1
48	но это	6	1
49	что язык	2	1
50	в этом	10	1
51	находится под	1	1
52	да и	1	1
53	чем больше	1	1
54	по крайней	5	1
55	а только	3	1
56	на одном	1	1
57	к этому	3	1
58	гораздо более	1	1
59	том же	2	1
60	от многих	1	1
61	связанным с	1	1
