N	3gram	Bakhtin_fo_1	KFilosof
1	по отношению к	3	21
2	не может быть	3	11
3	с точки зрения	2	10
4	в его целом	2	9
5	может быть только	3	6
6	в чем не	2	4
7	ни в чем	2	4
8	в нем как	1	4
9	в данный момент	1	3
10	и в этом	1	3
11	в ее целом	2	3
12	но все эти	2	3
13	имеем в виду	1	2
14	в соответствии с	2	2
15	бы он ни	1	2
16	он ни был	1	2
17	во всех этих	1	2
18	то же время	9	2
19	той или иной	2	2
20	в то же	6	2
21	в том что	2	2
22	а следовательно и	1	1
23	в этом мире	2	1
24	нет но как	1	1
25	мы говорим о	1	1
26	события его жизни	1	1
27	его жизни в	1	1
28	ровно ничего не	1	1
29	и того же	5	1
30	равно как и	2	1
31	и может быть	1	1
32	в средние века	1	1
33	в том же	1	1
34	тогда когда оно	1	1
35	в единый и	1	1
36	одно из проявлений	1	1
37	пространства и времени	3	1
38	по самому своему	1	1
39	всех этих моментах	1	1
40	как если бы	2	1
41	не было и	2	1
42	но все это	1	1
43	и во всех	1	1
44	в зависимости от	1	1
45	в нем в	2	1
46	со всех сторон	1	1
47	это не имеет	1	1
48	вместе с тем	2	1
49	и как бы	1	1
50	может быть и	2	1
51	и в то	5	1
52	но в то	1	1
53	в этот момент	1	1
54	смысле этого слова	1	1
55	в себя и	1	1
56	мы будем говорить	1	1
57	в нем не	3	1
58	с нашей точки	3	1
59	дело в том	2	1
60	не для того	2	1
61	и в трагедии	1	1
62	во всяком случае	1	1
63	и в котором	1	1
64	для того чтобы	5	1
65	играть в нем	1	1
66	и все же	1	1
67	в нем нет	2	1
68	это с его	1	1
69	но для того	2	1
70	в значительной степени	1	1
71	в свою очередь	1	1
72	в его мире	2	1
73	место и в	2	1
74	но отнюдь не	1	1
75	он не имеет	1	1
76	включает в себя	1	1
77	и пространства и	1	1
78	будем говорить в	1	1
79	но нет и	1	1
80	но в этом	1	1
81	он вступает в	1	1
82	в ее основных	2	1
83	нашей точки зрения	3	1
84	данный момент в	1	1
85	одного и того	5	1
86	когда мы говорим	1	1
87	отнюдь не являются	1	1
88	имеет место и	1	1
89	в этом ее	1	1
90	во всех его	1	1
91	на том что	1	1
92	времени и пространства	4	1
