N	3gram	Losev_Dial_2	Literetu
1	то же время	4	7
2	в то же	3	7
3	в этом отношении	1	5
4	к тому же	1	5
5	не говоря уже	2	4
6	в данном случае	2	4
7	с одной стороны	1	4
8	о том что	4	4
9	в том что	6	4
10	с точки зрения	8	3
11	говоря уже о	2	3
12	не может быть	3	3
13	в самом деле	3	2
14	подобно тому как	1	2
15	то же самое	2	2
16	одной стороны и	1	2
17	бы то ни	1	2
18	но и в	1	2
19	и в частности	2	2
20	не только в	2	2
21	так или иначе	2	2
22	с другой стороны	4	2
23	и вместе с	1	2
24	той или иной	1	2
25	обратим внимание на	1	2
26	но уже и	1	1
27	что иное как	3	1
28	одних и тех	1	1
29	это как раз	1	1
30	того же самого	1	1
31	в той или	2	1
32	на свете есть	1	1
33	на самом деле	1	1
34	новые и новые	1	1
35	о том как	1	1
36	имеется в виду	2	1
37	как будто бы	3	1
38	и не только	5	1
39	что он с	1	1
40	вместе с тем	1	1
41	нас а не	1	1
42	в себе и	1	1
43	и т п	2	1
44	но это не	2	1
45	самого по себе	1	1
46	с тех пор	2	1
47	может быть только	2	1
48	и то что	1	1
49	или иную вещь	1	1
50	и тех же	1	1
51	ту или иную	1	1
52	как раз в	1	1
53	не что иное	3	1
54	содержит в себе	3	1
55	тех пор все	1	1
56	на первый взгляд	1	1
57	но при этом	1	1
58	и при этом	1	1
59	в своей свободе	1	1
60	это и есть	1	1
61	в связи с	4	1
62	вопрос о том	1	1
63	я не могу	1	1
64	потому что здесь	1	1
65	и в том	1	1
66	сказать и о	1	1
67	а не только	1	1
68	что несмотря на	1	1
69	субъекта и объекта	4	1
70	более или менее	2	1
71	все новые и	1	1
72	одного из них	1	1
73	что у меня	1	1
74	а не просто	1	1
75	пространством и временем	1	1
76	тогда когда оно	2	1
77	может и не	1	1
78	мы уже не	1	1
79	к тому что	1	1
80	в силу своей	2	1
81	сама по себе	7	1
82	тем не менее	2	1
83	это не только	1	1
84	может быть в	3	1
