N	3gram	Propp_Isto_4	PoTuStor
1	до сих пор	5	3
2	по сравнению с	3	3
3	не может быть	4	3
4	можно сказать что	1	3
5	в большинстве случаев	1	3
6	и может быть	1	2
7	друг на друга	1	2
8	так же как	12	2
9	не могут быть	1	2
10	о том что	2	2
11	мы здесь имеем	1	1
12	и связанные с	1	1
13	ничего не говорит	1	1
14	мы имеем в	2	1
15	подобно тому как	1	1
16	он может быть	1	1
17	во всем мире	1	1
18	то же самое	2	1
19	же как и	4	1
20	таким образом к	1	1
21	в более позднее	1	1
22	совершенно так же	6	1
23	может привести к	1	1
24	но мы знаем	2	1
25	может быть только	1	1
26	вместе с тем	1	1
27	так как он	2	1
28	более позднее время	1	1
29	в данном случае	3	1
30	тех же знакомых	1	1
31	в связи с	2	1
32	только в одном	1	1
33	так и с	1	1
34	в этот момент	1	1
35	но вместе с	1	1
36	мы видим и	1	1
37	мы не можем	1	1
38	так и в	2	1
39	это и есть	1	1
40	что иное как	3	1
41	может быть речи	1	1
42	мы знаем что	7	1
43	и как мы	1	1
44	по женской линии	1	1
45	таким образом и	1	1
46	не что иное	3	1
47	но мы уже	1	1
48	мы уже знаем	1	1
49	мы увидим что	2	1
