N	2gram	Nazirov_Tv_1	FransuaR
1	и в	21	29
2	то есть	12	21
3	таким образом	5	20
4	и не	7	16
5	в эпоху	1	15
6	в этой	5	13
7	и все	6	13
8	но в	7	12
9	как и	12	12
10	и на	7	11
11	в этом	6	11
12	так и	2	11
13	то же	13	10
14	мы уже	1	10
15	не только	7	10
16	во время	1	10
17	в то	15	10
18	в романе	10	10
19	все эти	1	9
20	и с	3	9
21	его в	1	9
22	в конце	1	9
23	вовсе не	5	9
24	но и	3	9
25	же время	12	8
26	и его	6	8
27	в образах	2	8
28	в его	13	8
29	прежде всего	4	8
30	как бы	17	8
31	в них	1	7
32	в том	7	7
33	так как	3	7
34	так же	3	7
35	в сущности	1	6
36	своего рода	4	6
37	но он	2	6
38	в атмосфере	1	6
39	из них	2	6
40	это и	3	5
41	и до	1	5
42	что это	1	5
43	в нем	3	5
44	весь мир	1	5
45	он и	1	5
46	в своей	4	5
47	до конца	2	5
48	уже говорили	1	5
49	в кн	2	5
50	и о	1	5
51	это не	4	5
52	все они	1	5
53	у него	7	5
54	далеко не	3	5
55	сказать что	2	5
56	и по	3	5
57	того же	2	5
58	также и	1	4
59	связана с	1	4
60	на самом	3	4
61	и есть	1	4
62	в которой	3	4
63	еще не	1	4
64	с его	11	4
65	с помощью	1	4
66	конце концов	1	4
67	в образе	1	4
68	связанные с	1	4
69	в плане	1	4
70	жизнь и	1	4
71	в литературе	2	4
72	что он	6	4
73	тем что	1	4
74	связан с	3	4
75	с другой	3	4
76	по своему	1	4
77	только для	1	4
78	но это	5	4
79	все это	10	4
80	один из	4	4
81	перед нами	2	4
82	то что	8	4
83	жизни и	3	4
84	по преимуществу	2	3
85	той же	3	3
86	и здесь	1	3
87	в ней	2	3
88	в чем	2	3
89	как к	2	3
90	в своем	4	3
91	и как	4	3
92	то в	2	3
93	в себе	2	3
94	при этом	7	3
95	он не	8	3
96	всех этих	1	3
97	и вот	1	3
98	и сам	1	3
99	в году	7	3
100	а затем	2	3
101	особенно в	1	3
102	такой же	2	3
103	том что	11	3
104	образом и	1	3
105	самого начала	3	3
106	вот это	1	3
107	с ее	3	3
108	в ее	1	3
109	с самого	3	3
110	в дальнейшем	3	3
111	роль в	1	3
112	что у	1	3
113	начала и	1	3
114	там же	3	3
115	к нему	1	3
116	отметить что	1	3
117	все время	1	3
118	того что	3	3
119	с ними	1	3
120	в качестве	2	3
121	же и	2	3
122	и любви	1	3
123	и других	3	3
124	и их	1	3
125	ведь это	1	3
126	не случайно	4	3
127	и даже	3	3
128	превращается в	1	3
129	на эту	4	3
130	некоторые из	2	3
131	все же	5	3
132	тот же	2	3
133	другой стороны	1	3
134	в частности	2	3
135	одновременно и	2	3
136	как известно	1	2
137	и со	1	2
138	в виду	2	2
139	он был	1	2
140	ту эпоху	2	2
141	с одной	1	2
142	но не	3	2
143	если в	2	2
144	в одной	2	2
145	как в	8	2
146	это был	1	2
147	кроме того	1	2
148	хотя и	3	2
149	и наконец	2	2
150	и к	1	2
151	всего романа	1	2
