N	2gram	Vinokur_Ku_2	Psycholo
1	то что	9	32
2	и в	23	31
3	в том	19	30
4	и т	39	26
5	что в	10	23
6	может быть	15	22
7	таким образом	5	20
8	совершенно ясно	1	19
9	при этом	2	19
10	ясно что	5	19
11	так как	15	18
12	не может	9	17
13	как и	2	16
14	том что	11	16
15	т п	24	16
16	и не	16	16
17	точки зрения	14	15
18	только в	5	14
19	не только	20	13
20	что и	3	13
21	а не	10	13
22	мы не	1	12
23	если мы	4	12
24	так же	4	12
25	в этом	18	12
26	в самом	12	11
27	не в	8	11
28	в области	11	11
29	могут быть	4	11
30	в сущности	9	10
31	на то	4	10
32	того что	3	10
33	потому что	25	10
34	самом деле	9	9
35	по себе	10	9
36	ни в	4	9
37	как в	3	9
38	показать что	1	8
39	т д	14	8
40	и что	8	8
41	никогда не	2	8
42	что мы	6	8
43	вместе с	5	8
44	все это	5	8
45	во всяком	5	8
46	только тогда	1	7
47	том чтобы	1	7
48	заключается в	2	7
49	сказать что	4	7
50	того чтобы	11	7
51	и его	3	7
52	о том	1	7
53	есть в	3	7
54	что он	5	7
55	что это	7	6
56	зависимости от	5	6
57	очевидно что	2	6
58	отнюдь не	4	6
59	целый ряд	5	6
60	из этих	1	6
61	что она	3	6
62	для того	9	6
63	было бы	15	6
64	если бы	12	6
65	в его	5	6
66	вслед за	1	6
67	всяком случае	5	6
68	вовсе не	9	6
69	и даже	2	6
70	одной стороны	1	6
71	до конца	3	6
72	а в	3	6
73	и есть	2	5
74	в зависимости	4	5
75	то же	6	5
76	время как	1	5
77	в ее	1	5
78	с одной	2	5
79	в целом	1	5
80	несмотря на	5	5
81	она не	2	5
82	в то	4	5
83	тогда когда	1	5
84	в процессе	3	5
85	с и	1	5
86	как будто	2	5
87	утверждать что	2	5
88	то время	1	5
89	для нас	4	5
90	с другой	8	5
91	в какой	1	5
92	так что	1	5
93	был бы	2	5
94	само по	5	5
95	совершенно не	3	5
96	как бы	4	5
97	этой точки	2	5
98	все же	7	5
99	и для	2	5
100	и все	2	5
101	говорит что	1	5
102	другой стороны	7	5
103	же как	2	4
104	в котором	1	4
105	мы имеем	5	4
106	в которой	1	4
107	совпадает с	1	4
108	в виду	3	4
109	столь же	1	4
110	у него	3	4
111	отличие от	2	4
112	в последнее	1	4
113	в себе	1	4
114	и если	2	4
115	по существу	5	4
116	одной и	1	4
117	в совершенно	1	4
118	различие между	3	4
119	от себя	1	4
120	что я	4	4
121	тому что	1	4
122	одна из	1	4
123	только из	1	4
124	у нас	12	4
125	очень часто	2	4
126	к тому	4	4
127	те же	3	4
128	со стороны	4	4
129	никак не	3	4
130	прежде всего	8	4
131	между тем	6	4
132	один из	5	4
133	и у	2	4
134	могло бы	1	4
135	мы можем	1	4
136	там где	5	4
137	как это	5	4
138	как нельзя	1	4
139	этого слова	5	4
140	с этой	2	4
141	и о	4	4
142	в результате	4	4
143	чтобы понять	2	4
144	в этих	1	4
145	указывает на	1	4
146	в искусстве	1	4
147	и другие	1	4
148	в своих	2	4
149	к этому	4	4
150	смысле слова	2	3
151	речь идет	2	3
152	это и	3	3
153	на деле	1	3
154	тем же	2	3
155	почти всегда	2	3
156	должна быть	5	3
157	той же	2	3
158	вопрос о	9	3
159	из которых	3	3
160	которые никак	1	3
161	в которых	2	3
162	но не	6	3
163	конечном счете	2	3
164	с этим	3	3
165	в своем	2	3
166	хотя и	4	3
167	что по	1	3
168	и к	1	3
169	себе не	2	3
170	но в	11	3
171	уже в	3	3
172	в этой	6	3
173	его и	1	3
174	тому же	1	3
175	обоих этих	1	3
176	состоит в	2	3
177	в силу	7	3
178	и вот	5	3
179	и по	3	3
180	тому чтобы	1	3
181	в каждом	1	3
182	не будет	1	3
183	с тем	2	3
184	в слове	1	3
185	легче всего	1	3
186	мы знаем	4	3
187	в своей	2	3
188	представить себе	2	3
189	в отличие	2	3
190	и той	1	3
191	точку зрения	1	3
192	случае в	1	3
193	что эта	2	3
194	точно так	3	3
195	во всем	1	3
196	что на	4	3
197	не могут	5	3
198	когда мы	1	3
199	чтобы показать	1	3
200	что оно	3	3
201	не есть	1	3
202	и это	3	3
203	но только	4	3
204	что все	5	3
205	роль в	2	3
206	и когда	1	3
207	так и	4	3
208	что у	2	3
209	же мысль	1	3
210	что самое	1	3
211	он не	3	3
212	ее от	1	3
213	в конечном	2	3
214	нуждается в	2	3
215	в частности	2	3
216	дело с	1	3
217	или его	1	3
218	рассматриваться как	1	3
219	а потому	1	3
220	слова в	6	3
221	в конце	4	3
222	от того	4	3
223	и только	1	3
224	на примере	2	3
225	до сих	1	3
226	не было	4	3
227	сих пор	1	3
228	но это	3	3
229	должны быть	2	3
230	конце концов	3	3
231	это все	1	3
232	когда говорит	1	3
233	т е	22	3
234	как на	1	3
235	я сказал	1	2
236	ту же	6	2
237	того же	3	2
238	и то	5	2
239	и без	1	2
240	на самом	2	2
241	тех же	2	2
242	идет о	1	2
243	из всех	1	2
244	есть не	1	2
245	как мы	3	2
246	на эти	1	2
247	есть нечто	1	2
248	оно есть	1	2
249	но даже	2	2
250	большей частью	1	2
251	в чем	1	2
252	только то	1	2
253	в область	1	2
254	на основе	1	2
255	но как	1	2
256	а только	3	2
257	не то	2	2
258	отношение к	1	2
259	или иное	3	2
260	что они	2	2
261	сама по	1	2
262	что само	2	2
263	независимо от	1	2
264	последнее время	3	2
265	как к	1	2
266	когда он	1	2
267	в себя	1	2
268	к чему	1	2
269	бы и	4	2
270	мы получаем	1	2
271	в известном	1	2
272	в нем	4	2
273	главным образом	3	2
274	этого вопроса	3	2
275	моя мысль	1	2
276	или иных	1	2
277	поскольку она	1	2
278	русском языке	10	2
279	и с	7	2
280	на почве	1	2
281	этом смысле	5	2
282	и тем	5	2
283	в них	4	2
284	далеко не	1	2
285	не всегда	2	2
286	такой же	1	2
287	и сейчас	2	2
288	что такое	3	2
289	в такой	1	2
290	с точки	8	2
291	иначе как	1	2
292	тем не	6	2
293	их в	1	2
294	том и	1	2
295	том же	1	2
296	даже в	1	2
297	этой области	4	2
298	что есть	1	2
299	можно ли	4	2
300	предмет своего	1	2
301	не менее	7	2
302	тем самым	2	2
303	это мы	1	2
304	казалось бы	3	2
305	ничего не	4	2
306	в русском	10	2
307	тех или	1	2
308	этом отношении	3	2
309	фактов и	1	2
310	ли это	2	2
311	на это	3	2
312	если же	1	2
313	на вопрос	1	2
314	приходит к	1	2
315	связи со	1	2
316	без всякого	1	2
317	отношений и	1	2
318	то или	3	2
319	приводит к	5	2
320	развития языка	1	2
321	том случае	2	2
322	подойти к	1	2
323	это только	2	2
324	в настоящее	1	2
325	все дело	2	2
326	и здесь	5	2
327	настоящее время	1	2
328	но и	7	2
329	нас в	1	2
330	тем или	1	2
331	этих слов	1	2
332	это имеет	1	2
333	я думаю	1	2
334	отметить что	1	2
335	принципиальной разницы	1	2
336	и следовательно	2	2
337	в него	1	2
338	к нему	2	2
339	что здесь	1	2
340	как например	1	2
341	что только	1	2
342	тот же	5	2
343	которых они	1	2
344	и потому	2	2
345	по мнению	1	2
346	в качестве	8	2
347	к идее	1	2
348	уже не	8	2
349	в поэзии	1	2
350	одно из	1	2
351	и их	1	2
352	в одном	1	2
353	к ним	1	2
354	но что	2	2
355	не составляет	1	2
356	как раз	3	2
357	себе представить	1	2
358	русской интеллигенции	1	2
359	в каком	4	2
360	что для	2	2
361	то и	3	2
362	и составляет	1	2
363	во внимание	1	2
364	в связи	4	2
365	мы видели	2	2
366	такой степени	1	2
367	п все	1	2
368	интересно отметить	1	2
369	выражения и	1	2
370	смысле этого	2	2
371	что же	5	2
372	и там	1	2
373	отличается от	3	2
374	в книге	1	2
375	не знаем	1	2
376	и от	2	2
377	или иным	1	2
378	и самым	1	2
379	бы в	1	2
380	к этой	3	2
381	и как	1	2
382	ряд таких	1	2
383	будто бы	2	2
384	только что	1	2
385	или не	1	2
386	есть продукт	2	2
387	и законов	1	2
388	до тех	1	2
389	имеет место	1	2
390	что даже	1	2
391	только о	2	2
392	что поскольку	1	2
393	и слов	1	2
394	по поводу	2	2
395	это в	2	2
396	гораздо более	3	2
397	этом совершенно	1	1
398	вроде следующего	1	1
399	всегда в	1	1
400	совершенно справедливо	1	1
401	утверждение что	1	1
402	лучше в	1	1
403	так легко	1	1
404	раньше в	1	1
405	которое мы	1	1
406	по преимуществу	2	1
407	ведь и	1	1
408	все те	1	1
409	едва ли	1	1
410	это объяснение	1	1
411	он уже	2	1
412	научного и	1	1
413	станем на	1	1
414	что если	2	1
415	в первый	3	1
416	как функции	1	1
417	что иное	1	1
418	на тему	1	1
419	я не	5	1
420	которое не	1	1
421	это время	1	1
422	в ней	3	1
423	свою очередь	2	1
424	меньше чем	2	1
425	еще не	5	1
426	и на	6	1
427	повсюду в	1	1
428	это действительно	1	1
429	время в	1	1
430	стороны если	1	1
431	бы то	1	1
432	с его	1	1
433	только после	1	1
434	как таковая	1	1
435	не без	1	1
436	по своему	1	1
437	формы если	1	1
438	то мы	1	1
439	а следовательно	2	1
440	в обеих	1	1
441	то он	1	1
442	правильно указывает	1	1
443	это слово	4	1
444	теряет свой	2	1
445	явлений и	1	1
446	одном и	1	1
447	ответ на	2	1
448	есть по	1	1
449	для всякого	1	1
450	традиции в	1	1
451	не хотел	1	1
452	нет и	1	1
453	относится к	1	1
454	меньше всего	1	1
455	мере в	1	1
456	материалом для	2	1
