N	2gram	Potebnia_M_4	Retstnzi
1	не может	11	4
2	и в	23	3
3	один из	2	2
4	явление если	1	1
5	нет и	1	1
6	грамматических категорий	1	1
7	лежащие в	1	1
8	и можно	1	1
9	о формах	1	1
10	и не	18	1
11	тому что	2	1
12	значительное количество	1	1
13	не только	10	1
14	художественного произведения	1	1
15	и тому	1	1
16	связи с	3	1
17	бы на	1	1
18	точки зрения	4	1
19	во второй	1	1
20	языка как	1	1
21	но и	11	1
22	не менее	5	1
23	с другими	4	1
24	как искусство	3	1
25	ничего кроме	1	1
26	не из	5	1
27	тому подобных	1	1
28	теми или	1	1
29	в ней	2	1
30	в то	4	1
31	если один	1	1
32	с точки	3	1
33	произведения но	1	1
34	и на	3	1
35	вопрос что	2	1
36	для него	5	1
37	мы видим	2	1
38	может не	1	1
39	влияния на	1	1
40	в языке	16	1
41	сравнении с	1	1
42	на нее	3	1
43	к тому	3	1
44	речь и	1	1
45	а не	12	1
46	может быть	26	1
47	в его	5	1
48	с самых	1	1
49	он в	1	1
50	же время	3	1
51	то же	14	1
52	и все	4	1
53	из этих	2	1
54	можно назвать	2	1
55	нуждаются в	1	1
56	если бы	13	1
57	в каждом	3	1
58	исходя из	1	1
59	бы в	2	1
