N	2gram	Tiupa_Teor_1	UchenyiS
1	и в	18	14
2	а не	9	10
3	не только	16	10
4	и не	13	8
5	прежде всего	2	8
6	в этом	8	7
7	не может	4	7
8	то что	3	7
9	может быть	17	6
10	эстетического объекта	2	6
11	в искусстве	6	6
12	в художественном	3	5
13	и только	1	5
14	художественное произведение	1	5
15	все это	2	5
16	то же	7	5
17	художественного творчества	1	5
18	в их	2	4
19	конечном счете	6	4
20	с другой	7	4
21	в конечном	6	4
22	но и	9	4
23	в этой	3	4
24	у нас	2	3
25	бы то	1	3
26	в своей	6	3
27	то ни	1	3
28	в то	6	3
29	же время	5	3
30	пришлось бы	1	3
31	произведения искусства	2	3
32	или точнее	1	3
33	в частности	16	3
34	для этого	1	3
35	другой стороны	5	3
36	не следует	4	3
37	в области	4	3
38	для него	2	3
39	но в	9	3
40	и то	2	3
41	было бы	1	3
42	истории литературы	1	3
43	и т.д	3	3
44	это не	2	3
45	ни было	1	3
46	как и	4	3
47	только к	1	3
48	в системе	1	2
49	не столько	1	2
50	одним из	2	2
51	а между	1	2
52	этого термина	1	2
53	сводится к	5	2
54	для всех	1	2
55	на каждом	1	2
56	в себе	9	2
57	к области	2	2
58	или иных	3	2
59	если не	1	2
60	не случайно	5	2
61	в противном	1	2
62	по себе	1	2
63	в итоге	2	2
64	все они	1	2
65	но не	9	2
66	с его	5	2
67	по существу	1	2
68	этом смысле	2	2
69	тем что	1	2
70	и для	2	2
71	превращается в	2	2
72	о чем	1	2
73	и является	2	2
74	в широком	1	2
75	не все	3	2
76	крайней мере	1	2
77	что она	2	2
78	это было	2	2
79	что он	1	2
80	что все	1	2
81	говоря иначе	1	2
82	в том	16	2
83	только в	6	2
84	между тем	5	2
85	является в	1	2
86	могли бы	2	2
87	а о	1	2
88	таким образом	3	2
89	это уже	1	2
90	более чем	1	2
91	на первый	1	2
92	что и	2	2
93	по крайней	1	2
94	в его	6	2
95	тех или	3	2
96	если бы	3	2
97	как раз	2	2
98	могут быть	4	2
99	художественном произведении	1	2
100	не в	7	2
101	же самое	1	2
102	в самом	4	2
103	искусства как	2	2
104	в сторону	1	2
105	в конце	2	2
106	противном случае	1	2
107	художественного произведения	4	2
108	том что	9	2
109	не могут	2	2
110	всего лишь	6	1
111	точно и	1	1
112	читателя который	1	1
113	к простому	1	1
114	иначе в	1	1
115	о литературе	2	1
116	же художественное	1	1
117	и что	3	1
118	бы послужить	1	1
119	степени и	1	1
120	некую систему	1	1
121	объекта и	1	1
122	в которой	2	1
123	в качестве	24	1
124	обе эти	1	1
125	смысле можно	1	1
126	он не	3	1
127	начала и	1	1
128	что основной	1	1
129	заданность и	1	1
130	об этом	2	1
131	как таковыми	1	1
132	и служит	1	1
133	придется отказаться	1	1
134	свое место	1	1
135	сфере искусства	1	1
136	отнюдь не	3	1
137	в словах	1	1
138	художественное впечатление	1	1
139	приводит к	5	1
140	все что	1	1
141	в значительной	1	1
142	широком и	1	1
143	не входит	1	1
144	на его	1	1
145	с тем	1	1
146	тот же	1	1
147	бы в	1	1
148	героя не	1	1
149	в виду	5	1
150	вся система	1	1
151	тем более	1	1
152	независимо от	1	1
153	в известном	1	1
154	данном случае	5	1
155	себе еще	1	1
156	входит в	1	1
157	же как	1	1
158	ряда и	1	1
159	частности с	1	1
160	и слово	1	1
161	или даже	4	1
162	иначе говоря	4	1
163	с которыми	1	1
164	очень часто	1	1
165	в совокупности	1	1
166	без этого	1	1
167	частности все	1	1
168	можно сказать	3	1
169	она не	1	1
170	как основной	1	1
171	композиции лирических	1	1
172	но он	3	1
173	все и	1	1
174	стороны в	1	1
175	о котором	1	1
176	сказать что	3	1
177	познания или	1	1
178	художественного восприятия	1	1
179	о том	1	1
180	перестают быть	1	1
181	не существует	1	1
182	своим единственным	1	1
183	является одним	1	1
184	было и	1	1
185	ее в	2	1
186	и потому	2	1
187	но по	1	1
188	ее к	1	1
189	и вся	1	1
190	эстетическое содержание	1	1
191	всего что	1	1
192	автор видит	1	1
193	что в	9	1
194	впервые в	1	1
195	эстетический объект	3	1
196	анализу и	1	1
197	первый взгляд	1	1
198	для себя	1	1
199	может служить	2	1
200	ролью в	1	1
201	того что	4	1
202	литературы как	1	1
203	тем в	1	1
204	с одной	2	1
205	должно быть	1	1
206	той же	1	1
207	художественного впечатления	5	1
208	а.н веселовского	1	1
209	некоторыми другими	1	1
210	уже не	4	1
211	нас самих	1	1
212	так и	10	1
213	или менее	2	1
214	мы имеем	7	1
215	или иначе	5	1
216	человека и	1	1
217	искусства и	1	1
218	искусства в	2	1
219	так или	4	1
220	если нет	1	1
221	более или	2	1
222	его эстетической	1	1
223	литературного произведения	7	1
224	в той	2	1
225	друг другу	1	1
226	остается в	1	1
227	и это	2	1
228	отказаться от	1	1
229	не было	1	1
230	в эстетический	2	1
231	и др	1	1
232	единицы и	1	1
233	на то	1	1
234	одной стороны	2	1
235	тех кто	1	1
236	эстетической функции	1	1
237	никогда не	4	1
238	он в	1	1
239	и даже	2	1
240	что для	1	1
241	но прежде	1	1
242	имеем в	3	1
243	на материал	1	1
244	в пределах	5	1
245	в произведении	3	1
246	с самим	1	1
247	у него	1	1
248	строго говоря	1	1
249	об искусстве	1	1
250	во мне	2	1
251	и делает	1	1
252	еще один	1	1
253	термина не	1	1
254	произведения в	1	1
255	за пределы	2	1
256	и конструктивное	1	1
257	в нем	4	1
258	бы ни	1	1
259	искусстве от	1	1
260	полагая что	1	1
261	для читателя	2	1
262	сводятся к	2	1
263	содержания в	1	1
264	но именно	1	1
265	далеко не	2	1
266	является специфическая	1	1
267	то есть	12	1
268	в порядке	3	1
269	научному анализу	1	1
270	не вполне	2	1
271	их в	3	1
272	ее как	1	1
273	в своем	4	1
274	в данном	8	1
275	исторической поэтики	1	1
276	именно к	1	1
277	и некоторыми	1	1
