N	3gram	Bakhtin_fo_2	Vladivir
1	о том что	1	7
2	в том что	3	7
3	то же время	4	4
4	в то же	4	4
5	что он не	1	3
6	в конце концов	1	3
7	с другой стороны	1	3
8	не может быть	1	3
9	как мы уже	4	3
10	на первый план	2	2
11	и в то	3	2
12	как мы увидим	1	2
13	так как он	1	2
14	не только в	5	2
15	в то время	1	2
16	в связи со	1	2
17	все это было	1	2
18	мы уже сказали	3	2
19	он как мы	1	2
20	можно сказать что	1	2
21	тем более что	2	2
22	так что в	1	2
23	для того чтобы	7	2
24	том что он	1	2
25	что и в	1	2
26	и т д	3	2
27	это же самое	1	1
28	в нем мы	1	1
29	а следовательно и	2	1
30	в чем не	1	1
31	а за ними	1	1
32	с ним но	1	1
33	и в особенности	3	1
34	в том же	4	1
35	в дальнейшем мы	2	1
36	всю человеческую жизнь	1	1
37	но в данном	1	1
38	с ним в	1	1
39	никак не могла	1	1
40	он не был	2	1
41	большую роль в	1	1
42	в значительной мере	1	1
43	бы она ни	2	1
44	вместе с тем	1	1
45	в тот же	1	1
46	одно и то	1	1
47	то время как	1	1
48	но в то	1	1
49	что во время	1	1
50	с одной стороны	1	1
51	в связи с	7	1
52	и то же	1	1
53	а также и	1	1
54	и в этом	3	1
55	жизни так и	1	1
56	сказать что здесь	1	1
57	но только в	1	1
58	ни в чем	1	1
59	в тех же	1	1
60	и вместе с	1	1
61	в свою очередь	1	1
62	но он не	1	1
63	у него есть	2	1
64	только во время	1	1
65	с тем что	1	1
66	в котором он	1	1
67	а это и	1	1
68	уже не только	1	1
69	к тому что	1	1
70	чувствует себя в	1	1
71	в частном владении	1	1
72	и столько же	2	1
73	конце концов он	1	1
74	в этом отношении	2	1
75	только с помощью	1	1
76	также и в	1	1
