N	3gram	Vinokur_Ku_2	DiskursI
1	в отличие от	2	12
2	в данном случае	1	6
3	в том что	10	6
4	то же время	3	5
5	как и в	1	5
6	в этом отношении	3	4
7	в то же	3	4
8	с одной стороны	1	4
9	не может быть	4	3
10	о том что	1	3
11	состоит в том	1	2
12	в соответствии с	2	2
13	в этом случае	2	2
14	с точки зрения	8	2
15	в первую очередь	1	2
16	в наше время	2	2
17	и то что	1	2
18	не более чем	1	2
19	по природе своей	1	2
20	дело в том	1	2
21	в свое время	2	2
22	и прежде всего	1	2
23	том что в	1	1
24	дает себя знать	1	1
25	все дело в	1	1
26	прежде всего в	1	1
27	для данного речевого	1	1
28	в самом деле	7	1
29	не должно быть	1	1
30	того или иного	2	1
31	и там где	1	1
32	можно утверждать что	1	1
33	с другой стороны	7	1
34	можно говорить о	1	1
35	бы то ни	1	1
36	только то что	1	1
37	но и здесь	1	1
38	но это не	1	1
39	в той мере	1	1
40	одном и том	1	1
41	и в частности	1	1
42	в значительной степени	1	1
43	то ни было	1	1
44	и том же	1	1
45	говоря уже о	2	1
46	а также и	1	1
47	том что и	1	1
48	не могут быть	1	1
49	это своего рода	1	1
50	не в том	1	1
51	и характерное для	1	1
52	во всяком случае	5	1
53	мере в какой	1	1
54	и той же	1	1
55	и формируется в	1	1
56	в иных случаях	1	1
57	с самого начала	1	1
58	в конечном счете	2	1
59	тем что он	2	1
60	можно сказать что	2	1
61	в большинстве случаев	1	1
62	одной и той	1	1
63	в силу своей	1	1
64	той мере в	1	1
65	тем не менее	5	1
66	но также и	2	1
67	по крайней мере	6	1
68	не только от	1	1
69	речь идет о	1	1
70	не говоря уже	2	1
