N	2gram	Bakhtin_Fr_8	EvropaiE
1	и в	56	37
2	в отношении	5	32
3	в пределах	5	25
4	точки зрения	6	23
5	что в	5	21
6	не только	8	18
7	с точки	2	17
8	в то	12	16
9	то же	11	15
10	в своем	3	14
11	но в	6	14
12	же время	10	14
13	в качестве	4	14
14	но и	9	14
15	и не	9	14
16	в этом	14	12
17	в их	3	11
18	в области	5	11
19	в том	13	11
20	так и	13	10
21	в себе	4	9
22	только в	9	9
23	прежде всего	6	9
24	все более	1	9
25	не может	2	9
26	так же	2	9
27	в ее	6	8
28	было бы	2	8
29	в своей	2	8
30	к тому	1	8
31	между тем	3	8
32	с одной	4	8
33	одной стороны	2	8
34	также и	2	7
35	а также	3	7
36	того что	1	7
37	так как	4	7
38	с другой	2	7
39	как и	5	7
40	по своему	8	7
41	может быть	3	6
42	и на	7	6
43	во всех	8	6
44	стороны и	1	6
45	то есть	24	6
46	том что	8	6
47	того чтобы	4	6
48	вовсе не	6	6
49	для того	2	6
50	и даже	8	6
51	как бы	11	6
52	с этой	2	6
53	то что	3	6
54	но не	5	5
55	не в	3	5
56	но если	1	5
57	как мы	7	5
58	одной из	3	5
59	в виде	2	5
60	в частности	7	5
61	и потому	4	5
62	в той	6	5
63	мы не	2	4
64	вопрос о	1	4
65	в полной	1	4
66	в ней	4	4
67	независимо от	1	4
68	в самом	9	4
69	во многих	1	4
70	то ни	2	4
71	несмотря на	2	4
72	чем в	1	4
73	лежат в	1	4
74	даже в	4	4
75	не имеет	1	4
76	и притом	1	4
77	в процессе	5	4
78	той или	2	4
79	бы то	2	4
80	можно сказать	2	4
81	тем более	1	4
82	именно в	1	4
83	ни было	2	4
84	или иной	1	4
85	не на	3	4
86	мира в	1	4
87	для нас	1	4
88	сказать что	3	4
89	культуры в	2	4
90	в каком	2	4
91	идет о	1	3
92	из всех	2	3
93	с более	1	3
94	бы и	2	3
95	и народов	1	3
96	и со	1	3
97	того же	1	3
98	время в	3	3
99	как в	1	3
100	когда он	2	3
101	и к	4	3
102	в известном	2	3
103	но на	1	3
104	вообще не	1	3
105	в определенном	1	3
106	мы можем	1	3
107	страны и	1	3
108	большинстве случаев	6	3
109	этом смысле	1	3
110	и тем	1	3
111	в них	11	3
112	с тем	2	3
113	мы видели	5	3
114	и некоторые	2	3
115	в которых	2	3
116	дело в	2	3
117	никогда не	5	3
118	потому что	6	3
119	с другом	1	3
120	во все	3	3
121	бы ни	1	3
122	можно было	1	3
123	приближается к	1	3
124	о том	4	3
125	от них	1	3
126	место в	1	3
127	что и	3	3
128	отметить что	2	3
129	и только	1	3
130	культур и	1	3
131	известном смысле	1	3
132	не из	1	3
133	из них	2	3
134	в прошлом	1	3
135	к ним	2	3
136	тем что	1	3
137	этом отношении	1	3
138	и прежде	1	3
139	говорит о	2	3
140	там где	3	3
141	в данном	2	3
142	друг с	1	3
143	известной степени	1	3
144	и для	2	3
145	и от	1	3
146	в результате	5	3
147	мира и	2	3
148	обстоит дело	1	3
149	ее в	1	3
150	как на	1	3
151	и то	2	2
152	по преимуществу	2	2
153	что эти	2	2
154	и другая	1	2
155	меньшей степени	3	2
156	не нужно	1	2
157	на них	3	2
158	между собой	1	2
159	точка зрения	2	2
160	хотя и	2	2
