N	2gram	Medvedev_V_1	Problemy
1	и в	2	35
2	и не	1	27
3	то же	1	15
4	в этом	1	14
5	и его	1	14
6	все это	1	14
7	в другом	1	12
8	самом деле	1	10
9	я не	1	8
10	потому что	1	8
11	в самом	1	6
12	только в	1	6
13	но это	1	6
14	и то	1	5
15	в конце	2	5
16	да и	1	5
17	в том	2	5
18	бы уже	1	4
19	не хочу	1	4
20	все время	1	4
21	так как	1	4
22	одно и	1	3
23	и т.д	1	3
24	под влиянием	1	3
25	сводится к	1	3
26	конце концов	2	3
27	том что	2	3
28	в которых	1	2
29	столь же	1	2
30	так в	1	2
31	хотя бы	1	2
32	не даром	1	1
33	концов его	1	1
34	в их	1	1
35	один пример	1	1
36	и сводится	1	1
37	ли над	1	1
38	тем более	1	1
39	что слово	1	1
40	к чему	1	1
41	то я	1	1
42	новых приемов	1	1
43	говорили в	1	1
44	они на	1	1
45	и заключается	1	1
46	стоит на	1	1
47	далеко не	1	1
48	с несколько	1	1
49	находится под	1	1
50	по крайней	1	1
51	том же	1	1
52	в устах	1	1
53	и почти	1	1
54	дело в	1	1
55	слово по	1	1
56	значительной степени	1	1
57	все дело	1	1
58	в значительной	1	1
59	на одном	1	1
60	и только	1	1
61	крайней мере	1	1
62	же все	1	1
63	ведь это	1	1
64	стилистики в	1	1
65	по своим	1	1
66	главным образом	1	1
67	к этому	1	1
