N	3gram	Losev_Dial_1	TeoriaLi
1	в том что	7	6
2	то же время	4	6
3	в то же	4	6
4	более или менее	3	4
5	с другой стороны	4	3
6	тем не менее	1	3
7	можно сказать что	3	3
8	той или иной	3	3
9	в этом смысле	3	3
10	в данный момент	1	2
11	что в основе	1	2
12	мы имеем дело	1	2
13	с точки зрения	12	2
14	с одной стороны	2	2
15	не в самом	1	2
16	и то же	4	2
17	так или иначе	1	2
18	одно и то	4	2
19	тех или иных	1	2
20	сама по себе	8	2
21	не может быть	3	2
22	это уже не	1	1
23	а между тем	1	1
24	– все это	2	1
25	в чистом виде	1	1
26	в той или	1	1
27	своего объекта и	1	1
28	а не с	1	1
29	дело в том	1	1
30	имеет место в	1	1
31	это было бы	1	1
32	в себе никаких	1	1
33	коем случае не	1	1
34	объективно и не	1	1
35	и в то	2	1
36	– один из	1	1
37	ни в коем	1	1
38	можно говорить о	1	1
39	что он не	2	1
40	только то что	3	1
41	из того что	1	1
42	точки зрения не	1	1
43	точно так же	2	1
44	в коем случае	1	1
45	по крайней мере	4	1
46	то или иное	2	1
47	никогда не бывает	1	1
48	может быть и	3	1
49	даже если она	1	1
50	еще не есть	1	1
51	до известной степени	1	1
52	и не дает	1	1
53	содержит в себе	3	1
54	к своему собственному	1	1
55	таким образом и	1	1
56	в отношении к	1	1
57	по большей части	1	1
58	я никогда не	2	1
59	в связи с	1	1
60	как более или	2	1
61	в первую очередь	1	1
62	не сама по	1	1
63	в то время	1	1
64	а в том	1	1
65	форма может быть	1	1
66	это и есть	2	1
67	а не ее	1	1
68	о том что	2	1
69	в себе самом	2	1
70	между тем в	1	1
71	но в то	1	1
72	внутреннее и внешнее	3	1
73	хома брут не	1	1
74	в этих случаях	1	1
75	больше и больше	1	1
76	та или иная	3	1
77	или иное логическое	1	1
78	говорить о разных	1	1
79	в сравнении с	1	1
80	дело не в	1	1
81	для того чтобы	1	1
82	к тому же	1	1
83	по себе а	2	1
84	отношении к нему	1	1
