N	4gram	Propp_Isto_1	Marksizm
1	бы то ни было	2	4
2	на самом же деле	1	3
3	с одной стороны и	1	2
4	какой бы то ни	1	2
5	к тому или иному	1	1
6	то же самое что	2	1
7	но тем не менее	1	1
8	и в соответствии с	1	1
9	так как нам важно	1	1
10	уже о том что	1	1
11	говоря уже о том	1	1
12	дело в том что	2	1
13	они не могут быть	1	1
14	не сами по себе	1	1
15	в качестве столь же	1	1
16	не что иное как	1	1
17	в соответствии с этим	1	1
18	не может быть признано	1	1
19	приводит к тому что	1	1
20	это не совсем так	1	1
21	не говоря уже о	1	1
