N	3gram	Savitsky_E_1	Sovremen
1	мы не можем	1	6
2	с точки зрения	16	5
3	не может быть	2	4
4	не может не	1	3
5	мы видели что	1	3
6	друг с другом	3	2
7	во всяком случае	3	2
8	через некоторое время	1	2
9	каждого из них	1	2
10	только одна возможность	1	2
11	в отличие от	1	2
12	в свою очередь	2	2
13	может быть и	1	2
14	не будет ли	1	1
15	в известном смысле	3	1
16	и в этом	4	1
17	и не было	1	1
18	одной стороны и	6	1
19	силы в таком	1	1
20	не могут быть	1	1
21	в связи с	1	1
22	не может дать	1	1
23	дело в том	1	1
24	одна и та	1	1
25	в данной области	2	1
26	в этом смысле	3	1
27	так же как	5	1
28	один и тот	1	1
29	физические и химические	1	1
30	то же время	14	1
31	и в то	8	1
32	представление о том	1	1
33	бы то ни	4	1
34	и та же	1	1
35	как одной из	1	1
36	это значит что	1	1
37	заключает в себе	3	1
38	можно было бы	3	1
39	той или иной	4	1
40	и в начале	1	1
41	и прежде всего	3	1
42	не более как	1	1
43	в этом периоде	1	1
44	в том случае	1	1
45	в то же	15	1
46	в себе в	1	1
47	в том что	6	1
48	в данном случае	2	1
49	на этот вопрос	1	1
50	дело идет о	2	1
51	в западной европе	1	1
52	ли он в	1	1
53	то ни было	4	1
54	что произошло в	1	1
55	с одной стороны	8	1
56	на этот раз	1	1
57	и тот же	1	1
