N	2gram	Bakhtin_Fr_2	Istorich
1	и в	49	28
2	может быть	5	25
3	не может	7	15
4	а не	1	15
5	никогда не	5	14
6	для нас	1	13
7	мы должны	2	13
8	мы имеем	1	13
9	что в	2	12
10	то же	7	12
11	не только	17	12
12	только в	13	11
13	мы видим	1	11
14	все же	7	10
15	прежде всего	19	10
16	что он	3	10
17	но и	13	10
18	так и	6	9
19	не в	1	9
20	в том	3	9
21	и не	15	9
22	то что	6	9
23	о том	3	9
24	таким образом	7	8
25	не всегда	1	8
26	в этом	15	8
27	если бы	1	8
28	но в	4	8
29	и здесь	1	7
30	еще не	2	7
31	так же	2	7
32	а в	4	7
33	здесь мы	1	7
34	в этих	4	7
35	это не	1	7
36	и др	9	7
37	в ней	2	7
38	было бы	3	7
39	том что	4	7
40	видно что	1	6
41	его в	1	6
42	вместе с	2	6
43	к тому	1	6
44	в этой	10	6
45	что и	1	6
46	с другой	4	6
47	так например	2	6
48	не менее	1	6
49	так как	6	6
50	ты не	1	5
51	что они	2	5
52	должна быть	1	5
53	сих пор	4	5
54	не будем	1	5
55	к которому	1	5
56	до сих	4	5
57	в одном	3	5
58	по существу	2	5
59	но не	5	5
60	например в	1	5
61	в его	18	5
62	в дальнейшем	2	5
63	в качестве	2	5
64	ее в	2	5
65	сказать что	6	5
66	в силу	1	5
67	на основе	2	5
68	другой стороны	3	5
69	их в	3	5
70	что здесь	1	5
71	можно было	3	5
72	в своем	5	5
73	мы будем	1	5
74	все эти	7	4
75	и с	6	4
76	в связи	2	4
77	как и	11	4
78	другими словами	3	4
79	на то	2	4
80	и для	1	4
81	здесь не	2	4
82	связи с	2	4
83	большинстве случаев	1	4
84	связь с	3	4
85	в большинстве	1	4
86	даже в	3	4
87	раньше чем	1	4
88	там где	4	4
89	и другие	2	4
90	так что	1	4
91	друг с	1	4
92	так в	3	4
93	с тем	1	4
94	но все	4	4
95	хотя бы	1	4
96	и на	17	4
97	но это	2	4
98	превращается в	3	4
99	того что	1	4
100	потому что	1	4
101	и даже	2	4
102	один из	7	4
103	к ним	1	4
104	могут быть	2	4
105	с одной	3	4
106	но оно	1	4
107	одной стороны	3	4
108	все это	9	4
109	об этом	1	4
110	в пределах	2	4
111	означает что	1	4
112	мы знаем	1	4
113	почти не	1	3
114	очень много	2	3
115	в форме	4	3
116	в другом	2	3
117	отношению к	1	3
118	мы здесь	2	3
119	и их	1	3
120	на эту	2	3
121	в то	6	3
122	ключ к	2	3
123	в какой	1	3
124	при этом	5	3
125	для этого	1	3
126	с другом	1	3
127	в их	2	3
128	и он	1	3
129	в обряде	2	3
130	в образе	1	3
131	видели что	1	3
132	мы еще	2	3
133	в начале	5	3
134	к чему	1	3
135	или на	1	3
136	из которых	1	3
137	по отношению	1	3
138	как мы	7	3
139	и его	17	3
140	и по	1	3
141	во всем	3	3
142	в книге	3	3
143	тем что	4	3
144	однако это	1	3
145	во время	12	3
146	дело в	1	3
147	в котором	1	3
148	точку зрения	2	3
149	будто бы	1	3
150	именно в	6	3
151	того как	2	3
152	также и	3	3
153	должен был	2	3
154	на этом	1	3
155	представления о	1	3
156	я не	1	3
157	должен быть	1	3
158	и эти	2	3
159	в целях	2	3
160	есть только	1	3
161	перед нами	1	3
162	из них	3	3
163	эти формы	2	3
164	связи и	1	2
165	в свете	1	2
166	одним из	2	2
167	в себе	4	2
168	с самого	1	2
169	они иногда	1	2
170	бы в	1	2
171	и вот	3	2
172	в особенности	5	2
173	говорит о	1	2
174	от этого	1	2
175	значение и	1	2
176	в виде	1	2
177	на это	1	2
178	не дает	3	2
179	никто не	2	2
180	по мере	1	2
181	еще и	1	2
182	большей или	3	2
183	и тот	1	2
184	с ней	1	2
185	так часто	1	2
186	как раз	1	2
187	в нем	9	2
188	и конец	1	2
189	связанные с	2	2
190	в тех	2	2
191	не более	1	2
192	во всех	6	2
193	там же	2	2
194	и как	1	2
195	где нет	1	2
196	пока не	1	2
197	одной из	2	2
198	и общественные	1	2
199	с ним	4	2
200	в ее	3	2
201	здесь в	6	2
202	для него	9	2
203	отношения к	4	2
204	прошлого и	1	2
205	а затем	3	2
206	должны были	1	2
207	один только	1	2
208	мы видели	3	2
209	но они	3	2
210	к своему	1	2
211	правда и	1	2
212	что этот	1	2
213	один и	1	2
214	но если	1	2
215	как в	1	2
216	в целом	1	2
217	именно на	2	2
218	тогда когда	1	2
219	что не	1	2
220	тот же	5	2
221	не на	1	2
222	только с	3	2
223	и от	1	2
224	связано с	2	2
225	относится к	5	2
226	вследствие этого	2	2
227	или меньшей	3	2
228	в очень	1	2
229	лучше всего	1	2
230	и потому	5	2
231	ничего не	2	2
232	ясно что	1	2
233	поэтому в	1	2
234	этот момент	4	2
235	уже у	1	2
236	обряда и	1	2
237	на них	1	2
238	в эпоху	13	2
239	xix века	2	2
240	и она	1	2
241	одна из	4	2
242	всех этих	3	2
243	не вполне	1	2
244	он в	1	2
245	не существует	1	2
246	и часто	1	2
247	всего в	1	2
248	во всей	1	2
249	образов и	3	2
250	а по	1	2
251	указывает на	1	2
252	не могут	1	2
253	однако не	1	2
254	он не	1	2
255	в данной	1	2
256	и когда	1	2
257	из всех	1	2
258	вовсе не	10	2
259	источником для	1	2
260	пути в	1	2
261	народа в	1	2
262	здесь же	2	2
263	еще в	2	2
264	тому кто	1	2
265	в такой	1	2
266	на этот	1	2
267	в частности	1	2
268	в основном	5	2
269	а иногда	1	2
270	в области	4	2
271	борьбы с	1	2
272	в ту	2	2
273	точка зрения	3	2
274	вступает в	1	2
275	конечно не	1	2
276	о нем	1	2
277	как о	1	2
278	к этому	1	2
279	том чтобы	1	2
280	как бы	11	2
281	не есть	1	2
282	несколько иной	1	1
283	значение которое	1	1
284	вступают в	1	1
285	из приведенных	1	1
286	его от	1	1
287	которую мы	1	1
288	широко и	1	1
289	тому или	1	1
290	в которой	1	1
291	и этот	1	1
292	связи со	1	1
293	важна не	1	1
294	происходит в	1	1
295	которые еще	1	1
296	из своей	2	1
297	образом и	1	1
298	природу и	2	1
299	в значительной	3	1
300	по сравнению	2	1
301	но она	1	1
302	входят в	1	1
303	их с	1	1
304	имеются и	1	1
305	самом же	1	1
306	во всяком	2	1
307	из области	1	1
308	сопоставления и	1	1
309	из этих	5	1
310	прямо на	1	1
311	же к	1	1
312	тех же	2	1
313	но он	6	1
314	что эти	1	1
315	в противоположность	2	1
316	в предисловии	2	1
317	образы и	1	1
318	силами природы	1	1
319	народа поэтому	1	1
320	только как	1	1
321	искать в	1	1
322	говорили что	1	1
323	всем этим	1	1
324	такое явление	1	1
325	совершался в	1	1
326	и глубже	1	1
327	могла бы	1	1
328	интересное и	1	1
329	в один	1	1
330	слова в	1	1
331	нам важно	1	1
332	иногда и	1	1
333	главным образом	1	1
334	только тогда	1	1
335	и особый	1	1
336	на своем	1	1
337	о своих	1	1
338	за этим	1	1
339	и ее	1	1
340	не было	4	1
341	после того	1	1
342	мотивов и	3	1
343	но даже	2	1
344	к числу	2	1
345	и все	3	1
346	своей книге	2	1
347	к концу	1	1
348	в жизни	4	1
349	как можно	1	1
350	на время	1	1
351	не делает	1	1
352	и могла	1	1
353	на новый	2	1
354	быть названо	1	1
355	быть только	1	1
356	независимо от	1	1
357	этого нельзя	1	1
358	дает нам	2	1
359	если это	1	1
360	бы не	1	1
361	в конце	2	1
362	но здесь	3	1
363	ссылается на	2	1
364	для исполнения	1	1
365	их от	1	1
366	можно только	1	1
367	в понимании	2	1
368	та же	2	1
369	с целым	1	1
370	в своей	5	1
371	другом месте	2	1
372	только то	2	1
373	если она	1	1
374	очень хорошо	2	1
375	литературу но	1	1
376	точке зрения	1	1
377	кажется на	1	1
378	смерти в	1	1
379	так сказать	1	1
380	того или	1	1
381	значение это	1	1
382	в средние	9	1
383	всегда на	1	1
384	тексты и	4	1
385	вне его	1	1
386	начале книги	1	1
387	в нашем	2	1
388	что уже	1	1
389	одно из	1	1
390	эти слова	1	1
391	соприкосновения с	1	1
392	стороны и	1	1
393	до известной	1	1
394	других явлений	1	1
395	явление в	1	1
396	в отношении	2	1
397	не мог	1	1
398	времени все	1	1
399	средние века	8	1
400	утверждение что	1	1
401	знаем что	1	1
402	шире и	1	1
403	время в	1	1
404	он часто	1	1
405	есть не	1	1
406	связан с	3	1
407	своего рода	1	1
408	всего что	2	1
409	едой и	1	1
410	природы но	1	1
411	вплоть до	2	1
412	в себя	6	1
413	совершенно не	2	1
414	еще на	1	1
415	что эта	1	1
416	несколько подробнее	1	1
417	на войну	1	1
418	в формах	2	1
419	кажется что	1	1
420	какой степени	1	1
421	этих областей	1	1
422	связанных с	3	1
423	состоит из	1	1
424	с теми	1	1
425	с начала	1	1
426	на самом	2	1
427	но почти	1	1
428	мысль высказывает	1	1
429	далее он	1	1
430	именно с	1	1
431	к ней	2	1
432	второй половины	2	1
433	этот страх	1	1
434	хотя и	2	1
435	времени и	6	1
436	что для	3	1
437	можно не	1	1
438	поэтому мы	1	1
439	и пытается	1	1
440	этом случае	1	1
441	не знаешь	1	1
442	она никогда	1	1
443	в свет	2	1
444	и к	4	1
445	проникнуть в	2	1
446	да и	3	1
447	века это	1	1
448	в большей	3	1
449	первых же	1	1
450	он может	1	1
451	я считаю	1	1
452	превратились в	1	1
453	формах и	2	1
454	как некую	1	1
455	уже есть	1	1
456	явление это	1	1
457	и сравнения	1	1
458	выйти из	1	1
459	это и	2	1
460	она же	1	1
461	достаточно напомнить	1	1
462	в античности	1	1
463	художественная логика	1	1
464	иной характер	1	1
465	он с	1	1
466	о человеке	2	1
467	того чтобы	2	1
468	в прошлом	1	1
469	связана с	3	1
470	что из	1	1
471	это или	1	1
472	как если	1	1
473	нас нет	1	1
474	как объяснить	1	1
475	этой же	1	1
476	была и	1	1
477	не простое	1	1
478	природой и	2	1
479	один человек	1	1
480	литературу и	2	1
481	страх в	1	1
482	можно судить	1	1
483	для того	1	1
484	когда она	1	1
485	они стали	1	1
486	оказывается что	1	1
487	них как	1	1
488	содержит в	2	1
489	этим явлениям	1	1
490	только на	1	1
491	до наших	2	1
492	старого и	2	1
493	и еще	2	1
494	стремление к	1	1
495	в истории	6	1
496	такого рода	2	1
497	оно не	1	1
498	а все	1	1
499	центр тяжести	1	1
500	наших дней	2	1
501	он был	2	1
502	значительной степени	2	1
503	со своей	1	1
504	вводит в	1	1
505	книге о	2	1
506	и мотивов	1	1
507	силу того	1	1
508	конца в	1	1
509	переход в	1	1
510	тому как	2	1
511	в преисподней	1	1
512	и общественных	1	1
