N	3gram	Bakhtin_KF_1	Formalny
1	с точки зрения	9	14
2	не может быть	11	14
3	на самом деле	3	12
4	в то же	2	7
5	то же время	2	7
6	во всяком случае	1	6
7	в зависимости от	1	5
8	может быть понято	1	4
9	бы то ни	2	4
10	то ни было	2	4
11	в большинстве случаев	1	4
12	для того чтобы	1	4
13	а не в	2	3
14	по отношению к	22	3
15	то же самое	1	3
16	точки зрения его	1	3
17	вместе с тем	1	3
18	в том что	2	3
19	раз и навсегда	2	3
20	нет и не	1	2
21	ровно ничего не	1	2
22	как и всякое	1	2
23	равно как и	1	2
24	в этом смысле	3	2
25	в нем и	3	2
26	то или иное	2	2
27	и в то	1	2
28	может быть только	7	2
29	слова и его	1	2
30	и пр все	1	2
31	пр все это	1	2
32	со стороны его	1	2
33	дело в том	1	2
34	мы не можем	1	2
35	исторического свершения в	1	2
36	в отвлечении от	5	2
37	как бы ни	1	2
38	не может стать	1	2
39	к тому что	1	2
40	тем не менее	2	2
41	дело не в	1	2
42	смысле этого слова	1	2
43	форму и содержание	1	1
44	для нас важно	2	1
45	сводится к следующему	1	1
46	и того же	1	1
47	до конца в	1	1
48	дело здесь не	2	1
49	вовсе не есть	2	1
50	имеем в виду	2	1
51	проникает во все	1	1
52	в настоящее время	1	1
53	какого бы то	1	1
54	в том же	1	1
55	один и тот	1	1
56	можно и должно	1	1
57	оно ни было	1	1
58	себя в нем	1	1
59	а следовательно и	1	1
60	бы ни была	1	1
61	в лучшем случае	1	1
62	хотя бы и	1	1
63	каково бы оно	1	1
64	это значило бы	2	1
65	не совпадает с	1	1
66	но и здесь	3	1
67	здесь не в	1	1
68	понять его в	1	1
69	могло бы возникнуть	1	1
70	в нем как	4	1
71	в противном случае	1	1
72	со всех сторон	1	1
73	они находятся в	1	1
74	значило бы признать	1	1
75	конечно это не	1	1
76	в котором действительно	1	1
77	и тем не	1	1
78	индифферентным к ценности	1	1
79	ту или иную	1	1
80	имеет место и	1	1
81	в значительной степени	1	1
82	не была бы	1	1
83	место в этом	1	1
84	не потому что	1	1
85	только в этом	1	1
86	и тот же	1	1
87	можно говорить об	1	1
88	отсюда следует что	1	1
89	и по отношению	1	1
90	никогда не может	1	1
91	в определенное время	1	1
92	в жизни в	1	1
93	в современной философии	3	1
94	не в том	1	1
95	и все эти	2	1
96	при этом условии	1	1
97	может быть понята	1	1
98	с нашей точки	1	1
99	а не как	1	1
100	это не значит	1	1
101	бы оно ни	1	1
102	событие жизни и	1	1
103	поступка не в	1	1
104	мы не найдем	1	1
105	в смысле совокупности	1	1
106	в его целом	10	1
107	ее целом и	1	1
108	между тем как	3	1
109	и пр и	1	1
110	того или иного	3	1
111	и все же	1	1
112	ни в каком	2	1
113	вытекает из предшествующего	1	1
114	время и в	1	1
115	но конечно это	1	1
116	в ее целом	2	1
117	но отнюдь не	1	1
118	нисколько не противоречит	1	1
119	той или иной	2	1
120	нашей точки зрения	1	1
121	между жизнью и	1	1
122	на то что	1	1
123	лежит в основе	1	1
124	одного и того	1	1
125	здесь вовсе не	1	1
126	менее всего можно	1	1
127	в данном контексте	1	1
128	в ту или	1	1
129	это нисколько не	1	1
130	что и делает	1	1
131	современной философии жизни	1	1
132	и только в	2	1
