N	3gram	Tiupa_Teor_1	Morfolog
1	в этих случаях	1	13
2	в связи с	1	8
3	не может быть	4	8
4	подобно тому как	1	5
5	по отношению к	4	4
6	с точки зрения	3	4
7	с другой стороны	5	4
8	тем не менее	3	4
9	в первом случае	1	3
10	не могут быть	2	3
11	может быть названо	2	3
12	как и в	2	3
13	состоит в том	5	2
14	более или менее	2	2
15	в таких случаях	1	2
16	точно так же	1	2
17	может быть и	2	2
18	в иных случаях	1	2
19	с одной стороны	2	2
20	на первый взгляд	1	2
21	к чему не	1	2
22	в то время	1	2
23	тем и другим	1	2
24	ни к чему	1	2
25	в большинстве случаев	1	2
26	для того чтобы	1	2
27	в том что	8	2
28	таким образом что	1	1
29	по существу является	1	1
30	с ними и	1	1
31	в лес но	1	1
32	это необходимо для	1	1
33	это было бы	1	1
34	это уже не	1	1
35	что иное как	1	1
36	как бы в	1	1
37	может быть определен	1	1
38	бы они ни	1	1
39	в качестве его	1	1
40	том случае если	1	1
41	ни в коем	2	1
42	бы то ни	1	1
43	в противном случае	1	1
44	в том случае	1	1
45	в коем случае	2	1
46	одно и то	1	1
47	который может быть	1	1
48	в том или	1	1
49	в данном случае	5	1
50	и то же	1	1
51	соединению с другими	1	1
52	иметь в виду	1	1
53	а в другом	1	1
54	что они хотят	1	1
55	она могла бы	1	1
56	есть не что	1	1
57	то же время	5	1
58	в одном случае	1	1
59	коем случае не	2	1
60	мы имеем в	3	1
61	на свое место	1	1
62	о том что	1	1
63	той или иной	1	1
64	можно сказать что	2	1
65	они ни были	1	1
66	в то же	5	1
67	из этих двух	1	1
68	к тому что	2	1
69	не что иное	1	1
70	то что они	1	1
71	дело не в	1	1
72	для героя и	1	1
