N	3gram	Vygotskiy__5	Myshleni
1	в том что	14	31
2	заключается в том	6	14
3	с точки зрения	2	11
4	те и другие	1	9
5	мы могли бы	4	9
6	с одной стороны	12	9
7	в этом смысле	1	8
8	с другой стороны	5	8
9	то же самое	3	7
10	в этом отношении	3	7
11	и тот же	1	7
12	смысле этого слова	1	7
13	один и тот	1	7
14	в собственном смысле	1	7
15	друг с другом	3	7
16	в самом деле	5	6
17	одно и то	3	6
18	что в основе	1	6
19	и то же	3	6
20	и того же	2	5
21	можно было бы	3	5
22	так же как	2	5
23	не только не	4	5
24	одного и того	2	5
25	для того чтобы	19	5
26	таким образом что	3	4
27	мы видим таким	1	4
28	и той же	2	4
29	же как и	1	4
30	на первый план	2	4
31	с этой точки	1	4
32	и то что	3	4
33	одной и той	2	4
34	этой точки зрения	1	4
35	видим таким образом	1	4
36	на то что	16	4
37	состоит в том	2	3
38	бы сказать что	2	3
39	в этом случае	2	3
40	вместе с тем	3	3
41	с тем что	3	3
42	с таким образом	2	3
43	одним и тем	3	3
44	и тем же	3	3
45	по сравнению с	4	3
46	то обстоятельство что	1	3
47	о том что	6	3
48	речь идет о	1	3
49	в том виде	1	2
50	и что в	3	2
51	в следующем виде	1	2
52	оно может быть	1	2
53	но так как	1	2
54	как это мы	1	2
55	было бы назвать	1	2
56	одной стороны и	1	2
57	именно то что	4	2
58	в отличие от	2	2
59	согласно этой теории	1	2
60	с двух сторон	1	2
61	мы видим в	2	2
62	а с другой	4	2
63	тем что мы	1	2
64	на этом вопросе	1	2
65	в данном случае	2	2
66	в противоречие с	1	2
67	в том чтобы	2	2
68	мы видим что	3	2
69	но вместе с	1	2
70	не могут быть	1	2
71	в целом ряде	1	2
72	в свою очередь	1	2
73	другой стороны мы	1	2
74	и в результате	2	2
75	мы видели что	1	2
76	на всем протяжении	1	2
77	в том смысле	1	2
78	могли бы сказать	2	2
79	и только в	1	2
80	мы будем иметь	1	1
81	том что в	1	1
82	на том что	1	1
83	не в состоянии	3	1
84	что иное как	2	1
85	с объективной точки	1	1
86	это не может	1	1
87	одному тому что	1	1
88	что в этом	6	1
89	увидим что они	1	1
90	на целый ряд	1	1
91	по одному тому	1	1
92	так как это	3	1
93	по этому вопросу	1	1
94	потому что в	2	1
95	мы приводили выше	1	1
96	чуть ли не	1	1
97	мы никогда не	2	1
98	показывает что в	2	1
99	это означает что	1	1
100	равно как и	1	1
101	на самом деле	2	1
102	он может быть	1	1
103	самом деле если	2	1
104	между собой в	1	1
105	сказать что на	1	1
106	и во многих	1	1
107	принять во внимание	2	1
108	что с точки	1	1
109	в зависимости от	6	1
110	на задний план	1	1
111	того что мы	1	1
112	что он не	1	1
113	по тому же	1	1
114	котором мы говорили	2	1
115	таким образом все	2	1
116	вместо того чтобы	1	1
117	до сих пор	5	1
118	в себе два	1	1
119	совершенно ясно что	5	1
120	на деле и	1	1
121	заключает в себе	4	1
122	в правильности этого	1	1
123	указанием на то	1	1
124	но во всяком	1	1
125	действительно по своему	1	1
126	как если бы	1	1
127	том виде как	1	1
128	в том случае	1	1
129	и в частности	1	1
130	к тому что	6	1
131	если мы возьмем	1	1
132	о том насколько	1	1
133	то время как	1	1
134	совершенно понятно что	1	1
135	том что мы	2	1
136	нечто такое что	2	1
137	что оно может	1	1
138	мы имеем с	1	1
139	имеет еще и	1	1
140	если бы мы	2	1
141	не только в	2	1
142	лежит в основе	1	1
143	в конце концов	2	1
144	с другом мы	1	1
145	так как они	1	1
146	как один из	1	1
147	и при этом	1	1
148	не только то	1	1
149	мы имеем дело	1	1
150	во внимание что	1	1
151	и как бы	4	1
152	благодаря тому что	1	1
153	имеем дело с	1	1
154	объективной точки зрения	1	1
155	указывает на то	2	1
156	он говорит что	2	1
157	мы говорили выше	2	1
158	мы сейчас увидим	2	1
159	друг к другу	4	1
160	собственном смысле слова	1	1
161	в сущности говоря	8	1
162	сказать что и	1	1
163	то что эти	1	1
164	что именно они	1	1
165	о котором мы	3	1
166	так же невозможно	1	1
167	как бы в	2	1
168	когда мы говорим	1	1
169	мы уже приводили	1	1
170	не может быть	2	1
171	остановиться на этом	1	1
172	едва ли не	1	1
173	шаг за шагом	1	1
174	по себе не	2	1
175	противоречие с собственной	1	1
176	и таким образом	2	1
177	которое заключается в	1	1
178	в то время	1	1
179	только то что	1	1
180	по отношению к	1	1
181	в русском языке	1	1
182	на место прежнего	1	1
183	то что в	2	1
184	уже в первой	1	1
185	имело своей задачей	1	1
186	ничего не может	2	1
187	целый ряд чрезвычайно	1	1
188	само по себе	2	1
189	означает что в	1	1
190	что если мы	1	1
191	ничего общего с	1	1
192	ту же самую	2	1
193	с самого начала	3	1
194	вопрос о том	2	1
195	нам думается что	2	1
196	что обе эти	1	1
197	того существует ли	1	1
198	мы знаем что	2	1
199	можно сказать что	2	1
200	совершенно прав когда	2	1
201	если принять во	1	1
202	и что оно	1	1
203	что эта теория	1	1
204	и приводит к	1	1
205	друг от друга	2	1
206	не заключается в	1	1
207	после того как	1	1
208	если мы рассмотрим	1	1
209	все же не	1	1
210	в каком отношении	2	1
211	не что иное	2	1
212	и что он	1	1
213	мы уже указывали	1	1
214	том что он	1	1
215	но как только	1	1
216	доказательство того что	1	1
217	мы увидим что	6	1
218	для этого необходимо	2	1
219	она находится в	1	1
220	же самую мысль	1	1
221	себе два противоположных	1	1
222	тот факт что	4	1
