N	2gram	Bakhtin_Pr_3	OGranits
1	и в	34	13
2	и его	16	12
3	прежде всего	15	9
4	может быть	19	8
5	не может	19	8
6	и не	29	8
7	в его	22	7
8	и их	1	7
9	и пр	1	7
10	точки зрения	8	7
11	только в	6	6
12	как бы	27	6
13	не только	10	6
14	то что	11	6
15	мы должны	5	6
16	таким образом	5	6
17	все же	7	5
18	и наконец	5	5
19	но ведь	1	5
20	с точки	4	5
21	в процессе	1	5
22	хотя бы	5	5
23	еще и	1	4
24	на фоне	1	4
25	но в	16	4
26	человеческого голоса	1	4
27	мы можем	1	4
28	то же	14	4
29	лишь в	5	4
30	в своей	3	4
31	было бы	2	4
32	все это	16	4
33	не является	2	4
34	вполне понятно	2	4
35	в каждом	3	4
36	и то	3	3
37	в ее	3	3
38	самом деле	13	3
39	в пределах	6	3
40	так и	6	3
41	понятно что	2	3
42	говорить о	3	3
43	в их	1	3
44	по отношению	5	3
45	за пределы	2	3
46	с этим	2	3
47	в которой	2	3
48	ни один	1	3
49	в себе	6	3
50	к одному	3	3
51	не как	3	3
52	в одном	5	3
53	так как	4	3
54	одно и	1	3
55	здесь мы	1	3
56	но и	12	3
57	слово в	2	3
58	как и	18	3
59	я хочу	2	3
60	что же	8	3
61	не в	9	3
62	да и	4	3
63	но для	3	3
64	и для	8	3
65	никогда не	8	3
66	и все	19	3
67	отношению к	6	3
68	не столько	1	3
69	что в	7	3
70	для себя	6	2
71	ни одно	1	2
72	данном случае	1	2
73	зависимости от	1	2
74	в произведении	1	2
75	и может	1	2
76	роль в	1	2
77	и этот	2	2
78	конечно в	2	2
79	мы уже	6	2
80	те же	2	2
81	мог бы	2	2
82	если бы	4	2
83	с самого	8	2
84	и должно	2	2
85	себе что	1	2
86	в ней	3	2
87	в чем	5	2
88	между тем	3	2
89	лишь путем	1	2
90	в общем	4	2
91	нуждается в	3	2
92	во всей	1	2
93	что они	6	2
94	наконец в	3	2
95	чем же	1	2
96	материалом для	2	2
97	как в	4	2
98	в данном	1	2
99	в этом	16	2
100	но так	3	2
101	в полном	1	2
102	в том	3	2
103	тот же	2	2
104	с ними	6	2
105	и отчасти	1	2
106	в этот	2	2
107	в интонации	1	2
108	в целом	5	2
109	все эти	4	2
110	с одной	1	2
111	уже в	3	2
112	кажется что	2	2
113	иным как	1	2
114	виноградов в	1	2
115	в нем	19	2
116	при этом	4	2
117	для него	13	2
118	в другом	8	2
119	вовсе не	11	2
120	тем что	4	2
121	в них	2	2
122	и внутренняя	1	2
123	с другой	4	2
124	всей своей	2	2
125	а как	2	2
126	в самом	8	2
127	входит в	2	2
128	того или	2	2
129	может стать	1	2
130	не чем	1	2
131	он только	3	2
132	более того	2	2
133	а не	9	2
134	другой стороны	3	2
135	там где	7	2
136	не мог	5	2
137	несмотря на	1	2
138	том что	3	2
139	в г	1	2
140	и при	1	2
141	и ее	2	2
142	так же	8	2
143	в отношении	9	2
144	своего рода	2	2
145	с этой	2	2
146	слова и	10	2
147	художественное произведение	1	2
148	не менее	3	2
149	самого начала	8	2
150	сознания и	3	2
151	от всех	1	2
152	бы в	3	2
153	во всем	3	2
154	а в	5	2
155	еще в	3	2
156	нет ничего	1	2
157	героя и	9	2
158	подойти и	1	2
159	и к	12	2
160	элемента в	1	2
161	чем иным	1	2
162	в своих	1	2
163	каждое слово	2	2
164	к тому	5	2
165	ну что	1	1
166	и это	4	1
167	можно говорить	1	1
168	оно может	1	1
169	одним из	1	1
170	также и	1	1
171	зависимость от	2	1
172	человека и	1	1
173	функции в	3	1
174	себя как	2	1
175	привлекла внимание	1	1
176	в виду	3	1
177	того же	2	1
178	на нем	1	1
179	в некоторых	1	1
180	на основе	1	1
181	в напряженном	1	1
182	это и	2	1
183	жили и	1	1
184	но тем	1	1
185	мышкин и	1	1
186	преломления в	1	1
187	нам кажется	1	1
188	и сводится	1	1
189	вовлекаются в	1	1
190	здесь и	2	1
191	делая его	1	1
192	в себя	1	1
193	ту же	1	1
194	и до	1	1
195	в нашу	1	1
196	можно лишь	2	1
197	ведь и	3	1
198	речи которая	1	1
199	не дано	1	1
200	можно было	1	1
201	в несколько	1	1
202	особенно в	2	1
203	или на	1	1
