N	3gram	Trubetskoy_1	SlovoVZh
1	по отношению к	9	11
2	не может быть	3	7
3	дело в том	1	4
4	в том что	15	4
5	и не может	1	3
6	тем не менее	4	3
7	бы то ни	2	3
8	может быть и	4	3
9	этой точки зрения	1	3
10	до сих пор	8	3
11	то ни было	2	3
12	и то же	1	2
13	это не так	1	2
14	на самом деле	7	2
15	с другой стороны	4	2
16	то же самое	1	2
17	жизни если бы	1	2
18	с точки зрения	8	2
19	в зависимости от	1	2
20	одно и то	1	2
21	в данном случае	3	2
22	в настоящее время	2	2
23	с одной стороны	2	2
24	но все же	2	1
25	таким образом для	1	1
26	а между тем	8	1
27	и тому же	1	1
28	они должны быть	2	1
29	с большим трудом	1	1
30	о том кто	1	1
31	в нашем случае	2	1
32	все же не	3	1
33	само собою разумеющееся	1	1
34	то время как	1	1
35	более или менее	7	1
36	друг к другу	2	1
37	во всяком случае	2	1
38	мы уже сказали	1	1
39	уже и сейчас	1	1
40	в самом деле	5	1
41	еще не вполне	1	1
42	что до сих	1	1
43	между тем как	1	1
44	не находят себе	1	1
45	то что для	1	1
46	и таким образом	1	1
47	в то время	2	1
48	сих пор не	2	1
49	деле это не	1	1
50	таким образом мы	1	1
51	но для этого	1	1
52	то что мы	1	1
53	в свою очередь	2	1
54	и проч все	1	1
55	о том что	4	1
56	только то что	2	1
57	ничего общего с	2	1
58	с самого начала	1	1
59	совершенно ясно что	1	1
60	можно было бы	1	1
61	то же время	2	1
62	в лучшем случае	1	1
63	проч все эти	1	1
64	по крайней мере	1	1
65	в то же	2	1
66	как нечто само	1	1
67	в том и	2	1
68	так и к	1	1
69	и в нем	1	1
70	нечто само собою	1	1
71	с такою же	1	1
72	том что все	2	1
73	так же как	3	1
74	того что именно	1	1
75	как и в	2	1
76	к тому же	5	1
77	одному и тому	1	1
78	в высшей степени	1	1
79	в том же	3	1
