N	3gram	Propp_Isto_2	slovoVRo
1	не может быть	2	15
2	в отличие от	1	12
3	в этом случае	5	6
4	с одной стороны	3	5
5	по отношению к	3	4
6	в зависимости от	1	4
7	но все же	4	4
8	в том что	5	4
9	и связанные с	1	2
10	до сих пор	6	2
11	не только в	4	2
12	в связи с	4	2
13	и т д	18	2
14	в этой роли	1	1
15	и может быть	2	1
16	иметь в виду	2	1
17	том что в	1	1
18	как один из	1	1
19	в этих случаях	8	1
20	для наших целей	2	1
21	том что он	1	1
22	дело не только	1	1
23	и не только	1	1
24	но и в	2	1
25	на то что	2	1
26	эти слова могут	1	1
27	со всех сторон	4	1
28	по себе а	1	1
29	слова в этих	1	1
30	и не могут	1	1
31	что он не	4	1
32	но и со	1	1
33	параллельно с этим	1	1
34	связи с изучением	1	1
35	с другой стороны	2	1
36	мы видели что	1	1
37	тем не менее	1	1
38	о том что	2	1
39	во всех этих	2	1
40	не только самый	1	1
41	вовсе не в	1	1
42	мы не можем	1	1
43	себя и в	1	1
44	до конца и	1	1
45	мы можем сказать	1	1
46	с самого начала	2	1
47	не только не	1	1
48	в другом случае	1	1
49	это как бы	1	1
50	и в нем	1	1
51	всех этих случаях	2	1
52	всего этого не	1	1
53	мы увидим что	3	1
54	влечет за собой	1	1
