N	2gram	Losev_Dial_1	EvropaiE
1	и в	18	37
2	в отношении	5	32
3	точки зрения	17	23
4	что в	13	21
5	не только	13	18
6	с точки	12	17
7	в то	6	16
8	то же	10	15
9	хотя бы	6	15
10	отношении к	3	15
11	в своем	5	14
12	но в	6	14
13	же время	4	14
14	в качестве	2	14
15	но и	7	14
16	и не	30	14
17	в этом	12	12
18	в их	3	11
19	в том	9	11
20	так и	9	10
21	отнюдь не	9	9
22	в себе	11	9
23	только в	3	9
24	прежде всего	10	9
25	не может	12	9
26	так же	4	9
27	т е	25	9
28	в ее	1	8
29	думать что	3	8
30	было бы	12	8
31	в своей	2	8
32	к тому	4	8
33	между тем	1	8
34	с одной	2	8
35	одной стороны	2	8
36	также и	7	7
37	а также	1	7
38	того что	2	7
39	так как	11	7
40	с другой	6	7
41	как и	2	7
42	между прочим	1	7
43	может быть	17	6
44	во всех	1	6
45	стороны и	3	6
46	на то	5	6
47	то есть	1	6
48	том что	9	6
49	того чтобы	1	6
50	вслед за	2	6
51	вовсе не	7	6
52	для того	2	6
53	и даже	13	6
54	как бы	11	6
55	с этой	2	6
56	то что	13	6
57	же как	2	5
58	столь же	1	5
59	но не	4	5
60	не в	6	5
61	и по	1	5
62	но если	5	5
63	тем самым	1	5
64	этих областей	1	5
65	как мы	4	5
66	в виде	2	5
67	со стороны	2	5
68	от этого	3	5
69	в частности	2	5
70	и потому	3	5
71	в той	1	5
72	этой точки	2	5
73	то в	7	4
74	мы не	1	4
75	вопрос о	2	4
76	в полной	2	4
77	но даже	1	4
78	в ней	3	4
79	в самом	3	4
80	того или	1	4
81	несмотря на	10	4
82	даже в	3	4
83	не имеет	15	4
84	и притом	4	4
85	к ней	4	4
86	той или	7	4
87	по себе	25	4
88	можно сказать	6	4
89	тем более	2	4
90	именно в	2	4
91	ни было	2	4
92	само по	5	4
93	или иной	3	4
94	как это	4	4
95	для нас	1	4
96	сказать что	10	4
97	в каком	8	4
98	бы и	2	3
99	на себя	1	3
100	как в	2	3
101	когда он	1	3
102	и к	1	3
103	себе не	5	3
104	вообще не	1	3
105	мы можем	4	3
106	не будет	1	3
107	не дает	1	3
108	и мы	5	3
109	этом смысле	3	3
110	и тем	1	3
111	в них	3	3
112	в которых	2	3
113	можно ли	1	3
114	дело в	1	3
115	никогда не	9	3
116	потому что	14	3
117	уже и	3	3
118	в будущем	1	3
119	ли это	3	3
120	с другом	1	3
121	бы ни	1	3
122	тем в	1	3
123	можно было	5	3
124	приближается к	1	3
125	о том	4	3
126	место в	1	3
127	что и	3	3
128	и только	1	3
129	в стороне	1	3
130	всяком случае	2	3
131	высшее и	1	3
132	из них	2	3
133	себе в	1	3
134	к ним	2	3
135	этом отношении	2	3
136	говорит о	5	3
137	связано с	1	3
138	там где	1	3
139	ни на	6	3
140	в данном	3	3
141	друг с	1	3
142	является ли	1	3
143	не является	3	3
144	известной степени	1	3
145	и для	2	3
146	и от	2	3
147	в результате	1	3
148	мира и	1	3
149	не более	1	3
150	жизни в	1	3
151	в таком	1	3
152	во всяком	4	3
153	и наиболее	1	2
154	и отчасти	1	2
155	и то	9	2
156	по преимуществу	1	2
157	что эти	1	2
158	должна быть	3	2
159	и этот	1	2
160	есть не	3	2
161	бороться с	2	2
162	что если	2	2
163	из того	2	2
164	которое в	2	2
165	не нужно	2	2
166	он сам	5	2
167	но как	2	2
168	точка зрения	2	2
169	в сторону	1	2
170	друг от	1	2
171	и чем	1	2
172	его на	1	2
173	с этим	2	2
174	помнить что	2	2
175	хотя и	4	2
176	и как	7	2
177	если брать	1	2
178	есть ли	1	2
179	что это	11	2
180	большей части	1	2
181	в этой	1	2
182	и если	1	2
183	главным образом	1	2
184	но именно	1	2
185	он не	3	2
186	на одну	1	2
187	и еще	3	2
188	в силу	1	2
189	таким образом	1	2
190	это значит	11	2
191	в мире	2	2
192	и с	5	2
193	заключается в	1	2
194	с другими	2	2
195	для них	1	2
196	далеко не	1	2
197	одна и	2	2
198	видим как	1	2
