N	3gram	Tiupa_Narr_1	Russkaja
1	друг с другом	1	14
2	то же время	3	10
3	в то же	3	10
4	с точки зрения	2	9
5	в том что	8	7
6	на самом деле	1	6
7	до сих пор	1	5
8	в последние дни	1	5
9	более или менее	2	4
10	бы то ни	3	4
11	к тому чтобы	1	4
12	не может быть	5	4
13	не может не	2	3
14	можно было бы	2	3
15	и то что	1	3
16	в данном случае	4	3
17	той или иной	4	3
18	точно так же	2	2
19	в вопросах веры	1	2
20	того или иного	2	2
21	о том что	6	2
22	и тем самым	3	2
23	друг от друга	1	2
24	с другом и	1	2
25	и того же	1	1
26	или хотя бы	1	1
27	никогда не было	1	1
28	принадлежат к одному	1	1
29	состоит в том	3	1
30	ему что он	1	1
31	прежде всего в	1	1
32	дело в том	1	1
33	в свою очередь	3	1
34	как бы не	1	1
35	по отношению к	6	1
36	одной из этих	1	1
37	в самом деле	1	1
38	в том числе	6	1
39	то же самое	1	1
40	в том же	1	1
41	видеть в этой	1	1
42	он не может	1	1
43	до известной степени	1	1
44	по отношению ко	1	1
45	только то что	1	1
46	в этом отношении	3	1
47	что не только	1	1
48	в его жизни	1	1
49	том числе и	4	1
50	перед нами не	2	1
51	тот или иной	1	1
52	но по существу	1	1
53	лишь постольку поскольку	1	1
54	по крайней мере	1	1
55	не подлежит сомнению	1	1
56	речь идет не	1	1
57	в значительной степени	2	1
58	же время в	1	1
59	в том чтобы	1	1
60	то ни было	3	1
61	и с точки	1	1
62	и как бы	1	1
63	к одному из	1	1
64	в связи с	2	1
65	так же как	2	1
66	что оно есть	1	1
67	его жизни и	1	1
68	тех или иных	1	1
69	он еще не	1	1
70	речь идет о	2	1
71	но все же	4	1
72	одного и того	1	1
73	тем более что	1	1
74	совершенно очевидно что	1	1
75	о себе самом	1	1
76	тем не менее	3	1
77	подлежит сомнению и	1	1
78	и прежде всего	1	1
79	на первый взгляд	2	1
80	к тому же	4	1
