N	2gram	Potebnia_M_3	NovoeSre
1	а не	15	17
2	и в	30	16
3	не может	6	16
4	совсем не	1	12
5	и не	15	11
6	и есть	3	10
7	что в	17	9
8	в том	32	8
9	жизни и	2	8
10	он не	4	8
11	в этом	10	7
12	к новому	1	7
13	может быть	28	7
14	не будет	3	7
15	как и	10	7
16	с его	1	6
17	не в	15	6
18	ни в	2	6
19	лишь в	1	6
20	но это	6	6
21	не знает	3	6
22	должен быть	1	5
23	в ней	8	5
24	не только	21	5
25	в жизни	1	5
26	все это	4	5
27	в нем	9	5
28	со всех	1	4
29	быть может	3	4
30	о том	2	4
31	всех сторон	1	4
32	и мы	2	4
33	перестает быть	4	4
34	в них	5	4
35	то что	18	4
36	это не	1	4
37	прежде всего	3	4
38	не было	4	4
39	должно быть	5	4
40	и потому	4	4
41	по своему	2	4
42	значит что	1	4
43	не менее	5	4
44	не имеет	6	4
45	и все	3	4
46	потому что	46	4
47	с другой	7	3
48	в ее	2	3
49	должна быть	1	3
50	вопрос о	1	3
51	человека и	5	3
52	еще не	5	3
53	во всех	1	3
54	за пределы	2	3
55	в истории	1	3
56	как в	10	3
57	конечно не	1	3
58	к ним	1	3
59	подобно тому	2	3
60	в мире	1	3
61	но и	19	3
62	это было	3	3
63	не есть	17	3
64	стремится к	1	3
65	не означает	1	3
66	с тем	7	3
67	в своей	2	3
68	перейти от	2	3
69	тому как	5	3
70	в прошлом	1	3
71	она не	2	3
72	что такое	2	3
73	не существует	3	3
74	жизни не	3	3
75	к ее	1	3
76	жизни в	1	3
77	к тому	7	3
78	сказать что	5	3
79	и это	4	2
80	должно стать	1	2
81	это и	2	2
82	время как	1	2
83	в нашу	1	2
84	так и	11	2
85	времени и	1	2
86	мы не	9	2
87	и с	2	2
88	для этого	1	2
89	но она	1	2
90	из глубины	1	2
91	и что	10	2
92	и на	3	2
93	быть в	1	2
94	должно было	2	2
95	но не	7	2
96	в новом	2	2
97	жизни все	1	2
98	с этим	6	2
99	помнить что	1	2
100	хотя и	1	2
101	но в	1	2
102	духа в	1	2
103	который в	1	2
104	в обществе	1	2
105	все эти	1	2
106	с одной	7	2
107	себя в	1	2
108	думать что	5	2
109	есть в	3	2
110	в себе	16	2
111	уже не	6	2
112	не могла	2	2
113	не к	4	2
114	том чтобы	2	2
115	у него	2	2
116	люди не	1	2
117	что она	3	2
118	что все	3	2
119	нет и	1	2
120	и даже	2	2
121	и т.п	1	2
122	в природе	2	2
123	к более	1	2
124	зависит от	6	2
125	и было	1	2
126	для чего	1	2
127	том что	18	2
128	вместе с	12	2
129	так же	3	2
130	место в	3	2
131	к содержанию	3	2
132	мысли и	2	2
133	одной стороны	3	2
134	другой стороны	4	2
135	если нет	1	2
136	равно как	1	2
