N	3gram	Vygotskiy__1	Mirosoze
1	не может быть	5	8
2	есть прежде всего	2	5
3	друг к другу	1	5
4	не способен к	1	4
5	для того чтобы	15	4
6	же как и	4	3
7	до сих пор	4	3
8	к тому что	3	3
9	так же как	5	3
10	от того что	2	3
11	в высшей степени	4	3
12	и в этом	1	3
13	и той же	2	2
14	потому что он	1	2
15	в свою противоположность	1	2
16	и никогда не	1	2
17	так как он	2	2
18	на этом пути	1	2
19	о том что	6	2
20	одной и той	2	2
21	по отношению к	7	2
22	как и в	1	2
23	в том что	15	2
24	том что в	2	1
25	а следовательно и	1	1
26	не нужна не	1	1
27	потому что в	1	1
28	показывает как в	1	1
29	всего потому что	1	1
30	вопрос о природе	2	1
31	было бы назвать	1	1
32	том что он	2	1
33	только тогда когда	2	1
34	с точки зрения	18	1
35	в своей книге	1	1
36	как и все	1	1
37	сам по себе	3	1
38	что он не	1	1
39	но и в	1	1
40	в себе и	1	1
41	в этом отношении	4	1
42	во всех своих	1	1
43	на то что	3	1
44	не могу согласиться	1	1
45	в резком противоречии	1	1
46	в значительной степени	2	1
47	сознания и в	1	1
48	которые могли бы	1	1
49	бы и не	1	1
50	но и это	1	1
51	еще в высшей	1	1
52	смысле этого слова	3	1
53	этим сказать что	1	1
54	по сравнению с	5	1
55	но и его	1	1
56	есть не только	1	1
57	что у него	1	1
58	я не могу	2	1
59	не сама по	1	1
60	не в силах	1	1
61	к человеку как	1	1
62	того чтобы сделать	1	1
63	с самим собой	1	1
64	между тем в	1	1
65	хотя бы в	1	1
66	и не то	1	1
67	той или иной	1	1
68	которые не имеют	1	1
69	сама по себе	1	1
70	на самом деле	1	1
71	то же что	1	1
72	она не может	1	1
73	приводит нас к	1	1
74	в конце концов	1	1
75	по своей природе	2	1
