N	4gram	Bakhtin_sl_2	Formalny
1	в то же время	4	5
2	бы она ни была	1	3
3	и в то же	1	3
4	и не может быть	1	2
5	в самом языке как	1	2
6	как к своему пределу	1	1
7	то же время и	1	1
8	и т п в	2	1
9	по самому своему существу	1	1
10	ни в чем не	2	1
11	во всей ее конкретности	1	1
12	различия между этими двумя	1	1
13	в этом отношении он	1	1
14	и т п все	3	1
15	не для того чтобы	1	1
16	все более и более	1	1
17	языка не может быть	2	1
18	но в то же	3	1
19	в зависимости от характера	2	1
20	и т п слово	1	1
21	менее всего может быть	1	1
22	в значительной степени и	1	1
23	не может быть конечно	1	1
