N	2gram	Voloshinov_1	Retstnzi
1	не может	12	4
2	и в	38	3
3	один из	4	2
4	если в	1	2
5	социального общения	14	2
6	общения и	4	2
7	нет и	3	1
8	не смог	1	1
9	понимания этого	1	1
10	в особенности	1	1
11	которые определяют	1	1
12	себе все	2	1
13	бессилия и	1	1
14	и событий	1	1
15	лучше всего	1	1
16	и не	14	1
17	тому что	5	1
18	не только	27	1
19	ни один	2	1
20	художественного произведения	1	1
21	и тому	3	1
22	связи с	3	1
23	бы на	1	1
24	самых первых	1	1
25	его классовых	1	1
26	точки зрения	10	1
27	во второй	3	1
28	сил которые	1	1
29	языка как	1	1
30	но и	13	1
31	организующих сил	1	1
32	не менее	1	1
33	с другими	2	1
34	не из	1	1
35	именно с	1	1
36	и предварительно	1	1
37	теми или	1	1
38	в ней	8	1
39	может и	1	1
40	всякого высказывания	3	1
41	с теми	1	1
42	на месте	1	1
43	о художественной	1	1
44	в то	9	1
45	с точки	5	1
46	вообще всякого	1	1
47	произведения но	1	1
48	и форму	2	1
49	и на	6	1
50	этого общения	1	1
51	для него	3	1
52	в конкретном	1	1
53	мы видим	3	1
54	может не	1	1
55	и больше	2	1
56	ситуации и	9	1
57	ведь жанр	1	1
58	к тому	4	1
59	речь и	4	1
60	а не	6	1
61	может быть	13	1
62	при анализе	1	1
63	вполне понятно	1	1
64	несмотря на	2	1
65	и аудитории	3	1
66	социально-иерархического взаимоотношения	1	1
67	в его	6	1
68	художественная речь	1	1
69	он в	1	1
70	или иными	1	1
71	же время	7	1
72	то же	14	1
73	и все	4	1
74	из этих	1	1
75	нуждаются в	2	1
76	язык как	1	1
77	аудитории и	4	1
78	если бы	4	1
79	бы в	5	1
