N	3gram	Berdyaev_V_1	Otkroven
1	о великом инквизиторе	4	6
2	и великий инквизитор	1	3
3	в легенде о	1	3
4	в нем нет	2	3
5	легенде о великом	1	3
6	и в этом	1	2
7	в этом мире	1	2
8	человека в его	1	2
9	никогда не было	1	2
10	легенда о великом	2	2
11	поступил как бы	2	2
12	сделать людей счастливыми	1	2
13	но и в	2	2
14	не могут быть	1	2
15	взял все что	1	2
16	и никогда не	1	2
17	великий инквизитор говорит	3	2
18	силах вместить столь	1	1
19	хочешь идти в	1	1
20	что есть необычайного	3	1
21	неужто же и	1	1
22	для человеческого общества	1	1
23	что опять-таки не	1	1
24	порочного и вечно	1	1
25	по сравнению с	1	1
26	мы не с	1	1
27	гордостью указать на	1	1
28	которого боятся они	1	1
29	они и страшатся	1	1
30	для всякого вместе	1	1
31	свободы которого они	1	1
32	не было для	1	1
33	в аристократизме в	2	1
34	и страшатся ибо	1	1
35	людей ты увеличил	1	1
36	для человека и	1	1
37	ибо конечно они	1	1
38	то богов а	1	1
39	свободой людей ты	1	1
40	людях слишком высоко	1	1
41	великолепной жертвы их	1	1
42	не захотел поработить	1	1
43	чтобы сделать людей	1	1
44	часто тогда говорил	1	1
45	он за тобою	1	1
46	могут быть счастливыми?	1	1
47	остальные слабые люди	1	1
48	тысяч да и	1	1
49	в этих словах	1	1
50	они побороли свободу	1	1
51	нет нам дороги	2	1
52	людского племени с	1	1
53	ее и обременил	1	1
54	не по силам	1	1
55	ты можешь с	1	1
56	силам людей а	1	1
57	так часто тогда	1	1
58	дороги и слабые	1	1
59	остальные? и чем	1	1
60	опять-таки не захотел	1	1
61	вот наша тайна	1	1
62	а остальные? и	1	1
63	не сошел с	1	1
64	обвиняет христа в	1	1
65	и тогда уже	1	1
66	ним вот наша	1	1
67	всего только несколько	1	1
68	ее мучениями душевное	1	1
69	веры тебе была	1	1
70	свободной веры а	1	1
71	был устроен бунтовщиком	1	1
72	или тебе дороги	1	1
73	своим что наконец-то	1	1
74	свободной любви свободной	1	1
