N	2gram	Vinokur_Vv_1	Marksizm
1	точки зрения	7	34
2	философии языка	1	29
3	может быть	24	26
4	и не	13	26
5	не может	13	24
6	с точки	2	20
7	и в	27	19
8	и его	5	19
9	языка как	2	17
10	таким образом	19	17
11	в этом	34	16
12	как бы	5	15
13	языка в	4	14
14	как мы	9	13
15	языка и	12	13
16	прежде всего	8	13
17	как и	5	12
18	так и	1	11
19	связи с	3	11
20	и для	4	11
21	самом деле	6	10
22	в нем	13	10
23	ни было	1	10
24	и т.п	1	10
25	в самом	12	10
26	лишь в	1	9
27	только в	13	9
28	для него	1	9
29	в результате	3	9
30	бы то	1	8
31	все же	8	8
32	не только	21	8
33	при этом	3	8
34	о языке	3	8
35	то ни	1	8
36	до сих	5	8
37	но и	5	8
38	сих пор	5	8
39	то что	17	8
40	язык как	3	7
41	во всех	2	7
42	в ее	11	7
43	но в	10	7
44	психологии и	1	7
45	все эти	3	7
46	и те	2	7
47	то же	8	7
48	в каждом	4	7
49	слова как	2	7
50	науки об	2	7
51	а не	3	7
52	в связи	2	7
53	так же	3	7
54	кроме того	1	6
55	так сказать	1	6
56	мы не	2	6
57	и того	2	6
58	ничего не	2	6
59	настоящее время	1	6
60	в его	10	6
61	на почве	5	6
62	в том	31	6
63	с помощью	1	6
64	в настоящее	1	6
65	другой стороны	5	6
66	того же	3	6
67	связи между	4	5
68	отличие от	3	5
69	входит в	2	5
70	языка для	1	5
71	рядом с	2	5
72	одного и	2	5
73	в отличие	3	5
74	не в	8	5
75	того чтобы	21	5
76	как ее	1	5
77	и все	1	5
78	этот вопрос	4	5
79	ясно что	9	5
80	в начале	3	5
81	в конце	3	5
82	вовсе не	6	5
83	с другой	8	5
84	именно в	8	5
85	до конца	3	5
86	мы знаем	1	5
87	хотя бы	5	5
88	к этому	3	5
89	во всяком	3	5
90	вопрос о	8	4
91	и на	3	4
92	науки о	9	4
93	нет и	1	4
94	чем же	3	4
95	как в	1	4
96	так называемая	2	4
97	выражение в	1	4
98	и тот	1	4
99	лишь с	1	4
100	было бы	5	4
101	не столько	2	4
102	мысли и	2	4
103	не менее	8	4
104	по себе	9	4
