N	2gram	Losev_Vesc_1	Hudozhes
1	и в	21	28
2	том что	8	19
3	и не	29	18
4	в ее	7	18
5	в том	8	15
6	а не	19	14
7	не в	5	13
8	в этом	4	13
9	о том	6	12
10	как и	8	11
11	в его	2	11
12	при этом	1	11
13	не только	36	11
14	перед нами	2	11
15	уже не	9	10
16	у нее	1	10
17	не случайно	2	10
18	в себе	14	9
19	но и	18	9
20	так и	3	8
21	в жизни	3	8
22	о чем	1	8
23	себя в	10	8
24	может быть	16	8
25	что он	1	8
26	тогда как	1	7
27	и все	5	7
28	с ним	8	7
29	как это	2	7
30	об этом	3	7
31	жизни в	1	7
32	к тому	3	7
33	я не	4	7
34	в частности	1	7
35	что она	15	7
36	и с	8	6
37	можно сказать	6	6
38	жизни и	2	6
39	для себя	5	6
40	в котором	3	6
41	не было	1	6
42	человеческой жизни	1	6
43	я и	6	6
44	в своей	5	6
45	а в	4	6
46	сводится к	2	6
47	это не	5	6
48	то что	27	6
49	в то	3	6
50	тем что	2	6
51	то же	6	6
52	если бы	5	6
53	не могла	1	5
54	не менее	3	5
55	что это	13	5
56	и другие	1	5
57	у него	2	5
58	одно из	1	5
59	что в	9	5
60	для него	4	5
61	с ее	6	5
62	в своем	6	5
63	и его	2	5
64	да и	3	5
65	она не	4	5
66	ничего не	3	5
67	в этой	3	5
68	в самом	9	5
69	наряду с	1	5
70	с его	1	5
71	никогда не	2	5
72	только на	3	5
73	как бы	12	5
74	говорит о	1	4
75	что они	6	4
76	не может	17	4
77	у вас	1	4
78	как раз	9	4
79	то и	4	4
80	того чтобы	3	4
81	бы и	5	4
82	то в	4	4
83	но не	5	4
84	тому что	2	4
85	превращается в	1	4
86	и сама	3	4
87	и т	19	4
88	в качестве	1	4
89	для нее	2	4
90	и о	3	4
91	для того	2	4
92	тем не	3	4
93	только в	14	4
94	тому как	4	4
95	что и	3	4
96	подобно тому	4	4
97	и уже	1	4
98	как будто	1	4
99	человека в	1	4
100	на ее	3	3
101	со своим	7	3
102	для нас	2	3
103	еще не	8	3
104	есть и	4	3
105	с нею	18	3
106	или в	2	3
107	так же	1	3
108	прежде всего	9	3
109	и ее	18	3
110	личности в	1	3
111	к нему	1	3
112	с другими	8	3
113	что на	2	3
114	в нем	2	3
115	и он	1	3
116	в одном	2	3
117	ли в	3	3
118	с одной	3	3
119	раз в	1	3
120	в этих	1	3
121	и ему	1	3
122	к себе	4	3
123	все время	1	3
124	человека и	1	3
125	у всех	3	3
126	что у	5	3
127	не все	1	3
128	как только	4	3
129	на себя	1	3
130	едва ли	1	3
131	что все	2	3
132	со стороны	5	3
133	по поводу	1	3
134	с ними	3	3
135	одной стороны	3	3
136	была бы	2	3
137	внимание на	1	3
138	мы уже	3	3
139	по преимуществу	2	3
140	будто бы	1	3
141	перед глазами	1	3
142	чтобы не	1	3
143	ни о	1	3
144	о них	1	3
145	в это	1	3
146	несмотря на	1	3
147	с другой	6	3
148	все это	5	3
149	самом деле	4	3
150	в ней	12	3
151	было бы	14	3
152	и это	14	3
153	теперь же	2	3
154	а с	3	3
155	можно было	2	3
156	же самое	1	3
157	все что	1	3
158	о которых	1	2
159	ибо в	1	2
160	а вот	3	2
161	приводит к	1	2
162	все же	4	2
163	когда же	1	2
164	данном случае	2	2
165	в другом	2	2
166	говорить о	6	2
167	и а	2	2
168	точки зрения	5	2
169	в двух	1	2
170	сам он	1	2
171	могла бы	3	2
172	этот смысл	1	2
173	не будет	12	2
174	ее по	1	2
175	ее на	1	2
176	и для	9	2
177	только когда	1	2
178	т д	19	2
179	себе в	3	2
180	нет я	1	2
181	она может	4	2
182	себя с	5	2
183	вовсе не	10	2
184	гораздо более	1	2
185	в виде	1	2
186	т е	55	2
187	с самим	4	2
188	сих пор	1	2
189	его и	2	2
190	хотя бы	6	2
191	тем самым	1	2
192	до сих	1	2
193	дело не	2	2
194	та же	1	2
195	если в	1	2
196	что я	24	2
197	и внешней	1	2
198	чего не	2	2
199	того или	1	2
200	жизни так	1	2
