N	3gram	Losev_Dial_3	VrazhdaK
1	то же время	1	4
2	в то же	1	4
3	в связи с	1	3
4	с точки зрения	14	2
5	и что в	1	2
6	не может быть	6	2
7	в том что	3	2
8	а следовательно и	1	1
9	на первый план	4	1
10	до сих пор	1	1
11	и не может	1	1
12	он и не	1	1
13	в этом отношении	1	1
14	говорит о себе	1	1
15	– это и	1	1
16	точно так же	2	1
17	с тех пор	2	1
18	по крайней мере	5	1
19	в другой раз	1	1
20	нам не помогут	1	1
21	и в то	1	1
22	одно и то	2	1
23	так же как	2	1
24	и что он	1	1
25	и то же	2	1
26	и в этом	2	1
27	или по крайней	1	1
28	каждый из них	1	1
29	во всяком случае	2	1
30	что у него	1	1
31	с другой стороны	2	1
32	и в котором	1	1
33	связи с этим	1	1
34	тем не менее	10	1
35	в то время	4	1
36	это и есть	2	1
37	что в ней	1	1
38	о том что	5	1
39	не забудем что	1	1
40	и никогда не	1	1
41	не только не	7	1
42	к нему с	1	1
43	на то что	3	1
44	это не просто	1	1
45	имеется в виду	3	1
46	что для нас	1	1
47	в глубине души	1	1
48	речь идет о	1	1
