N	2gram	Propp_Isto_7	Formalny
1	и в	24	38
2	в этом	12	27
3	т е	16	26
4	может быть	14	23
5	и его	3	21
6	и пр	1	21
7	таким образом	7	20
8	и не	4	20
9	в самом	2	16
10	не в	9	15
11	прежде всего	2	15
12	и т	17	14
13	не может	14	14
14	в нем	6	13
15	связи с	3	13
16	но и	11	13
17	с его	3	11
18	с тем	1	11
19	в том	7	11
20	вовсе не	4	11
21	в его	1	10
22	в связи	2	10
23	не только	21	9
24	при этом	4	9
25	и с	1	9
26	как и	6	9
27	т п	1	9
28	самом деле	1	8
29	все же	9	8
30	точки зрения	4	8
31	так и	5	8
32	что и	8	8
33	тем что	6	8
34	как мы	3	7
35	по себе	1	7
36	в своей	1	7
37	с точки	1	7
38	уже не	2	7
39	в других	4	7
40	не могут	2	7
41	по существу	4	7
42	что в	13	7
43	и ее	2	6
44	в ней	1	6
45	все эти	2	6
46	в этой	1	6
47	то же	8	6
48	было бы	2	6
49	он не	6	6
50	в их	4	6
51	для понимания	1	6
52	только в	6	6
53	то что	7	6
54	вместе с	7	6
55	а не	8	6
56	хотя бы	1	6
57	а в	10	6
58	должна быть	1	5
59	в первый	1	5
60	во всех	7	5
61	т д	16	5
62	в то	2	5
63	в основе	2	5
64	если бы	1	5
65	сводится к	1	5
66	и только	1	5
67	что он	21	5
68	именно в	1	5
69	с этим	2	5
70	что же	1	5
71	еще более	1	5
72	здесь и	2	4
73	что они	3	4
74	независимо от	1	4
75	как в	12	4
76	и наконец	3	4
77	и к	1	4
78	его от	1	4
79	как они	1	4
80	входит в	1	4
81	мы видели	7	4
82	не столько	3	4
83	ничего не	5	4
84	к тому	1	4
85	здесь не	2	4
86	в дальнейшем	3	4
87	каждый элемент	1	4
88	но в	5	4
89	в большинстве	1	4
90	что не	2	4
91	из них	2	4
92	так как	8	4
93	не о	1	4
94	даже и	1	4
95	в особенности	2	4
96	и даже	3	4
97	в некоторых	1	4
98	другой стороны	8	4
99	там где	5	4
100	вот как	1	4
101	как бы	4	4
102	оно не	1	4
103	к этому	2	4
104	они не	2	4
105	например в	3	3
106	же как	4	3
107	в зависимости	1	3
108	а как	1	3
109	из всего	2	3
110	мы не	4	3
111	то это	5	3
112	зависимости от	1	3
113	и на	2	3
114	не входит	1	3
115	если в	2	3
116	хотя и	3	3
117	и как	1	3
118	от этого	1	3
119	не приходится	1	3
120	что это	6	3
121	в целом	1	3
122	из этих	3	3
123	только на	2	3
124	но именно	1	3
125	всех этих	6	3
126	и может	1	3
127	его в	3	3
128	в ином	12	3
129	такой же	1	3
130	задачи и	3	3
131	но все	4	3
132	его с	1	3
133	можно и	1	3
134	так в	4	3
135	все дело	2	3
136	и здесь	12	3
137	должно было	2	3
138	к нему	7	3
139	как ее	1	3
140	того что	6	3
141	в какой	1	3
142	то и	4	3
143	большинстве случаев	1	3
144	мы знаем	2	3
145	и их	1	3
146	для того	1	3
147	с другой	9	3
148	а о	1	3
149	и др	2	3
150	все это	8	3
151	или в	8	3
152	и все	6	3
153	жизни и	1	3
154	формы и	1	2
155	и то	1	2
156	между двумя	1	2
157	к другому	1	2
158	его не	2	2
159	он был	1	2
160	совсем не	1	2
161	но не	6	2
162	а только	1	2
163	очевидно что	1	2
164	отношение к	5	2
165	он пишет	1	2
166	в одной	2	2
167	что именно	1	2
168	перед нами	2	2
169	кроме того	3	2
170	приема в	3	2
171	со своей	2	2
172	та же	2	2
173	в которой	2	2
174	но отсюда	1	2
175	уже в	3	2
176	он в	2	2
177	ее как	2	2
178	в поэтике	1	2
179	состоит в	1	2
180	и более	1	2
181	из него	1	2
182	и попытка	1	2
183	и по	3	2
184	то ни	1	2
185	они должны	2	2
186	как особый	1	2
187	для нее	2	2
188	от одного	1	2
189	должен был	2	2
190	и тем	2	2
191	ни в	2	2
192	от него	3	2
193	должно быть	1	2
194	том что	10	2
195	на первый	4	2
196	в этих	13	2
197	не так	2	2
198	во второй	1	2
199	представление о	3	2
200	от его	1	2
201	должны были	3	2
202	не могли	1	2
203	для этого	1	2
204	тому что	2	2
205	она не	2	2
206	тем самым	1	2
207	что эта	1	2
208	и другое	2	2
209	вне поля	1	2
210	не имеет	4	2
211	ее с	1	2
212	не по	2	2
213	для всего	1	2
214	находится в	1	2
215	никогда не	4	2
216	как она	1	2
217	всего в	1	2
218	если же	1	2
219	поставить вопрос	1	2
220	и это	2	2
221	тем и	1	2
222	и о	2	2
223	в ее	2	2
224	и от	2	2
225	и этим	3	2
226	сам он	2	2
227	подойти к	1	2
228	с ним	5	2
229	во всей	1	2
230	это не	10	2
231	ней все	1	2
232	если это	2	2
233	в самый	1	2
234	один из	7	2
235	с ними	1	2
236	этот вопрос	2	2
237	по этому	2	2
238	не будет	2	2
239	потому что	9	2
240	в качестве	3	2
241	или даже	2	2
242	при помощи	3	2
243	характерно что	2	2
244	в котором	2	2
245	в конце	3	2
246	как его	1	2
247	не просто	2	2
248	смысла и	1	2
249	это положение	2	2
250	со стороны	2	2
251	а именно	6	2
252	в каких	2	2
253	превращается в	3	2
254	ничем не	2	2
255	его как	1	2
256	все более	1	2
257	можно будет	1	2
258	как это	2	2
259	в тех	5	2
260	из этого	1	2
261	этого факта	1	2
262	как например	1	2
263	но это	3	2
264	в чем	5	2
