N	2gram	Nazirov_Tr_1	DiskursI
1	в себе	4	19
2	при этом	3	17
3	как и	5	16
4	в этом	9	16
5	и в	18	16
6	может быть	7	16
7	и не	7	15
8	а не	1	14
9	то есть	3	12
10	в отличие	2	12
11	отличие от	2	12
12	в частности	2	12
13	тогда как	1	11
14	но и	4	11
15	представляет собой	1	11
16	в мире	3	11
17	но в	6	11
18	своего рода	3	10
19	не только	8	10
20	том что	4	10
21	не может	5	9
22	так и	5	9
23	как в	3	8
24	в том	2	8
25	а также	1	8
26	прежде всего	4	7
27	не менее	1	7
28	в нем	4	7
29	но не	1	7
30	ни в	2	7
31	в данном	2	7
32	все же	5	6
33	еще не	4	6
34	данном случае	2	6
35	отнюдь не	3	6
36	тем самым	3	6
37	в своей	1	6
38	по своей	1	6
39	то же	5	6
40	с его	2	6
41	же время	6	5
42	что в	4	5
43	для него	3	5
44	то что	4	5
45	в противовес	1	5
46	в то	5	5
47	я в	1	5
48	и на	7	5
49	в своем	3	5
50	в период	1	4
51	я и	1	4
52	потому что	2	4
53	в одном	2	4
54	одно из	1	4
55	в рассказе	2	4
56	не сводится	1	4
57	в этой	4	4
58	с одной	1	4
59	роль в	1	4
60	времени в	2	4
61	и то	2	4
62	о том	2	4
63	не является	1	4
64	как бы	7	4
65	все эти	3	3
66	ведет к	1	3
67	и все	4	3
68	в другом	1	3
69	и его	6	3
70	и ее	2	3
71	не было	1	3
72	было в	2	3
73	могут быть	1	3
74	его в	2	3
75	жизни в	1	3
76	и наконец	1	3
77	к жизни	5	3
78	это не	5	3
79	в его	3	3
80	например в	1	3
81	восходит к	1	3
82	не в	2	3
83	перед нами	2	3
84	только в	1	3
85	не столько	1	3
86	в них	1	3
87	в котором	1	3
88	он не	2	3
89	в становлении	1	3
90	одном из	2	3
91	столь же	2	3
92	уже не	2	3
93	как будто	3	3
94	и как	3	3
95	мысль о	1	3
96	еще в	2	3
97	но это	4	3
98	по природе	1	2
99	с ее	3	2
100	и с	7	2
101	в обоих	1	2
102	по словам	2	2
103	ситуации и	1	2
104	не к	1	2
105	но при	2	2
106	должна быть	1	2
107	есть в	1	2
108	все это	4	2
109	это в	1	2
110	именно в	1	2
111	в области	1	2
112	вместе с	1	2
113	отношение к	2	2
114	натуральной школы	1	2
115	в той	1	2
116	между тем	1	2
117	более чем	1	2
118	ивана петровича	6	2
119	дистанция между	1	2
120	что на	1	2
121	но уже	1	2
122	содержит в	1	2
123	должно быть	3	2
124	никогда не	2	2
125	о чем	3	2
126	той же	1	2
127	тут же	2	2
128	этом мире	1	2
129	в целом	4	2
130	а к	1	2
131	этом случае	1	2
132	что и	2	2
133	в результате	1	2
134	романа и	3	2
135	обоих случаях	1	2
136	в записках	2	2
137	и это	2	2
138	речи в	1	2
139	в ней	1	2
140	жизнью и	2	2
141	природе своей	1	2
142	что он	6	2
143	в ходе	2	2
144	историй о	1	1
145	двух историй	1	1
146	дистанции между	1	1
147	место этот	1	1
148	в форме	1	1
149	одним из	1	1
150	во всяком	1	1
151	на деле	1	1
152	утверждать что	1	1
153	вопрос о	2	1
154	по определению	1	1
155	на всем	2	1
156	в которой	1	1
157	для характеристики	1	1
158	человеческой личности	2	1
159	достоевского в	3	1
160	ориентация на	1	1
161	его с	1	1
162	году в	2	1
163	как искусство	1	1
164	устной речи	1	1
165	человеком и	1	1
166	не был	2	1
167	сохраняет свое	1	1
168	друга и	1	1
169	к числу	1	1
170	я его	1	1
171	таким образом	1	1
172	где мы	1	1
173	только о	2	1
174	общим местом	1	1
175	героя с	1	1
176	а стало	1	1
177	право на	1	1
178	как нечто	1	1
179	пародия на	1	1
180	мир на	1	1
181	в условиях	1	1
182	самом деле	1	1
183	и здесь	2	1
184	роман и	1	1
185	не вполне	1	1
186	бы не	1	1
187	где на	1	1
188	так что	2	1
189	как это	3	1
