N	2gram	Berdyaev_V_1	Dialekti
1	не есть	6	54
2	и не	20	27
3	а не	7	26
4	и т	2	24
5	и в	16	24
6	это значит	1	24
7	не только	2	23
8	т д	2	23
9	не просто	1	18
10	ничего не	1	17
11	и есть	4	16
12	и что	3	15
13	что все	4	14
14	то что	9	14
15	что он	4	13
16	вовсе не	1	13
17	может быть	1	13
18	что это	1	12
19	того что	5	12
20	есть и	1	12
21	не имеет	3	11
22	не существует	1	10
23	есть не	1	9
24	то это	3	9
25	ни в	3	9
26	но и	5	9
27	нет ничего	3	9
28	в этом	4	8
29	в виде	1	8
30	прежде всего	2	8
31	что мы	4	8
32	том что	2	8
33	в самом	1	7
34	как и	4	7
35	нет никакого	1	7
36	никогда не	3	7
37	потому что	4	7
38	что оно	1	7
39	в виду	1	7
40	но что	1	7
41	ничем не	1	7
42	и нет	1	7
43	что в	3	7
44	должна быть	3	6
45	д и	1	6
46	я не	1	6
47	то же	1	6
48	и с	1	6
49	превращается в	3	6
50	оно не	3	6
51	что и	3	6
52	так как	9	6
53	и все	4	6
54	все это	5	6
55	есть то	1	6
56	вопрос о	1	5
57	хотя и	5	5
58	сущности и	1	5
59	по крайней	1	5
60	так и	4	5
61	в них	3	5
62	мы не	2	5
63	и тогда	2	5
64	в том	3	5
65	можно ли	1	5
66	тогда нет	1	5
67	только в	2	5
68	уже не	2	5
69	крайней мере	1	5
70	что не	4	5
71	как это	1	5
72	с этой	1	5
73	но это	3	5
74	личности и	3	5
75	жизни и	3	5
76	и то	2	4
77	говорить о	4	4
78	мы и	2	4
79	в чем	3	4
80	нет и	2	4
81	во что	1	4
82	в истории	8	4
83	что нет	1	4
84	конечно не	2	4
85	это не	2	4
86	истории и	2	4
87	если нет	1	4
88	тому что	3	4
89	что есть	5	4
90	не могут	2	4
91	и это	2	4
92	к тому	3	4
93	с другой	1	4
94	для него	2	4
95	если оно	1	4
96	говорит о	1	4
97	у нас	1	4
98	так же	1	4
99	хотя бы	3	4
100	и тут	1	3
101	зависимости от	1	3
102	и на	1	3
103	и я	4	3
104	в своем	1	3
105	все же	1	3
106	все эти	3	3
107	в нем	4	3
108	не будет	2	3
109	должно быть	3	3
110	мир и	2	3
