N	4gram	Trubetskoy_1	Problema
1	в то же время	10	3
2	бы то ни было	1	2
3	дело в том что	1	1
4	и с точки зрения	1	1
5	что бы то ни	3	1
6	или в лучшем случае	2	1
7	и не может быть	1	1
8	и в том и	2	1
9	отнюдь не может быть	1	1
10	бы то ни стало	3	1
11	по отношению ко всякой	1	1
12	во что бы то	3	1
13	то же время она	1	1
14	но в то же	1	1
15	том и в другом	2	1
16	на том основании что	1	1
17	в том и в	2	1
18	несмотря на то что	1	1
19	ни к чему не	1	1
20	о которых идет речь	1	1
21	той или иной культурной	1	1
