N	2gram	Kanaev_Sov_1	VrazhdaK
1	не только	4	9
2	в этом	7	8
3	и в	7	8
4	и что	2	8
5	и все	3	7
6	что в	2	7
7	все же	3	6
8	но в	3	6
9	в нем	3	6
10	как и	6	6
11	в начале	1	6
12	и даже	2	6
13	то же	3	5
14	в то	1	5
15	же время	1	5
16	у него	2	5
17	не было	1	5
18	и не	6	5
19	в ней	1	4
20	при этом	3	4
21	это не	4	4
22	несмотря на	1	4
23	все это	3	4
24	во многом	1	4
25	с ним	1	4
26	о том	1	4
27	для нас	3	4
28	уже в	3	4
29	может быть	12	4
30	как бы	4	4
31	в своих	1	4
32	так же	1	4
33	с его	1	3
34	в своем	1	3
35	в этот	1	3
36	его в	1	3
37	он не	1	3
38	том что	1	3
39	и его	1	3
40	связи с	1	3
41	человека в	1	3
42	и во	2	3
43	в его	2	3
44	в том	4	3
45	и у	1	3
46	чтобы он	1	3
47	в конце	3	3
48	в связи	1	3
49	к этому	1	3
50	же как	1	2
51	он сам	1	2
52	но как	1	2
53	отнюдь не	3	2
54	в известном	1	2
55	в этой	3	2
56	в себе	3	2
57	их в	4	2
58	таким образом	11	2
59	в мире	1	2
60	рядом с	1	2
61	мы знаем	2	2
62	в эту	1	2
63	точки зрения	12	2
64	с точки	5	2
65	не менее	2	2
66	одна из	3	2
67	никогда не	1	2
68	его с	1	2
69	на это	1	2
70	и это	1	2
71	так в	1	2
72	еще не	3	2
73	по мнению	2	2
74	уже не	2	2
75	из них	4	2
76	его и	1	2
77	могли быть	1	2
78	и т.п	1	2
79	не может	17	2
80	вместе с	4	2
81	но это	1	2
82	же в	1	2
83	а в	4	2
84	в свою	2	2
85	как известно	2	1
86	можно говорить	1	1
87	человека и	1	1
88	того же	1	1
89	в миниатюре	1	1
90	шаг за	1	1
91	это и	1	1
92	идет о	1	1
93	и есть	2	1
94	по преимуществу	1	1
95	по его	1	1
96	из всех	1	1
97	той же	2	1
98	что уже	1	1
99	именно к	1	1
100	равно как	1	1
101	говорить о	2	1
102	разобраться в	1	1
103	на них	1	1
104	совсем не	1	1
105	но не	1	1
106	если в	1	1
107	и т.д	3	1
108	независимо от	1	1
109	с этим	2	1
110	дает нам	2	1
111	некоторое время	2	1
112	и наконец	5	1
113	роль играет	1	1
114	в самом	2	1
115	что это	2	1
116	мы получаем	3	1
117	в целом	4	1
118	что же	5	1
119	но ведь	1	1
120	как он	3	1
121	же это	4	1
122	этот процесс	1	1
123	свое первое	1	1
124	это конечно	1	1
125	совпадают с	1	1
126	не будет	1	1
127	конечно в	2	1
128	их и	1	1
129	дома и	1	1
130	было бы	3	1
131	вопрос и	1	1
132	этого не	1	1
133	которой он	2	1
134	в развитии	4	1
135	такой же	2	1
136	быть объективным	1	1
137	и их	1	1
138	всяком случае	2	1
139	представление о	1	1
140	не будем	2	1
141	тем не	2	1
142	по крайней	1	1
143	без всяких	1	1
144	через несколько	1	1
145	раз и	1	1
146	но они	1	1
147	что эта	1	1
148	не имеет	1	1
149	в процессе	1	1
150	только не	1	1
151	все свои	1	1
152	ничего не	6	1
153	это то	1	1
154	эту сторону	1	1
155	ли это	1	1
156	такие же	2	1
157	в духе	1	1
158	могут быть	2	1
159	отличается от	3	1
160	этого и	1	1
161	уже на	1	1
162	ничего общего	1	1
163	правда не	1	1
164	он ищет	1	1
165	с ее	1	1
166	свою очередь	2	1
167	но мы	3	1
168	роль в	2	1
169	стремится быть	1	1
170	ясно что	3	1
171	еще в	1	1
172	том как	1	1
173	и вообще	1	1
174	во всяком	2	1
175	с тою	1	1
176	себе очень	1	1
177	до сих	1	1
178	к нему	1	1
179	во всех	1	1
180	говорить об	2	1
181	во всей	1	1
182	крайней мере	1	1
183	человека как	1	1
184	к которому	1	1
185	этом смысле	1	1
186	один из	1	1
187	ли он	1	1
188	то он	1	1
189	он уже	1	1
190	а это	1	1
191	этот раз	1	1
192	искать в	1	1
193	пока не	1	1
194	общим характером	1	1
195	в одном	3	1
196	это сравнение	1	1
197	из двух	3	1
198	и речи	1	1
199	и из	1	1
200	с другой	1	1
201	именно в	1	1
202	все равно	1	1
203	такое же	1	1
204	прежде всего	5	1
205	на этот	2	1
206	в ту	1	1
207	с помощью	4	1
208	из которых	2	1
209	без труда	1	1
210	это за	2	1
211	он ставит	1	1
212	в свое	1	1
213	еще раз	1	1
214	известном смысле	1	1
215	в условиях	5	1
216	сих пор	1	1
217	свои позиции	1	1
218	но для	1	1
219	которых он	1	1
220	и от	1	1
221	это как	1	1
222	это во	1	1
223	человек и	1	1
224	хотя и	1	1
225	еще более	2	1
226	в обоих	1	1
227	а о	1	1
228	быть и	2	1
229	больших и	1	1
230	только о	1	1
231	за шагом	1	1
232	жизни и	4	1
233	помощью которых	2	1
234	в таком	2	1
235	все что	1	1
236	они не	1	1
