N	3gram	Tiupa_Disk_1	KulturaY
1	в том что	13	15
2	с точки зрения	1	9
3	в том чтобы	2	8
4	по отношению к	9	8
5	только потому что	1	6
6	с другой стороны	3	6
7	о том что	5	5
8	в этом отношении	1	5
9	по крайней мере	2	5
10	во всяком случае	1	5
11	что же касается	2	4
12	до сих пор	1	4
13	не в том	3	4
14	том что он	1	4
15	тем не менее	1	4
16	состоит в том	2	3
17	более или менее	2	3
18	в этом смысле	1	3
19	в соответствии с	2	3
20	о том как	1	3
21	того или иного	1	3
22	только в том	2	3
23	вместе с тем	1	3
24	в связи с	1	3
25	а с другой	3	3
26	в свою очередь	3	3
27	не может быть	3	3
28	и того же	2	2
29	на самом деле	1	2
30	на то что	1	2
31	и потому что	1	2
32	в том и	1	2
33	внимание на то	1	2
34	в этом случае	1	2
35	в первую очередь	1	2
36	обратить внимание на	2	2
37	что в них	1	2
38	на мой взгляд	2	2
39	в целом и	1	2
40	так и в	1	2
41	в свое время	1	2
42	именно в том	1	2
43	в тех случаях	1	2
44	а в том	2	2
45	то же время	4	2
46	заключается в том	1	2
47	хотя бы и	1	2
48	речь идет о	1	2
49	но все же	1	2
50	одного и того	2	2
51	в данном отношении	1	2
52	тех случаях когда	1	2
53	в то же	3	2
54	что с ними	1	1
55	и может быть	1	1
56	на том что	1	1
57	в одном ряду	1	1
58	и должны быть	1	1
59	в словаре английского	1	1
60	при всем желании	1	1
61	языка это лишь	1	1
62	не говоря уже	2	1
63	и в особенности	2	1
64	свидетельствует о том	1	1
65	с одной стороны	9	1
66	как раз и	1	1
67	том случае если	1	1
68	и в то	1	1
69	сами по себе	2	1
70	в отличие от	4	1
71	в строгом смысле	1	1
72	в наше время	2	1
73	базируется не на	1	1
74	следует обратить внимание	1	1
75	целое в свою	1	1
76	том что не	1	1
77	в тех или	1	1
78	в противном случае	1	1
79	в любой из	1	1
80	в том случае	1	1
81	всяком случае ясно	1	1
82	в научной литературе	1	1
83	одно и то	1	1
84	тогда как в	5	1
85	едва ли не	2	1
86	для своего времени	1	1
87	не только в	2	1
88	тех или иных	1	1
89	и то же	1	1
90	в одно и	1	1
91	во всех этих	1	1
92	дело не в	1	1
93	хотя бы на	1	1
94	к мысли что	1	1
95	вопросом о том	1	1
96	лицом к лицу	1	1
97	до наших дней	1	1
98	том что на	1	1
99	не в качестве	1	1
100	по аналогии с	1	1
101	далеко не всегда	1	1
102	дело не с	1	1
103	не только потому	1	1
104	далеко еще не	3	1
105	когда указывает на	1	1
106	той или иной	3	1
107	к которому он	1	1
108	в большинстве случаев	1	1
109	сюда же относятся	1	1
110	состояло в том	1	1
111	то что они	1	1
112	именно в той	1	1
113	сошлюсь хотя бы	1	1
114	тот или иной	2	1
